@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.24,11.0,37.5,22.0,0.8,8.0,6.0,187.0,1807.51,24.0,N
0.12,5.0,24.31,22.0,0.0,4.0,3.0,69.0,267.06,13.0,N
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.2,3.0,22.35,10.0,0.0,2.0,2.0,37.0,65.66,9.0,N
0.23,5.0,33.1,13.0,0.0,4.0,3.0,49.0,97.04,9.0,N
0.18,3.0,23.14,10.0,0.0,2.0,2.0,32.0,54.32,7.0,Y
0.14,5.0,34.57,21.0,0.0,4.0,3.0,72.0,229.41,11.0,N
0.16,35.0,51.85,107.0,0.47,28.0,18.0,516.0,12140.27,59.0,Y
0.16,141.0,293.68,411.0,0.4,106.0,73.0,1500.0,30751.03,232.0,Y
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.17,3.0,14.83,11.0,0.0,2.0,2.0,32.0,76.31,6.0,N
0.06,5.0,59.87,47.0,0.0,4.0,3.0,150.0,815.07,12.0,N
0.15,11.0,53.63,33.0,0.0,10.0,6.0,172.0,1014.98,22.0,Y
0.15,5.0,38.85,20.0,0.0,4.0,3.0,93.0,325.38,14.0,N
0.14,3.0,23.58,10.0,0.0,2.0,2.0,62.0,204.72,6.0,N
0.25,11.0,19.97,24.0,1.0,6.0,6.0,72.0,333.31,14.0,N
0.11,3.0,32.0,18.0,0.0,2.0,2.0,72.0,240.54,9.0,N
0.29,3.0,16.52,7.0,0.0,2.0,2.0,25.0,35.13,6.0,N
0.2,19.0,65.44,50.0,1.0,18.0,10.0,136.0,456.59,39.0,N
0.13,7.0,28.78,27.0,0.67,4.0,4.0,95.0,525.35,10.0,N
0.11,3.0,33.23,19.0,0.0,2.0,2.0,62.0,163.53,8.0,N
0.11,5.0,48.49,25.0,0.0,4.0,3.0,120.0,536.07,13.0,N
0.17,25.0,80.81,70.0,0.5,18.0,13.0,343.0,3176.49,48.0,N
0.17,3.0,15.9,10.0,0.0,2.0,2.0,35.0,71.53,6.0,N
0.09,7.0,99.18,45.0,0.0,6.0,4.0,261.0,1498.53,21.0,N
0.1,19.0,125.84,98.0,1.0,12.0,10.0,486.0,5190.45,52.0,N
0.11,5.0,36.57,28.0,0.0,4.0,3.0,104.0,471.69,15.0,Y
0.09,7.0,84.37,43.0,0.0,6.0,4.0,267.0,1727.43,31.0,N
0.09,3.0,36.77,22.0,0.0,2.0,2.0,81.0,269.0,9.0,N
0.1,7.0,45.35,30.0,0.0,6.0,4.0,193.0,1617.62,17.0,N
0.19,7.0,26.81,17.0,1.0,6.0,4.0,58.0,161.1,15.0,N
0.15,3.0,18.1,13.0,0.0,2.0,2.0,41.0,93.13,6.0,N
0.08,11.0,71.01,48.0,0.8,8.0,6.0,279.0,2420.1,23.0,N
0.21,11.0,38.41,27.0,0.0,4.0,6.0,92.0,385.93,14.0,N
0.08,25.0,175.18,143.0,0.0,24.0,13.0,695.0,7918.63,58.0,Y
0.25,9.0,13.75,20.0,0.0,8.0,5.0,63.0,336.99,16.0,N
0.14,9.0,110.24,35.0,0.0,8.0,5.0,191.0,625.52,29.0,N
0.14,15.0,78.29,29.0,0.0,14.0,8.0,565.0,10042.15,31.0,N
0.2,5.0,8.17,15.0,0.0,4.0,3.0,36.0,147.15,11.0,N
0.29,3.0,8.79,7.0,0.0,2.0,2.0,27.0,70.32,5.0,N
0.33,7.0,19.23,10.0,0.0,6.0,4.0,28.0,34.57,10.0,N
0.13,5.0,55.95,22.0,0.0,4.0,3.0,81.0,162.88,9.0,N
