@relation CustomJM1
@attribute LOC_TOTAL numeric
@attribute LOC_COMMENTS numeric
@attribute LOC_BLANK numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute NUM_OPERATORS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute label {Y,N}

@data
26.0,3.0,4.0,17.23,16.0,22.0,4.0,0.06,7.0,1881.89,N
22.0,0.0,4.0,30.75,16.0,42.0,3.0,0.11,5.0,3269.77,N
242.0,15.0,30.0,180.19,192.0,369.0,56.0,1.54,111.0,118171.02,Y
27.0,0.0,5.0,107.38,20.0,56.0,1.0,0.19,1.0,2903.43,N
29.0,3.0,3.0,30.9,22.0,63.0,3.0,0.18,5.0,9208.95,N
12.0,0.0,1.0,28.52,9.0,18.0,2.0,0.05,3.0,713.12,N
32.0,2.0,5.0,49.12,17.0,64.0,3.0,0.18,5.0,5720.02,N
6.0,0.0,0.0,10.04,4.0,9.0,2.0,0.02,3.0,250.95,N
37.0,1.0,5.0,26.83,29.0,48.0,5.0,0.11,9.0,3783.11,Y
99.0,36.0,8.0,36.42,53.0,98.0,20.0,0.23,39.0,13146.0,Y
9.0,0.0,0.0,19.92,7.0,16.0,2.0,0.04,3.0,644.39,Y
13.0,0.0,1.0,47.58,10.0,19.0,1.0,0.05,1.0,547.68,N
4.0,0.0,0.0,9.6,2.0,10.0,2.0,0.02,3.0,360.21,N
116.0,18.0,14.0,64.58,84.0,169.0,22.0,0.64,43.0,56233.71,N
67.0,12.0,14.0,42.37,39.0,112.0,15.0,0.34,29.0,25035.29,N
10.0,0.0,1.0,26.47,7.0,25.0,4.0,0.07,7.0,1694.2,N
109.0,13.0,13.0,34.82,80.0,284.0,9.0,0.77,17.0,151654.92,N
19.0,9.0,0.0,30.37,10.0,19.0,1.0,0.05,1.0,713.17,N
10.0,0.0,0.0,15.49,6.0,19.0,2.0,0.04,3.0,758.93,N
97.0,0.0,3.0,68.39,92.0,225.0,7.0,0.93,13.0,114224.87,N
23.0,0.0,3.0,36.45,18.0,45.0,2.0,0.13,3.0,4202.2,Y
23.0,4.0,8.0,27.28,9.0,19.0,6.0,0.05,11.0,944.71,Y
42.0,2.0,3.0,48.83,37.0,86.0,7.0,0.29,13.0,15670.39,N
42.0,0.0,8.0,40.44,34.0,116.0,9.0,0.4,17.0,35734.62,N
4.0,0.0,0.0,9.83,4.0,4.0,1.0,0.01,1.0,39.3,N
88.0,9.0,12.0,36.77,60.0,193.0,13.0,0.68,25.0,114302.82,N
23.0,0.0,2.0,19.01,19.0,66.0,9.0,0.21,17.0,20267.88,N
13.0,0.0,0.0,26.91,11.0,14.0,2.0,0.03,3.0,318.01,N
10.0,0.0,1.0,8.93,7.0,10.0,2.0,0.02,3.0,585.95,N
11.0,0.0,2.0,17.71,7.0,24.0,1.0,0.04,1.0,996.26,N
23.0,0.0,1.0,22.12,20.0,38.0,3.0,0.08,5.0,2925.2,N
79.0,8.0,5.0,32.68,61.0,131.0,8.0,0.43,10.0,50838.75,N
21.0,0.0,5.0,44.96,14.0,23.0,3.0,0.06,5.0,806.39,Y
1411.0,344.0,106.0,218.17,952.0,3368.0,127.0,15.65,240.0,10100866.9,Y
10.0,0.0,2.0,12.33,6.0,10.0,1.0,0.02,1.0,284.19,N
14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
14.0,0.0,1.0,17.73,11.0,35.0,7.0,0.09,13.0,4538.14,N
36.0,1.0,2.0,53.79,31.0,81.0,6.0,0.29,11.0,13658.79,Y
19.0,0.0,2.0,21.4,14.0,28.0,2.0,0.07,3.0,2358.96,N
4.0,0.0,0.0,7.75,2.0,4.0,1.0,0.01,1.0,31.02,N
5.0,0.0,0.0,16.84,3.0,5.0,1.0,0.01,1.0,37.9,N
4.0,0.0,0.0,17.79,2.0,8.0,1.0,0.02,1.0,151.35,N
5.0,0.0,0.0,9.05,2.0,5.0,1.0,0.01,1.0,36.19,N
12.0,0.0,2.0,19.25,8.0,17.0,2.0,0.04,3.0,813.14,N
29.0,1.0,0.0,50.38,26.0,33.0,7.0,0.07,13.0,968.53,N
4.0,0.0,0.0,9.6,2.0,5.0,1.0,0.01,1.0,60.0,Y
21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,N
28.0,0.0,2.0,23.73,24.0,108.0,9.0,0.31,17.0,35284.28,Y
4.0,0.0,0.0,5.33,2.0,3.0,1.0,0.0,1.0,12.0,N
6.0,0.0,0.0,8.3,4.0,11.0,2.0,0.02,3.0,369.01,N
46.0,6.0,2.0,36.82,34.0,66.0,10.0,0.15,19.0,5302.1,Y
12.0,0.0,1.0,16.86,9.0,20.0,3.0,0.06,5.0,1652.39,N
