@relation CustomCM1
@attribute LOC_TOTAL numeric
@attribute LOC_COMMENTS numeric
@attribute LOC_BLANK numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute NUM_OPERATORS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute Defective {Y,N}

@data
17.0,0.0,3.0,14.45,12.0,17.0,2.0,0.03,3.0,592.07,N
131.0,8.0,28.0,61.08,88.0,169.0,9.0,0.55,17.0,44908.66,N
13.0,0.0,1.0,13.32,8.0,8.0,1.0,0.02,1.0,163.12,N
15.0,0.0,1.0,22.55,12.0,44.0,8.0,0.13,15.0,6517.36,Y
17.0,0.0,3.0,16.2,12.0,19.0,2.0,0.04,3.0,720.0,N
18.0,0.0,0.0,55.66,13.0,41.0,1.0,0.11,1.0,1933.99,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
21.0,0.0,0.0,43.51,15.0,43.0,2.0,0.09,3.0,1797.96,Y
23.0,1.0,3.0,38.54,16.0,35.0,2.0,0.09,3.0,1834.9,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
6.0,0.0,0.0,11.95,4.0,8.0,2.0,0.02,3.0,210.8,N
42.0,0.0,6.0,31.86,27.0,53.0,5.0,0.15,9.0,6434.3,N
6.0,2.0,0.0,6.86,2.0,7.0,1.0,0.01,1.0,84.0,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
4.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
5.0,0.0,0.0,11.63,3.0,5.0,1.0,0.01,1.0,46.53,N
4.0,0.0,0.0,5.8,2.0,4.0,1.0,0.0,1.0,23.22,N
1.0,0.0,0.0,5.33,0.0,3.0,1.0,0.0,1.0,12.0,N
15.0,0.0,2.0,22.94,11.0,28.0,3.0,0.06,5.0,1387.66,N
