@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.27,7.0,18.89,15.0,0.0,6.0,4.0,41.0,101.16,14.0,N
0.15,3.0,25.81,13.0,0.0,2.0,2.0,41.0,71.95,9.0,N
0.38,11.0,40.18,16.0,0.0,10.0,6.0,57.0,96.88,17.0,N
0.15,3.0,27.15,13.0,0.0,2.0,2.0,29.0,29.93,8.0,N
0.28,13.0,32.88,25.0,0.0,10.0,7.0,72.0,218.95,21.0,N
0.13,27.0,59.32,110.0,1.0,26.0,14.0,345.0,4403.98,59.0,N
0.06,5.0,63.45,48.0,0.0,4.0,3.0,160.0,668.07,20.0,N
0.18,5.0,39.99,17.0,0.0,4.0,3.0,47.0,69.38,12.0,N
0.19,5.0,20.14,16.0,0.0,4.0,3.0,55.0,184.32,12.0,Y
0.33,3.0,19.14,6.0,0.0,2.0,2.0,31.0,52.1,9.0,N
0.17,5.0,49.47,18.0,0.0,4.0,3.0,46.0,53.72,12.0,Y
0.36,7.0,12.76,11.0,0.0,6.0,4.0,85.0,606.69,14.0,N
0.33,5.0,19.56,9.0,0.0,4.0,3.0,22.0,22.0,9.0,N
0.2,6.0,31.73,20.0,0.0,2.0,4.0,51.0,98.21,13.0,N
0.22,3.0,15.29,9.0,0.0,2.0,2.0,26.0,44.31,8.0,N
0.22,3.0,26.74,9.0,0.0,2.0,2.0,33.0,42.26,9.0,N
0.2,3.0,18.91,10.0,0.0,2.0,2.0,26.0,31.78,7.0,N
0.2,5.0,17.13,15.0,0.0,4.0,3.0,53.0,231.81,9.0,N
0.29,8.0,28.09,21.0,0.0,2.0,6.0,117.0,745.58,16.0,N
0.56,9.0,20.85,9.0,1.0,2.0,5.0,25.0,28.96,11.0,N
0.31,16.0,18.35,29.0,0.0,10.0,9.0,93.0,689.03,26.0,N
0.33,7.0,30.19,12.0,0.0,6.0,4.0,39.0,58.84,13.0,N
0.2,3.0,26.13,10.0,0.0,2.0,2.0,42.0,80.88,9.0,N
0.4,3.0,10.24,5.0,0.0,2.0,2.0,14.0,13.66,7.0,N
0.14,7.0,97.47,28.0,0.0,4.0,4.0,101.0,173.3,29.0,N
0.24,31.0,72.95,66.0,0.0,20.0,16.0,201.0,1222.6,53.0,Y
0.27,25.0,65.75,56.0,0.0,14.0,15.0,211.0,1301.79,61.0,Y
0.23,17.0,86.51,40.0,0.0,12.0,9.0,147.0,495.77,41.0,N
0.24,19.0,45.15,42.0,0.0,12.0,10.0,162.0,1117.54,35.0,N
