@relation CustomCM1
@attribute DECISION_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute PARAMETER_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute DECISION_DENSITY numeric
@attribute HALSTEAD_VOLUME numeric
@attribute LOC_COMMENTS numeric
@attribute HALSTEAD_LEVEL numeric
@attribute NUM_OPERATORS numeric
@attribute Defective {Y,N}

@data
4.0,3.0,13.85,2.0,2.0,3.0,242.76,0.0,0.07,29.0,N
4.0,4.0,17.1,3.0,3.0,2.0,225.95,1.0,0.06,28.0,N
2.0,0.0,15.75,2.0,1.0,2.0,62.27,0.0,0.06,11.0,N
20.0,10.0,29.93,2.0,5.0,2.2,1016.49,0.0,0.03,110.0,N
4.0,7.0,9.54,5.0,3.0,2.0,285.5,0.0,0.1,34.0,N
4.0,4.0,17.94,1.0,3.0,2.0,239.72,1.0,0.06,32.0,N
10.0,1.0,21.0,0.0,5.0,2.0,352.53,30.0,0.05,39.0,N
8.0,4.0,20.63,2.0,1.0,2.0,328.09,0.0,0.05,36.0,N
6.0,4.0,15.17,0.0,2.0,2.0,214.05,0.0,0.07,27.0,N
2.0,0.0,7.5,3.0,1.0,2.0,57.36,0.0,0.13,11.0,N
8.0,10.0,25.8,6.0,4.0,2.25,559.93,0.0,0.04,68.0,N
6.0,5.0,24.56,1.0,3.0,2.0,352.53,1.0,0.04,49.0,N
4.0,2.0,15.0,5.0,1.0,2.5,314.93,6.0,0.07,37.0,N
2.0,1.0,3.0,0.0,1.0,2.0,19.65,0.0,0.33,6.0,N
2.0,3.0,19.04,5.0,3.0,2.0,453.91,0.0,0.05,54.0,N
6.0,2.0,17.06,3.0,2.0,2.0,202.05,0.0,0.06,25.0,N
2.0,1.0,3.0,0.0,1.0,2.0,19.65,0.0,0.33,6.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
2.0,1.0,17.87,5.0,2.0,3.0,241.58,0.0,0.06,33.0,N
4.0,3.0,20.64,1.0,3.0,2.0,210.91,1.0,0.05,29.0,N
2.0,2.0,4.67,2.0,1.0,2.0,64.73,0.0,0.21,10.0,N
2.0,2.0,3.5,2.0,1.0,2.0,51.81,0.0,0.29,8.0,N
2.0,0.0,5.0,2.0,1.0,2.0,25.27,0.0,0.2,5.0,N
