@relation CustomCM1
@attribute CYCLOMATIC_DENSITY numeric
@attribute BRANCH_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute LOC_EXECUTABLE numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
0.6,5.0,24.09,5.0,0.0,4.0,3.0,33.0,41.96,8.0,N
0.25,71.0,83.06,102.0,0.0,70.0,36.0,1070.0,35352.71,149.0,N
0.47,17.0,26.33,19.0,0.63,8.0,9.0,154.0,1473.48,25.0,N
0.17,3.0,20.64,12.0,0.0,2.0,2.0,27.0,35.4,7.0,N
0.17,3.0,41.64,11.0,0.0,2.0,2.0,63.0,116.99,9.0,N
0.57,7.0,14.12,7.0,1.0,6.0,4.0,32.0,72.69,10.0,N
0.47,17.0,19.04,19.0,1.0,10.0,9.0,99.0,752.29,22.0,N
0.25,11.0,34.84,24.0,0.8,6.0,6.0,121.0,758.73,16.0,N
0.36,7.0,28.49,11.0,0.0,6.0,4.0,83.0,274.89,14.0,N
0.13,3.0,42.25,15.0,0.0,2.0,2.0,90.0,293.36,10.0,N
0.24,17.0,58.68,37.0,0.5,14.0,9.0,106.0,331.79,28.0,N
0.23,17.0,64.34,39.0,0.88,12.0,9.0,256.0,2036.87,40.0,N
0.24,11.0,58.69,19.0,0.0,10.0,6.0,119.0,418.1,18.0,N
0.18,42.0,120.55,139.0,0.4,24.0,26.0,583.0,8519.98,83.0,Y
0.37,67.0,179.17,90.0,0.48,64.0,34.0,548.0,4547.89,121.0,N
0.37,13.0,36.63,19.0,1.0,12.0,7.0,124.0,623.26,25.0,N
0.4,3.0,9.87,5.0,0.0,2.0,2.0,15.0,17.35,5.0,N
0.24,9.0,24.76,21.0,1.0,6.0,5.0,114.0,825.79,20.0,N
0.25,7.0,14.38,16.0,0.0,6.0,4.0,54.0,254.62,14.0,N
0.09,5.0,31.15,26.0,0.0,4.0,3.0,105.0,508.96,19.0,N
0.28,19.0,38.45,34.0,0.2,10.0,11.0,151.0,1120.98,28.0,N
0.33,3.0,22.74,6.0,0.0,2.0,2.0,34.0,56.16,6.0,N
0.07,5.0,99.6,46.0,0.0,4.0,3.0,276.0,1585.48,10.0,N
0.4,7.0,6.98,10.0,0.0,4.0,4.0,37.0,189.43,9.0,N
