@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
9.0,2.0,1.0,0.0,16.0,5.0,2.0,3.0,0.6,1.0,0.0,24.0,3.0,32.54,9.5,0.2,4.0,8.0,0.16,25.0,N
7.0,3.0,1.0,19.0,12.0,4.0,2.0,2.0,0.5,1.0,0.0,31.0,1.0,38.55,21.52,0.25,3.0,6.0,0.06,32.0,Y
9.0,1.0,4.0,22.0,16.0,5.0,2.0,3.0,0.6,1.0,0.0,29.0,0.0,52.03,12.33,0.2,4.0,8.0,0.06,33.0,Y
3.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,12.0,2.0,14.62,6.43,0.5,1.0,2.0,0.1,12.0,N
25.0,13.0,0.0,14.0,48.0,13.0,2.0,11.0,0.85,1.0,0.0,106.0,2.0,101.31,27.04,0.08,12.0,24.0,0.08,106.0,N
5.0,2.0,0.0,0.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,15.0,1.0,8.17,18.0,0.33,2.0,4.0,0.16,15.0,N
9.0,5.0,12.0,16.0,16.0,5.0,2.0,5.0,1.0,5.0,1.0,25.0,4.0,38.51,14.25,1.0,4.0,8.0,0.07,37.0,N
29.0,0.0,8.0,35.0,44.0,15.0,2.75,1.0,0.07,3.0,0.14,46.0,0.0,61.1,22.3,0.2,14.0,22.0,0.13,54.0,N
9.0,2.0,11.0,28.0,12.0,5.0,3.0,1.0,0.2,5.0,1.0,34.0,2.0,41.24,20.76,1.0,4.0,6.0,0.06,45.0,N
3.0,0.0,2.0,4.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,10.0,1.0,15.9,9.0,0.5,1.0,2.0,0.1,12.0,N
13.0,0.0,10.0,17.0,24.0,7.0,2.0,1.0,0.14,5.0,0.67,23.0,3.0,27.4,28.12,0.71,6.0,12.0,0.09,33.0,N
13.0,0.0,10.0,17.0,24.0,7.0,2.0,1.0,0.14,5.0,0.67,23.0,3.0,17.45,27.22,0.71,6.0,12.0,0.09,33.0,N
9.0,4.0,2.0,15.0,16.0,5.0,2.0,2.0,0.4,1.0,0.0,31.0,0.0,47.41,27.5,0.2,4.0,8.0,0.06,33.0,N
9.0,6.0,3.0,20.0,16.0,5.0,2.0,2.0,0.4,1.0,0.0,24.0,0.0,43.1,15.2,0.2,4.0,8.0,0.07,27.0,N
3.0,1.0,6.0,5.0,4.0,2.0,2.0,1.0,0.5,1.0,0.0,13.0,1.0,29.61,9.15,0.5,1.0,2.0,0.06,19.0,N
3.0,1.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,33.0,0.0,64.01,11.65,0.5,1.0,2.0,0.04,35.0,N
7.0,0.0,6.0,0.0,10.0,4.0,2.5,1.0,0.25,4.0,1.0,21.0,1.0,21.34,24.44,1.0,3.0,5.0,0.12,27.0,N
60.0,9.0,63.0,31.0,38.0,41.0,2.38,23.0,0.56,6.0,0.13,177.0,5.0,101.81,54.82,0.15,11.0,19.0,0.1,240.0,N
8.0,2.0,4.0,5.0,8.0,5.0,2.0,3.0,0.6,1.0,0.0,14.0,0.0,12.36,15.0,0.2,2.0,4.0,0.15,18.0,N
110.0,26.0,37.0,191.0,128.0,70.0,2.37,46.0,0.66,27.0,0.38,361.0,1.0,157.03,97.73,0.39,37.0,66.0,0.09,398.0,N
24.0,11.0,3.0,48.0,34.0,13.0,2.43,10.0,0.77,7.0,0.5,76.0,1.0,60.5,32.21,0.54,10.0,19.0,0.08,79.0,N
5.0,1.0,0.0,0.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,20.0,1.0,34.17,10.29,0.33,2.0,4.0,0.12,20.0,N
9.0,3.0,4.0,5.0,14.0,5.0,2.33,3.0,0.6,3.0,0.5,27.0,0.0,24.71,21.86,0.6,4.0,7.0,0.11,31.0,N
5.0,7.0,2.0,24.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,15.0,1.0,36.19,7.18,0.33,2.0,4.0,0.05,17.0,N
7.0,3.0,3.0,8.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,13.0,0.0,26.75,11.03,0.25,3.0,6.0,0.1,16.0,N
5.0,4.0,2.0,16.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,25.0,1.0,48.49,14.11,0.33,2.0,4.0,0.04,27.0,N
7.0,5.0,5.0,10.0,12.0,4.0,2.0,4.0,1.0,4.0,1.0,22.0,1.0,28.43,13.42,1.0,3.0,6.0,0.07,27.0,N
11.0,4.0,5.0,19.0,20.0,6.0,2.0,4.0,0.67,1.0,0.0,28.0,2.0,30.61,23.1,0.17,5.0,10.0,0.08,33.0,N
3.0,1.0,3.0,18.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,18.0,2.0,25.62,24.42,0.5,1.0,2.0,0.04,21.0,N
9.0,3.0,2.0,20.0,16.0,5.0,2.0,3.0,0.6,1.0,0.0,24.0,1.0,27.08,39.72,0.2,4.0,8.0,0.07,26.0,N
9.0,4.0,2.0,12.0,16.0,5.0,2.0,5.0,1.0,1.0,0.0,38.0,1.0,54.44,19.25,0.2,4.0,8.0,0.07,40.0,N
9.0,5.0,10.0,9.0,16.0,5.0,2.0,5.0,1.0,5.0,1.0,31.0,1.0,54.55,14.84,1.0,4.0,8.0,0.07,41.0,N
71.0,5.0,14.0,170.0,122.0,37.0,2.1,26.0,0.7,21.0,0.56,196.0,1.0,127.7,71.54,0.57,32.0,61.0,0.07,210.0,Y
11.0,10.0,5.0,44.0,20.0,6.0,2.0,6.0,1.0,1.0,0.0,32.0,0.0,53.31,12.89,0.17,5.0,10.0,0.05,37.0,N
19.0,5.0,6.0,45.0,36.0,10.0,2.0,9.0,0.9,8.0,0.78,71.0,1.0,46.15,27.11,0.8,9.0,18.0,0.07,77.0,Y
3.0,2.0,0.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,15.0,0.0,27.05,14.25,0.5,1.0,2.0,0.06,15.0,Y
17.0,4.0,5.0,32.0,28.0,9.0,2.33,6.0,0.67,4.0,0.38,62.0,2.0,97.49,20.91,0.44,8.0,14.0,0.07,67.0,N
11.0,12.0,3.0,47.0,20.0,6.0,2.0,5.0,0.83,1.0,0.0,41.0,0.0,61.64,16.96,0.17,5.0,10.0,0.05,44.0,N
7.0,2.0,0.0,8.0,12.0,4.0,2.0,1.0,0.25,1.0,0.0,25.0,0.0,31.67,15.0,0.25,3.0,6.0,0.1,25.0,N
25.0,10.0,11.0,57.0,48.0,13.0,2.0,12.0,0.92,1.0,0.0,143.0,1.0,175.18,28.52,0.08,12.0,24.0,0.04,154.0,Y
5.0,3.0,2.0,2.0,8.0,3.0,2.0,3.0,1.0,1.0,0.0,17.0,0.0,36.74,14.57,0.33,2.0,4.0,0.1,19.0,N
7.0,2.0,2.0,2.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,18.0,1.0,54.3,7.89,0.25,3.0,6.0,0.11,20.0,N
11.0,5.0,7.0,30.0,20.0,6.0,2.0,5.0,0.83,1.0,0.0,33.0,0.0,53.63,18.46,0.17,5.0,10.0,0.06,40.0,Y
7.0,3.0,7.0,46.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,92.0,0.0,234.02,26.64,0.25,3.0,6.0,0.02,99.0,Y
13.0,5.0,6.0,14.0,24.0,7.0,2.0,7.0,1.0,1.0,0.0,44.0,0.0,78.96,22.12,0.14,6.0,12.0,0.07,50.0,Y
13.0,7.0,4.0,28.0,24.0,7.0,2.0,7.0,1.0,1.0,0.0,48.0,1.0,124.44,13.9,0.14,6.0,12.0,0.06,52.0,N
19.0,6.0,4.0,31.0,36.0,10.0,2.0,10.0,1.0,1.0,0.0,127.0,1.0,208.02,26.3,0.1,9.0,18.0,0.04,131.0,N
7.0,9.0,0.0,23.0,12.0,4.0,2.0,4.0,1.0,1.0,0.0,21.0,0.0,51.3,7.64,0.25,3.0,6.0,0.04,21.0,N
23.0,2.0,0.0,34.0,42.0,12.0,2.1,8.0,0.67,3.0,0.18,65.0,0.0,108.84,15.19,0.25,11.0,21.0,0.1,65.0,N
