@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
447.0,826.0,12.0,157.0,470.0,385.0,113.0,2824.0,210.28,31079782.27,26.95,8441.0,0.0,1726654.57,80843.08,3021.0,5420.0,609.0,155.0,3442.0,Y
37.0,29.0,8.0,42.0,19.0,19.0,6.0,133.0,108.14,232043.52,1.67,685.0,0.02,12891.31,5009.32,295.0,390.0,121.0,38.0,222.0,Y
11.0,405.0,0.0,17.0,404.0,2.0,1.0,814.0,101.2,4294926.45,6.95,2033.0,0.0,238607.05,20848.47,813.0,1220.0,811.0,411.0,844.0,Y
106.0,240.0,7.0,344.0,127.0,105.0,33.0,952.0,218.17,10100866.9,15.65,5669.0,0.0,561159.25,46943.69,2301.0,3368.0,262.0,49.0,1411.0,Y
101.0,464.0,11.0,75.0,263.0,256.0,140.0,1339.0,106.5,12120796.16,11.98,4308.0,0.0,673377.6,35928.07,1556.0,2752.0,226.0,98.0,1532.0,Y
67.0,187.0,4.0,1.0,94.0,63.0,27.0,391.0,233.07,785182.04,4.51,1780.0,0.02,43621.22,13527.84,718.0,1062.0,167.0,27.0,466.0,Y
105.0,344.0,9.0,40.0,207.0,171.0,58.0,1124.0,122.6,8901671.32,11.01,3848.0,0.0,494537.33,33034.94,1432.0,2416.0,279.0,105.0,1280.0,Y
18.0,47.0,0.0,10.0,24.0,13.0,1.0,75.0,87.74,79302.28,0.88,438.0,0.03,4405.68,2637.8,157.0,281.0,47.0,18.0,107.0,Y
39.0,163.0,1.0,6.0,94.0,67.0,3.0,656.0,114.78,3483952.81,6.67,2702.0,0.01,193552.92,19997.18,784.0,1918.0,117.0,52.0,706.0,N
143.0,67.0,7.0,49.0,34.0,25.0,1.0,589.0,569.78,1385089.67,9.36,3281.0,0.02,76949.43,28092.72,1522.0,1759.0,355.0,23.0,790.0,Y
202.0,503.0,3.0,78.0,286.0,197.0,82.0,1599.0,293.29,10367010.97,18.38,5392.0,0.01,575945.03,55140.81,2243.0,3149.0,1026.0,172.0,1882.0,Y
56.0,175.0,4.0,32.0,104.0,86.0,46.0,559.0,106.36,1896161.7,4.73,1822.0,0.01,105342.32,14201.43,645.0,1177.0,157.0,65.0,657.0,Y
23.0,39.0,2.0,9.0,20.0,8.0,6.0,91.0,72.83,55527.32,0.67,327.0,0.04,3084.85,2010.97,123.0,204.0,49.0,22.0,128.0,Y
53.0,338.0,17.0,30.0,173.0,65.0,90.0,622.0,201.58,2533263.14,7.53,2869.0,0.01,140736.84,22597.73,1093.0,1776.0,195.0,40.0,725.0,Y
63.0,65.0,14.0,11.0,33.0,17.0,19.0,244.0,174.35,396298.57,2.77,1180.0,0.02,22016.59,8312.38,504.0,676.0,111.0,21.0,334.0,Y
4.0,3.0,1.0,1.0,2.0,2.0,1.0,11.0,46.28,976.67,0.07,47.0,0.22,54.26,212.61,21.0,26.0,16.0,7.0,20.0,N
102.0,36.0,13.0,120.0,25.0,24.0,1.0,384.0,149.63,1710253.62,5.33,2049.0,0.01,95014.09,15997.27,784.0,1265.0,176.0,48.0,621.0,Y
11.0,21.0,6.0,12.0,11.0,10.0,5.0,51.0,55.41,40271.64,0.5,255.0,0.04,2237.31,1493.79,95.0,160.0,37.0,21.0,82.0,Y
5.0,3.0,0.0,0.0,2.0,2.0,1.0,16.0,29.06,4911.8,0.13,77.0,0.08,272.88,377.83,26.0,51.0,15.0,15.0,23.0,Y
28.0,45.0,0.0,31.0,23.0,15.0,10.0,184.0,233.12,175381.67,2.13,843.0,0.04,9743.43,6394.12,384.0,459.0,168.0,24.0,243.0,Y
17.0,17.0,0.0,9.0,9.0,6.0,4.0,78.0,79.42,62666.87,0.74,349.0,0.04,3481.49,2230.92,149.0,200.0,61.0,23.0,106.0,Y
