@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute Defective {Y,N}

@data
7.0,15.0,0.0,8.0,4.0,2.0,4.0,1.0,30.0,1.0,0.0,2.0,8.0,4925.18,0.13,273.62,0.25,2.0,4.0,28.0,N
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,0.0,6.43,1308.6,0.16,72.7,0.33,2.0,4.0,12.0,N
5.0,0.0,0.0,8.0,3.0,2.0,1.0,0.33,10.0,1.0,0.0,0.0,7.5,791.15,0.13,43.95,0.33,2.0,4.0,9.0,N
9.0,4.0,0.0,12.0,5.0,3.0,3.0,0.6,17.0,5.0,1.0,1.0,12.0,3749.74,0.08,208.32,1.0,4.0,6.0,14.0,N
13.0,7.0,0.0,24.0,7.0,2.0,6.0,0.86,31.0,1.0,0.0,0.0,11.23,7918.85,0.09,439.94,0.14,6.0,12.0,26.0,N
3.0,3.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,10.25,4292.33,0.1,238.46,0.5,1.0,2.0,7.0,N
5.0,1.0,0.0,8.0,3.0,2.0,2.0,0.67,10.0,1.0,0.0,2.0,15.61,4172.6,0.06,231.81,0.33,2.0,4.0,9.0,N
7.0,0.0,0.0,12.0,4.0,2.0,1.0,0.25,16.0,1.0,0.0,1.0,16.36,3922.73,0.06,217.93,0.25,3.0,6.0,14.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,4.17,150.0,0.24,8.33,0.5,1.0,2.0,5.0,N
5.0,3.0,0.0,8.0,3.0,2.0,2.0,0.67,13.0,1.0,0.0,2.0,12.83,3317.73,0.08,184.32,0.33,2.0,4.0,12.0,Y
7.0,9.0,0.0,12.0,4.0,2.0,4.0,1.0,22.0,1.0,0.0,2.0,7.4,3542.75,0.14,196.82,0.25,3.0,6.0,20.0,N
5.0,7.0,0.0,8.0,3.0,2.0,3.0,1.0,17.0,1.0,0.0,2.0,6.87,2658.2,0.15,147.68,0.33,2.0,4.0,16.0,N
15.0,25.0,0.0,24.0,8.0,2.0,8.0,1.0,56.0,1.0,0.0,2.0,9.12,10120.84,0.11,562.27,0.13,6.0,12.0,50.0,Y
5.0,2.0,0.0,8.0,3.0,2.0,3.0,1.0,15.0,1.0,0.0,2.0,10.68,2589.55,0.09,143.86,0.33,2.0,4.0,14.0,N
33.0,13.0,0.0,16.0,28.0,2.0,15.0,0.54,118.0,1.0,0.0,1.0,47.45,176348.54,0.02,9797.14,0.04,4.0,8.0,92.0,N
3.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,14.0,1.0,0.0,0.0,8.35,2705.36,0.12,150.3,0.5,1.0,2.0,14.0,Y
7.0,1.0,0.0,4.0,5.0,2.0,2.0,0.4,16.0,1.0,0.0,1.0,17.58,8545.97,0.06,474.78,0.2,1.0,2.0,13.0,N
28.0,6.0,0.0,16.0,22.0,2.0,21.0,0.95,59.0,1.0,0.0,2.0,33.06,59603.26,0.03,3311.29,0.05,4.0,8.0,39.0,N
21.0,3.0,1.0,24.0,11.0,6.0,2.0,0.18,32.0,10.0,0.0,1.0,18.75,16859.61,0.05,936.64,0.91,10.0,12.0,23.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,9.0,1.0,0.0,0.0,7.46,1455.85,0.13,80.88,0.5,1.0,2.0,9.0,N
5.0,6.0,0.0,8.0,3.0,2.0,3.0,1.0,14.0,1.0,0.0,2.0,12.79,8399.67,0.08,466.65,0.33,2.0,4.0,13.0,N
3.0,2.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,3.86,271.19,0.26,15.07,0.5,1.0,2.0,6.0,N
3.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,7.0,1.0,0.0,3.0,7.7,1014.63,0.13,56.37,0.5,1.0,2.0,7.0,N
7.0,16.0,0.0,8.0,4.0,2.0,4.0,1.0,30.0,1.0,0.0,2.0,5.96,3588.0,0.17,199.33,0.25,2.0,4.0,28.0,Y
5.0,4.0,0.0,8.0,3.0,2.0,3.0,1.0,13.0,1.0,0.0,0.0,4.42,966.99,0.23,53.72,0.33,2.0,4.0,12.0,Y
10.0,6.0,0.0,8.0,7.0,2.0,7.0,1.0,23.0,1.0,0.0,0.0,16.3,9698.89,0.06,538.83,0.14,2.0,4.0,18.0,N
10.0,1.0,0.0,12.0,6.0,2.0,5.0,0.83,21.0,1.0,0.0,0.0,25.54,19104.17,0.04,1061.34,0.17,3.0,6.0,17.0,N
11.0,5.0,0.0,12.0,7.0,2.0,7.0,1.0,36.0,1.0,0.0,1.0,28.0,37867.16,0.04,2103.73,0.14,3.0,6.0,31.0,N
