@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute EDGE_COUNT numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,5.0,0.0,0.0,8.0,3.0,4.0,10.0,2.0,17.0,0.05,0.06,160.18,2.0,4.0,9.0,0.33,5.0,9.0,8.0,N
1.0,3.0,0.0,0.0,4.0,2.0,2.0,8.0,0.0,5.71,0.03,0.18,78.14,1.0,2.0,8.0,0.29,7.0,7.0,5.0,N
18.0,19.0,1.0,58.0,34.0,10.0,16.0,41.0,1.0,40.23,0.83,0.02,2478.2,9.0,17.0,33.0,0.07,55.0,138.0,61.0,N
2.0,3.0,0.0,9.0,4.0,2.0,2.0,6.0,0.0,6.79,0.1,0.15,311.78,1.0,2.0,6.0,0.09,17.0,22.0,10.0,N
36.0,13.0,0.0,42.0,18.0,7.0,8.0,38.0,1.0,59.93,2.36,0.02,7090.97,5.0,9.0,33.0,0.03,107.0,218.0,120.0,Y
43.0,39.0,1.0,35.0,56.0,22.0,24.0,98.0,0.0,33.04,1.07,0.03,3215.86,16.0,28.0,78.0,0.1,91.0,221.0,108.0,N
10.0,3.0,0.0,2.0,4.0,2.0,2.0,10.0,1.0,9.52,0.16,0.11,471.46,1.0,2.0,10.0,0.06,28.0,35.0,22.0,N
34.0,23.0,0.0,31.0,34.0,13.0,16.0,60.0,2.0,64.54,1.58,0.02,4729.73,9.0,17.0,49.0,0.07,76.0,174.0,83.0,N
17.0,15.0,0.0,7.0,8.0,11.0,4.0,32.0,1.0,27.6,0.43,0.04,1284.0,2.0,4.0,23.0,0.14,40.0,79.0,54.0,N
55.0,40.0,0.0,55.0,44.0,25.0,20.0,91.0,1.0,61.92,1.98,0.02,5942.58,12.0,22.0,68.0,0.09,101.0,288.0,153.0,Y
