@relation SelectedFeatures
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUMBER_OF_LINES numeric
@attribute Defective {Y,N}

@data
7.0,1.0,14.0,0.0,12.0,4.0,6.0,2.0,1.0,14.0,1.0,0.0,3.0,4.0,0.14,411.64,3.0,6.0,12.0,20.0,N
7.0,2.0,14.0,0.0,12.0,4.0,6.0,2.0,2.0,15.0,1.0,0.0,3.0,5.0,0.15,435.57,3.0,6.0,13.0,20.0,N
7.0,0.0,4.0,0.0,12.0,4.0,6.0,2.0,1.0,12.0,1.0,0.0,1.0,3.0,0.02,56.47,3.0,6.0,10.0,8.0,N
3.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.01,19.65,1.0,2.0,5.0,4.0,N
3.0,0.0,1.0,14.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,0.01,19.65,1.0,2.0,5.0,18.0,N
3.0,1.0,5.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,0.03,96.21,1.0,2.0,7.0,10.0,N
3.0,1.0,5.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,4.0,0.04,114.22,1.0,2.0,7.0,11.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,4.0,0.01,36.0,1.0,2.0,6.0,5.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,4.0,0.01,36.0,1.0,2.0,6.0,5.0,N
3.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,4.0,0.01,36.0,1.0,2.0,6.0,5.0,N
7.0,6.0,26.0,1.0,12.0,4.0,6.0,2.0,4.0,21.0,4.0,1.0,4.0,5.0,0.19,580.0,3.0,6.0,19.0,34.0,N
7.0,5.0,26.0,1.0,12.0,4.0,6.0,2.0,3.0,19.0,4.0,1.0,4.0,4.0,0.18,540.0,3.0,6.0,17.0,34.0,N
7.0,3.0,21.0,1.0,12.0,4.0,6.0,2.0,4.0,17.0,4.0,1.0,4.0,5.0,0.15,456.65,3.0,6.0,15.0,30.0,N
7.0,2.0,21.0,1.0,12.0,4.0,6.0,2.0,2.0,15.0,4.0,1.0,4.0,4.0,0.14,417.79,3.0,6.0,13.0,29.0,N
3.0,2.0,6.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,2.0,0.04,111.01,1.0,2.0,7.0,11.0,N
3.0,2.0,6.0,0.0,4.0,2.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,0.05,137.06,1.0,2.0,7.0,11.0,N
3.0,0.0,6.0,0.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,2.0,0.02,69.19,1.0,2.0,6.0,10.0,N
