@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
14.0,11.0,6.0,0.23,0.5,1.0,41.87,14.17,8403.03,0.2,110.0,0.07,466.83,0.17,5.0,22.0,51.0,27.0,15.0,11.54,N
6.0,3.0,2.0,0.5,1.0,1.0,12.18,3.0,109.62,0.01,11.0,0.33,6.09,0.5,1.0,5.0,4.0,4.0,6.0,57.14,N
14.0,19.0,11.0,0.28,0.82,3.0,37.31,23.86,21248.49,0.3,152.0,0.04,1180.47,0.27,7.0,28.0,63.0,33.0,25.0,33.33,N
20.0,17.0,10.0,0.26,0.3,3.0,31.44,19.3,11716.29,0.2,107.0,0.05,650.91,0.3,6.0,23.0,47.0,28.0,23.0,29.41,N
6.0,3.0,2.0,0.18,1.0,1.0,31.9,6.9,1518.54,0.07,48.0,0.14,84.36,0.5,1.0,10.0,23.0,15.0,9.0,9.09,Y
17.0,7.0,4.0,0.2,1.0,1.0,46.83,14.48,9823.41,0.23,125.0,0.07,545.75,0.25,3.0,20.0,60.0,29.0,14.0,40.74,N
7.0,5.0,3.0,0.3,1.0,1.0,17.81,11.08,2188.05,0.07,42.0,0.09,121.56,0.33,2.0,10.0,19.0,12.0,14.0,42.86,N
3.0,5.0,3.0,0.27,0.67,1.0,32.98,6.18,1260.48,0.07,48.0,0.16,70.03,0.33,2.0,11.0,17.0,11.0,8.0,9.09,N
2.0,11.0,6.0,0.2,0.17,4.0,36.79,15.58,8933.27,0.19,107.0,0.06,496.29,0.67,5.0,12.0,44.0,24.0,17.0,36.11,N
9.0,11.0,6.0,0.13,0.5,1.0,56.47,17.4,17102.11,0.33,180.0,0.06,950.12,0.17,5.0,20.0,83.0,31.0,13.0,36.51,N
0.0,5.0,3.0,0.23,1.0,1.0,23.44,7.33,1260.57,0.06,38.0,0.14,70.03,0.33,2.0,10.0,16.0,12.0,11.0,0.0,N
