@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
22.0,15.0,9.0,4.0,26.0,8.0,0.22,12.0,2.17,35.0,0.0,0.21,120.0,634.25,0.13,7.0,13.0,29.0,71.0,36.0,Y
7.0,1.0,2.0,0.0,0.0,1.0,0.14,0.0,0.0,3.0,0.0,0.05,38.0,144.68,1.0,0.0,0.0,4.0,18.0,7.0,N
10.0,3.0,2.0,0.0,4.0,2.0,0.2,2.0,2.0,9.0,0.0,0.05,37.0,159.91,0.5,1.0,2.0,9.0,24.0,10.0,N
9.0,3.0,2.0,0.0,4.0,2.0,0.2,2.0,2.0,9.0,0.0,0.05,38.0,164.23,0.5,1.0,2.0,9.0,27.0,10.0,N
3.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.0,0.01,12.0,39.86,1.0,0.0,0.0,2.0,10.0,4.0,N
9.0,1.0,4.0,0.0,0.0,1.0,0.13,0.0,0.0,5.0,1.0,0.03,23.0,87.57,1.0,0.0,0.0,6.0,22.0,8.0,N
8.0,3.0,4.0,9.0,4.0,2.0,0.11,2.0,2.0,8.0,1.0,0.11,69.0,331.71,0.5,1.0,2.0,8.0,34.0,19.0,Y
5.0,1.0,1.0,0.0,0.0,1.0,0.17,0.0,0.0,2.0,1.0,0.02,18.0,66.61,1.0,0.0,0.0,3.0,14.0,6.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,2.0,1.0,0.04,32.0,125.02,1.0,0.0,0.0,3.0,15.0,7.0,N
6.0,5.0,1.0,1.0,6.0,3.0,0.17,2.0,3.0,9.0,1.0,0.1,64.0,285.4,1.0,2.0,3.0,8.0,27.0,18.0,N
4.0,1.0,1.0,1.0,0.0,1.0,0.33,0.0,0.0,2.0,1.0,0.01,11.0,34.87,1.0,0.0,0.0,3.0,11.0,3.0,Y
6.0,3.0,1.0,1.0,4.0,2.0,0.12,2.0,2.0,7.0,1.0,0.08,56.0,242.03,0.5,1.0,2.0,7.0,26.0,17.0,Y
6.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.06,44.0,176.0,1.0,0.0,0.0,3.0,19.0,10.0,N
5.0,1.0,2.0,0.0,0.0,1.0,0.17,0.0,0.0,3.0,1.0,0.04,28.0,118.94,1.0,0.0,0.0,4.0,14.0,6.0,N
7.0,1.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,1.0,0.06,44.0,176.0,1.0,0.0,0.0,3.0,20.0,10.0,N
5.0,1.0,1.0,0.0,0.0,1.0,0.14,0.0,0.0,2.0,1.0,0.04,30.0,117.21,1.0,0.0,0.0,3.0,15.0,7.0,N
6.0,1.0,2.0,0.0,0.0,1.0,0.13,0.0,0.0,3.0,1.0,0.06,43.0,182.66,1.0,0.0,0.0,4.0,18.0,8.0,N
6.0,3.0,1.0,1.0,4.0,2.0,0.2,2.0,2.0,6.0,1.0,0.08,55.0,233.64,0.5,1.0,2.0,6.0,19.0,10.0,Y
6.0,3.0,1.0,0.0,4.0,2.0,0.2,2.0,2.0,6.0,1.0,0.08,55.0,229.35,0.5,1.0,2.0,6.0,19.0,10.0,N
5.0,1.0,2.0,0.0,0.0,1.0,0.14,0.0,0.0,3.0,1.0,0.04,31.0,129.27,1.0,0.0,0.0,4.0,15.0,7.0,N
4.0,5.0,2.0,0.0,8.0,3.0,0.25,4.0,2.0,10.0,0.0,0.06,40.0,178.38,0.33,2.0,4.0,9.0,18.0,12.0,N
5.0,3.0,2.0,1.0,4.0,2.0,0.25,2.0,2.0,6.0,4.0,0.03,22.0,89.92,0.5,1.0,2.0,6.0,19.0,8.0,N
4.0,3.0,2.0,0.0,4.0,2.0,0.25,2.0,2.0,6.0,4.0,0.03,22.0,89.92,0.5,1.0,2.0,6.0,18.0,8.0,N
8.0,5.0,3.0,1.0,6.0,3.0,0.12,2.0,3.0,12.0,3.0,0.19,116.0,557.65,1.0,2.0,3.0,11.0,38.0,25.0,Y
