@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
8.0,5.0,6.0,3.0,1.0,0.33,0.0,1.0,0.33,16.5,0.15,0.06,2.0,4.0,24.0,0.09,33.0,14.0,27.27,16.0,N
3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,7.07,0.04,0.14,0.0,0.0,6.0,0.07,11.0,7.0,33.33,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.02,0.25,0.0,0.0,3.0,0.14,4.0,4.0,0.0,3.0,N
3.0,25.0,9.0,13.0,1.0,0.08,0.0,12.0,0.92,57.0,0.42,0.02,12.0,20.0,32.0,0.15,108.0,18.0,35.06,68.0,N
2.0,25.0,8.0,13.0,1.0,0.08,0.0,12.0,0.92,57.0,0.42,0.02,12.0,20.0,32.0,0.15,108.0,18.0,31.58,68.0,N
2.0,21.0,0.0,11.0,1.0,0.09,0.0,11.0,1.0,37.4,0.11,0.03,10.0,16.0,24.0,0.28,34.0,5.0,15.15,33.0,N
2.0,21.0,0.0,11.0,1.0,0.09,0.0,11.0,1.0,37.4,0.11,0.03,10.0,16.0,24.0,0.28,34.0,5.0,15.15,33.0,N
2.0,21.0,0.0,11.0,1.0,0.09,0.0,11.0,1.0,37.4,0.11,0.03,10.0,16.0,24.0,0.28,34.0,5.0,15.15,33.0,N
0.0,9.0,0.0,5.0,5.0,1.0,2.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.25,0.02,0.19,0.0,0.0,2.0,0.25,6.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.13,0.02,0.16,0.0,0.0,3.0,0.25,7.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,2.0,2.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,N
0.0,9.0,0.0,5.0,5.0,1.0,2.0,5.0,1.0,27.62,0.06,0.04,5.0,8.0,12.0,0.5,17.0,4.0,42.86,7.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.14,4.0,2.0,0.0,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.25,0.0,0.0,2.0,0.14,4.0,1.0,0.0,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,2.0,0.14,4.0,1.0,0.0,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.01,0.33,0.0,0.0,5.0,0.13,4.0,2.0,0.0,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,2.0,0.0,0.0,2.0,0.1,4.0,4.0,0.0,6.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.25,0.02,0.19,0.0,0.0,2.0,0.25,6.0,4.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.01,0.5,0.0,0.0,2.0,0.2,4.0,4.0,33.33,3.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,0.67,0.0,0.0,2.0,0.25,1.0,1.0,0.0,2.0,N
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.13,0.02,0.16,0.0,0.0,3.0,0.25,7.0,4.0,0.0,2.0,N
4.0,7.0,2.0,4.0,3.0,0.75,0.0,0.0,0.0,21.87,0.15,0.05,3.0,6.0,15.0,0.13,41.0,15.0,25.0,22.0,N
0.0,7.0,0.0,4.0,4.0,1.0,0.0,4.0,1.0,9.0,0.05,0.11,4.0,5.0,10.0,0.57,12.0,6.0,0.0,5.0,N
2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.5,0.04,0.15,0.0,0.0,3.0,0.09,13.0,6.0,14.29,7.0,N
