@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute Defective {Y,N}

@data
6.0,9.0,2.0,1.0,0.0,16.0,5.0,0.2,8.0,2.0,3.0,0.6,17.0,1.0,0.0,24.0,3.0,32.54,9.5,N
15.0,7.0,3.0,1.0,19.0,12.0,4.0,0.13,6.0,2.0,2.0,0.5,17.0,1.0,0.0,31.0,1.0,38.55,21.52,Y
27.0,9.0,1.0,4.0,22.0,16.0,5.0,0.15,8.0,2.0,3.0,0.6,18.0,1.0,0.0,29.0,0.0,52.03,12.33,Y
7.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,6.0,1.0,0.0,12.0,2.0,14.62,6.43,N
51.0,25.0,13.0,0.0,14.0,48.0,13.0,0.12,24.0,2.0,11.0,0.85,96.0,1.0,0.0,106.0,2.0,101.31,27.04,N
3.0,5.0,2.0,0.0,0.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,12.0,1.0,0.0,15.0,1.0,8.17,18.0,N
13.0,9.0,5.0,12.0,16.0,16.0,5.0,0.14,8.0,2.0,5.0,1.0,21.0,5.0,1.0,25.0,4.0,38.51,14.25,N
22.0,29.0,0.0,8.0,35.0,44.0,15.0,0.28,16.0,2.75,1.0,0.07,45.0,3.0,0.14,46.0,0.0,61.1,22.3,N
16.0,9.0,2.0,11.0,28.0,12.0,5.0,0.11,4.0,3.0,1.0,0.2,21.0,5.0,1.0,34.0,2.0,41.24,20.76,N
4.0,3.0,0.0,2.0,4.0,4.0,2.0,0.17,2.0,2.0,1.0,0.5,6.0,1.0,0.0,10.0,1.0,15.9,9.0,N
23.0,13.0,0.0,10.0,17.0,24.0,7.0,0.21,12.0,2.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,27.4,28.12,N
23.0,13.0,0.0,10.0,17.0,24.0,7.0,0.21,12.0,2.0,1.0,0.14,27.0,5.0,0.67,23.0,3.0,17.45,27.22,N
40.0,9.0,4.0,2.0,15.0,16.0,5.0,0.15,8.0,2.0,2.0,0.4,21.0,1.0,0.0,31.0,0.0,47.41,27.5,N
23.0,9.0,6.0,3.0,20.0,16.0,5.0,0.19,8.0,2.0,2.0,0.4,23.0,1.0,0.0,24.0,0.0,43.1,15.2,N
8.0,3.0,1.0,6.0,5.0,4.0,2.0,0.11,2.0,2.0,1.0,0.5,7.0,1.0,0.0,13.0,1.0,29.61,9.15,N
19.0,3.0,1.0,2.0,0.0,4.0,2.0,0.06,2.0,2.0,2.0,1.0,23.0,1.0,0.0,33.0,0.0,64.01,11.65,N
6.0,7.0,0.0,6.0,0.0,10.0,4.0,0.15,4.0,2.5,1.0,0.25,13.0,4.0,1.0,21.0,1.0,21.34,24.44,N
134.0,60.0,9.0,63.0,31.0,38.0,41.0,0.17,16.0,2.38,23.0,0.56,118.0,6.0,0.13,177.0,5.0,101.81,54.82,N
9.0,8.0,2.0,4.0,5.0,8.0,5.0,0.28,4.0,2.0,3.0,0.6,14.0,1.0,0.0,14.0,0.0,12.36,15.0,N
164.0,110.0,26.0,37.0,191.0,128.0,70.0,0.18,54.0,2.37,46.0,0.66,241.0,27.0,0.38,361.0,1.0,157.03,97.73,N
27.0,24.0,11.0,3.0,48.0,34.0,13.0,0.16,14.0,2.43,10.0,0.77,53.0,7.0,0.5,76.0,1.0,60.5,32.21,N
5.0,5.0,1.0,0.0,0.0,8.0,3.0,0.15,4.0,2.0,3.0,1.0,10.0,1.0,0.0,20.0,1.0,34.17,10.29,N
7.0,9.0,3.0,4.0,5.0,14.0,5.0,0.16,6.0,2.33,3.0,0.6,20.0,3.0,0.5,27.0,0.0,24.71,21.86,N
16.0,5.0,7.0,2.0,24.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,15.0,1.0,0.0,15.0,1.0,36.19,7.18,N
15.0,7.0,3.0,3.0,8.0,12.0,4.0,0.25,6.0,2.0,4.0,1.0,15.0,1.0,0.0,13.0,0.0,26.75,11.03,N
19.0,5.0,4.0,2.0,16.0,8.0,3.0,0.11,4.0,2.0,3.0,1.0,14.0,1.0,0.0,25.0,1.0,48.49,14.11,N
19.0,7.0,5.0,5.0,10.0,12.0,4.0,0.15,6.0,2.0,4.0,1.0,15.0,4.0,1.0,22.0,1.0,28.43,13.42,N
15.0,11.0,4.0,5.0,19.0,20.0,6.0,0.18,10.0,2.0,4.0,0.67,23.0,1.0,0.0,28.0,2.0,30.61,23.1,N
13.0,3.0,1.0,3.0,18.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,6.0,1.0,0.0,18.0,2.0,25.62,24.42,N
14.0,9.0,3.0,2.0,20.0,16.0,5.0,0.19,8.0,2.0,3.0,0.6,21.0,1.0,0.0,24.0,1.0,27.08,39.72,N
12.0,9.0,4.0,2.0,12.0,16.0,5.0,0.13,8.0,2.0,5.0,1.0,22.0,1.0,0.0,38.0,1.0,54.44,19.25,N
23.0,9.0,5.0,10.0,9.0,16.0,5.0,0.12,8.0,2.0,5.0,1.0,21.0,5.0,1.0,31.0,1.0,54.55,14.84,N
155.0,71.0,5.0,14.0,170.0,122.0,37.0,0.18,58.0,2.1,26.0,0.7,148.0,21.0,0.56,196.0,1.0,127.7,71.54,Y
42.0,11.0,10.0,5.0,44.0,20.0,6.0,0.16,10.0,2.0,6.0,1.0,30.0,1.0,0.0,32.0,0.0,53.31,12.89,N
30.0,19.0,5.0,6.0,45.0,36.0,10.0,0.13,18.0,2.0,9.0,0.9,48.0,8.0,0.78,71.0,1.0,46.15,27.11,Y
9.0,3.0,2.0,0.0,7.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,6.0,1.0,0.0,15.0,0.0,27.05,14.25,Y
26.0,17.0,4.0,5.0,32.0,28.0,9.0,0.13,12.0,2.33,6.0,0.67,39.0,4.0,0.38,62.0,2.0,97.49,20.91,N
40.0,11.0,12.0,3.0,47.0,20.0,6.0,0.14,10.0,2.0,5.0,0.83,40.0,1.0,0.0,41.0,0.0,61.64,16.96,N
7.0,7.0,2.0,0.0,8.0,12.0,4.0,0.16,6.0,2.0,1.0,0.25,16.0,1.0,0.0,25.0,0.0,31.67,15.0,N
93.0,25.0,10.0,11.0,57.0,48.0,13.0,0.08,24.0,2.0,12.0,0.92,69.0,1.0,0.0,143.0,1.0,175.18,28.52,Y
9.0,5.0,3.0,2.0,2.0,8.0,3.0,0.16,4.0,2.0,3.0,1.0,11.0,1.0,0.0,17.0,0.0,36.74,14.57,N
12.0,7.0,2.0,2.0,2.0,12.0,4.0,0.2,6.0,2.0,4.0,1.0,14.0,1.0,0.0,18.0,1.0,54.3,7.89,N
31.0,11.0,5.0,7.0,30.0,20.0,6.0,0.15,10.0,2.0,5.0,0.83,26.0,1.0,0.0,33.0,0.0,53.63,18.46,Y
62.0,7.0,3.0,7.0,46.0,12.0,4.0,0.04,6.0,2.0,4.0,1.0,15.0,1.0,0.0,92.0,0.0,234.02,26.64,Y
36.0,13.0,5.0,6.0,14.0,24.0,7.0,0.14,12.0,2.0,7.0,1.0,30.0,1.0,0.0,44.0,0.0,78.96,22.12,Y
39.0,13.0,7.0,4.0,28.0,24.0,7.0,0.13,12.0,2.0,7.0,1.0,33.0,1.0,0.0,48.0,1.0,124.44,13.9,N
77.0,19.0,6.0,4.0,31.0,36.0,10.0,0.08,18.0,2.0,10.0,1.0,69.0,1.0,0.0,127.0,1.0,208.02,26.3,N
55.0,7.0,9.0,0.0,23.0,12.0,4.0,0.19,6.0,2.0,4.0,1.0,19.0,1.0,0.0,21.0,0.0,51.3,7.64,N
17.0,23.0,2.0,0.0,34.0,42.0,12.0,0.18,20.0,2.1,8.0,0.67,46.0,3.0,0.18,65.0,0.0,108.84,15.19,N
12.0,3.0,2.0,1.0,8.0,4.0,2.0,0.06,2.0,2.0,2.0,1.0,6.0,1.0,0.0,32.0,0.0,68.36,18.78,N
13.0,9.0,7.0,1.0,20.0,16.0,5.0,0.21,8.0,2.0,5.0,1.0,20.0,1.0,0.0,23.0,0.0,30.19,7.85,N
3.0,3.0,0.0,1.0,6.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,5.0,1.0,0.0,8.0,1.0,10.63,3.75,N
22.0,19.0,8.0,1.0,1.0,28.0,11.0,0.17,14.0,2.0,9.0,0.82,55.0,10.0,0.9,63.0,2.0,40.21,43.24,N
12.0,7.0,4.0,1.0,0.0,12.0,4.0,0.17,6.0,2.0,4.0,1.0,19.0,4.0,1.0,22.0,2.0,30.25,10.71,N
15.0,13.0,4.0,1.0,1.0,24.0,7.0,0.19,12.0,2.0,6.0,0.86,39.0,1.0,0.0,36.0,2.0,34.37,26.52,N
5.0,3.0,1.0,1.0,2.0,4.0,2.0,0.08,2.0,2.0,2.0,1.0,21.0,1.0,0.0,23.0,2.0,56.67,6.13,N
12.0,9.0,3.0,1.0,1.0,16.0,5.0,0.24,8.0,2.0,4.0,0.8,19.0,5.0,1.0,20.0,2.0,23.83,11.5,N
9.0,7.0,3.0,4.0,0.0,12.0,4.0,0.19,6.0,2.0,4.0,1.0,17.0,4.0,1.0,17.0,2.0,26.81,10.4,N
27.0,27.0,7.0,3.0,1.0,44.0,15.0,0.2,22.0,2.0,12.0,0.8,66.0,8.0,0.5,73.0,2.0,36.37,50.39,N
7.0,3.0,1.0,4.0,1.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,6.0,1.0,0.0,6.0,2.0,16.39,3.5,N
10.0,7.0,5.0,5.0,1.0,12.0,4.0,0.18,6.0,2.0,3.0,0.75,21.0,1.0,0.0,17.0,2.0,31.11,12.06,N
22.0,23.0,7.0,3.0,1.0,36.0,13.0,0.19,18.0,2.0,9.0,0.69,59.0,9.0,0.67,64.0,2.0,39.47,43.33,N
3.0,7.0,1.0,0.0,0.0,10.0,4.0,0.2,4.0,2.5,2.0,0.5,12.0,4.0,1.0,20.0,1.0,13.47,16.0,N
3.0,11.0,1.0,0.0,0.0,16.0,6.0,0.25,6.0,2.67,2.0,0.33,18.0,6.0,1.0,24.0,1.0,19.97,17.33,N
3.0,11.0,1.0,0.0,0.0,16.0,6.0,0.25,6.0,2.67,2.0,0.33,18.0,6.0,1.0,24.0,1.0,19.97,17.33,N
0.0,5.0,0.0,0.0,0.0,6.0,3.0,0.33,2.0,3.0,1.0,0.33,8.0,3.0,1.0,9.0,1.0,14.65,4.8,N
0.0,9.0,0.0,0.0,0.0,10.0,5.0,0.56,2.0,5.0,1.0,0.2,12.0,5.0,1.0,9.0,1.0,19.29,6.43,N
0.0,5.0,0.0,0.0,0.0,6.0,3.0,0.33,2.0,3.0,1.0,0.33,8.0,3.0,1.0,9.0,1.0,9.14,10.0,N
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.14,2.0,2.0,1.0,0.5,6.0,1.0,0.0,14.0,2.0,36.78,7.07,N
39.0,9.0,8.0,9.0,14.0,16.0,5.0,0.07,8.0,2.0,5.0,1.0,24.0,1.0,0.0,60.0,8.0,97.85,22.12,N
9.0,5.0,2.0,10.0,6.0,8.0,3.0,0.12,4.0,2.0,3.0,1.0,10.0,1.0,0.0,16.0,0.0,39.8,9.0,N
4.0,3.0,2.0,0.0,4.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,6.0,1.0,0.0,12.0,1.0,23.34,6.11,N
3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.15,2.0,2.0,1.0,0.5,6.0,1.0,0.0,13.0,2.0,18.1,9.63,N
55.0,34.0,25.0,3.0,91.0,12.0,30.0,0.22,6.0,2.0,26.0,0.87,70.0,1.0,0.0,133.0,3.0,54.04,77.46,Y
5.0,3.0,3.0,0.0,13.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,7.0,1.0,0.0,16.0,3.0,21.16,9.1,N
22.0,7.0,2.0,3.0,5.0,10.0,4.0,0.13,4.0,2.5,3.0,0.75,12.0,3.0,0.67,27.0,3.0,28.78,18.12,N
19.0,9.0,2.0,3.0,15.0,14.0,5.0,0.15,6.0,2.33,4.0,0.8,16.0,4.0,0.75,31.0,3.0,35.02,17.25,N
12.0,9.0,3.0,2.0,28.0,16.0,5.0,0.13,8.0,2.0,3.0,0.6,19.0,1.0,0.0,37.0,2.0,30.93,16.0,N
5.0,7.0,1.0,0.0,6.0,10.0,4.0,0.15,4.0,2.5,2.0,0.5,13.0,3.0,0.67,26.0,2.0,38.77,13.2,N
