@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute Defective {Y,N}

@data
8.0,7.0,15.0,0.0,6.0,8.0,4.0,0.15,4.0,2.0,4.0,1.0,30.0,1.0,0.0,26.0,2.0,76.96,8.0,4925.18,0.21,108.0,0.13,273.62,615.65,0.25,2.0,4.0,N
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,13.0,1.0,0.0,11.0,0.0,31.66,6.43,1308.6,0.07,45.0,0.16,72.7,203.56,0.33,2.0,4.0,N
2.0,5.0,0.0,0.0,4.0,8.0,3.0,0.33,4.0,2.0,1.0,0.33,10.0,1.0,0.0,9.0,0.0,14.06,7.5,791.15,0.04,27.0,0.13,43.95,105.49,0.33,2.0,4.0,N
4.0,9.0,4.0,0.0,6.0,12.0,5.0,0.33,4.0,3.0,3.0,0.6,17.0,5.0,1.0,15.0,1.0,26.04,12.0,3749.74,0.1,65.0,0.08,208.32,312.48,1.0,4.0,6.0,N
6.0,13.0,7.0,0.0,6.0,24.0,7.0,0.23,12.0,2.0,6.0,0.86,31.0,1.0,0.0,31.0,0.0,62.84,11.23,7918.85,0.24,130.0,0.09,439.94,705.41,0.14,6.0,12.0,N
4.0,3.0,3.0,0.0,0.0,4.0,2.0,0.07,2.0,2.0,2.0,1.0,7.0,1.0,0.0,28.0,2.0,40.86,10.25,4292.33,0.14,81.0,0.1,238.46,418.76,0.5,1.0,2.0,N
5.0,5.0,1.0,0.0,3.0,8.0,3.0,0.2,4.0,2.0,2.0,0.67,10.0,1.0,0.0,15.0,2.0,17.13,15.61,4172.6,0.09,53.0,0.06,231.81,267.35,0.33,2.0,4.0,N
1.0,7.0,0.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,1.0,0.25,16.0,1.0,0.0,12.0,1.0,14.65,16.36,3922.73,0.08,51.0,0.06,217.93,239.72,0.25,3.0,6.0,N
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,5.0,1.0,0.0,7.0,0.0,8.64,4.17,150.0,0.01,12.0,0.24,8.33,36.0,0.5,1.0,2.0,N
3.0,5.0,3.0,0.0,15.0,8.0,3.0,0.19,4.0,2.0,2.0,0.67,13.0,1.0,0.0,16.0,2.0,20.14,12.83,3317.73,0.09,55.0,0.08,184.32,258.51,0.33,2.0,4.0,Y
3.0,7.0,9.0,0.0,2.0,12.0,4.0,0.13,6.0,2.0,4.0,1.0,22.0,1.0,0.0,31.0,2.0,64.76,7.4,3542.75,0.16,90.0,0.14,196.82,478.97,0.25,3.0,6.0,N
2.0,5.0,7.0,0.0,2.0,8.0,3.0,0.12,4.0,2.0,3.0,1.0,17.0,1.0,0.0,26.0,2.0,56.24,6.87,2658.2,0.13,76.0,0.15,147.68,386.65,0.33,2.0,4.0,N
17.0,15.0,25.0,0.0,11.0,24.0,8.0,0.18,12.0,2.0,8.0,1.0,56.0,1.0,0.0,44.0,2.0,121.61,9.12,10120.84,0.37,181.0,0.11,562.27,1109.4,0.13,6.0,12.0,Y
3.0,5.0,2.0,0.0,2.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,15.0,1.0,0.0,16.0,2.0,22.71,10.68,2589.55,0.08,51.0,0.09,143.86,242.5,0.33,2.0,4.0,N
20.0,33.0,13.0,0.0,9.0,16.0,28.0,0.28,8.0,2.0,15.0,0.54,118.0,1.0,0.0,100.0,1.0,78.34,47.45,176348.54,1.24,526.0,0.02,9797.14,3716.76,0.04,4.0,8.0,N
1.0,3.0,4.0,0.0,3.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,14.0,1.0,0.0,9.0,0.0,38.84,8.35,2705.36,0.11,75.0,0.12,150.3,324.14,0.5,1.0,2.0,Y
4.0,7.0,1.0,0.0,0.0,4.0,5.0,0.23,2.0,2.0,2.0,0.4,16.0,1.0,0.0,22.0,1.0,27.67,17.58,8545.97,0.16,92.0,0.06,474.78,486.26,0.2,1.0,2.0,N
9.0,28.0,6.0,0.0,4.0,16.0,22.0,0.48,8.0,2.0,21.0,0.95,59.0,1.0,0.0,46.0,2.0,54.53,33.06,59603.26,0.6,286.0,0.03,3311.29,1802.88,0.05,4.0,8.0,N
5.0,21.0,3.0,1.0,2.0,24.0,11.0,0.3,4.0,6.0,2.0,0.18,32.0,10.0,0.0,36.0,1.0,47.96,18.75,16859.61,0.3,161.0,0.05,936.64,899.18,0.91,10.0,12.0,N
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,9.0,1.0,0.0,10.0,0.0,26.13,7.46,1455.85,0.07,42.0,0.13,80.88,195.04,0.5,1.0,2.0,N
5.0,5.0,6.0,0.0,5.0,8.0,3.0,0.13,4.0,2.0,3.0,1.0,14.0,1.0,0.0,24.0,2.0,51.32,12.79,8399.67,0.22,121.0,0.08,466.65,656.58,0.33,2.0,4.0,N
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,6.0,1.0,0.0,9.0,0.0,18.23,3.86,271.19,0.02,19.0,0.26,15.07,70.31,0.5,1.0,2.0,N
2.0,3.0,1.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,7.0,1.0,0.0,11.0,3.0,17.11,7.7,1014.63,0.04,30.0,0.13,56.37,131.77,0.5,1.0,2.0,N
6.0,7.0,16.0,0.0,3.0,8.0,4.0,0.14,4.0,2.0,4.0,1.0,30.0,1.0,0.0,28.0,2.0,101.03,5.96,3588.0,0.2,109.0,0.17,199.33,602.07,0.25,2.0,4.0,Y
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.17,4.0,2.0,3.0,1.0,13.0,1.0,0.0,18.0,0.0,49.47,4.42,966.99,0.07,46.0,0.23,53.72,218.72,0.33,2.0,4.0,Y
5.0,10.0,6.0,0.0,0.0,8.0,7.0,0.22,4.0,2.0,7.0,1.0,23.0,1.0,0.0,32.0,0.0,36.52,16.3,9698.89,0.2,106.0,0.06,538.83,595.16,0.14,2.0,4.0,N
7.0,10.0,1.0,0.0,2.0,12.0,6.0,0.15,6.0,2.0,5.0,0.83,21.0,1.0,0.0,39.0,0.0,29.3,25.54,19104.17,0.25,130.0,0.04,1061.34,748.14,0.17,3.0,6.0,N
6.0,11.0,5.0,0.0,0.0,12.0,7.0,0.15,6.0,2.0,7.0,1.0,36.0,1.0,0.0,47.0,1.0,48.3,28.0,37867.16,0.45,235.0,0.04,2103.73,1352.4,0.14,3.0,6.0,N
9.0,23.0,1.0,0.0,13.0,44.0,12.0,0.25,22.0,2.0,2.0,0.17,47.0,1.0,0.0,48.0,0.0,30.32,47.53,68495.54,0.48,246.0,0.02,3805.31,1441.06,0.08,11.0,22.0,N
6.0,10.0,5.0,0.0,7.0,12.0,6.0,0.26,6.0,2.0,5.0,0.83,22.0,1.0,0.0,23.0,0.0,34.0,13.52,6218.16,0.15,87.0,0.07,345.45,459.83,0.17,3.0,6.0,N
14.0,3.0,7.0,0.0,7.0,4.0,2.0,0.06,2.0,2.0,1.0,0.5,30.0,1.0,0.0,34.0,0.0,96.01,17.68,30006.37,0.57,276.0,0.06,1667.02,1697.33,0.5,1.0,2.0,N
18.0,7.0,9.0,0.0,13.0,12.0,4.0,0.08,6.0,2.0,3.0,0.75,37.0,1.0,0.0,51.0,0.0,85.54,30.74,80809.25,0.88,405.0,0.03,4489.4,2629.2,0.25,3.0,6.0,N
6.0,7.0,0.0,0.0,16.0,12.0,4.0,0.15,6.0,2.0,1.0,0.25,18.0,1.0,0.0,26.0,0.0,49.31,22.86,25777.05,0.38,195.0,0.04,1432.06,1127.37,0.25,3.0,6.0,N
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,5.0,0.0,16.0,6.5,676.0,0.03,26.0,0.15,37.56,104.0,0.5,1.0,2.0,N
4.0,9.0,2.0,0.0,8.0,14.0,5.0,0.31,6.0,2.33,2.0,0.4,18.0,4.0,0.0,16.0,0.0,16.51,22.88,8646.51,0.13,77.0,0.04,480.36,377.83,0.8,4.0,7.0,N
11.0,7.0,20.0,0.0,4.0,8.0,4.0,0.12,4.0,2.0,4.0,1.0,34.0,1.0,0.0,34.0,2.0,123.03,6.07,4532.64,0.25,131.0,0.16,251.81,746.76,0.25,2.0,4.0,N
3.0,5.0,3.0,0.0,5.0,8.0,3.0,0.1,4.0,2.0,3.0,1.0,19.0,1.0,0.0,30.0,1.0,100.29,10.06,10151.3,0.34,177.0,0.1,563.96,1008.98,0.33,2.0,4.0,Y
3.0,5.0,6.0,0.0,2.0,4.0,3.0,0.14,2.0,2.0,3.0,1.0,17.0,1.0,0.0,22.0,0.0,39.27,11.45,5152.07,0.15,87.0,0.09,286.23,449.78,0.33,1.0,2.0,N
8.0,13.0,4.0,0.0,12.0,22.0,7.0,0.25,10.0,2.2,4.0,0.57,29.0,3.0,0.0,28.0,2.0,30.79,16.07,7959.08,0.17,99.0,0.06,442.17,495.0,0.43,6.0,11.0,N
7.0,7.0,14.0,0.0,6.0,8.0,4.0,0.17,4.0,2.0,4.0,1.0,28.0,1.0,0.0,24.0,2.0,79.28,6.0,2854.12,0.16,90.0,0.17,158.56,475.69,0.25,2.0,4.0,N
2.0,3.0,4.0,0.0,0.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,11.0,1.0,0.0,13.0,0.0,45.34,6.75,2065.86,0.1,63.0,0.15,114.77,306.05,0.5,1.0,2.0,N
10.0,10.0,6.0,0.0,21.0,4.0,8.0,0.13,2.0,2.0,8.0,1.0,23.0,1.0,0.0,61.0,0.0,36.89,28.34,29630.1,0.35,164.0,0.04,1646.12,1045.51,0.13,1.0,2.0,Y
11.0,12.0,10.0,0.0,15.0,6.0,9.0,0.16,2.0,3.0,8.0,0.89,29.0,1.0,0.0,58.0,0.0,39.93,28.29,31947.46,0.38,170.0,0.04,1774.86,1129.46,0.11,2.0,3.0,N
13.0,9.0,7.0,0.0,17.0,16.0,5.0,0.12,8.0,2.0,5.0,1.0,28.0,1.0,0.0,43.0,0.0,69.49,14.01,13645.26,0.32,170.0,0.07,758.07,973.75,0.2,4.0,8.0,Y
9.0,11.0,3.0,0.0,7.0,12.0,7.0,0.11,6.0,2.0,4.0,0.57,29.0,1.0,0.0,64.0,0.0,57.9,25.29,37041.01,0.49,250.0,0.04,2057.83,1464.5,0.14,3.0,6.0,N
3.0,5.0,6.0,0.0,1.0,8.0,3.0,0.13,4.0,2.0,3.0,1.0,18.0,1.0,0.0,23.0,0.0,64.76,5.25,1785.31,0.11,70.0,0.19,99.18,340.06,0.33,2.0,4.0,N
2.0,5.0,2.0,0.0,5.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,10.0,1.0,0.0,9.0,0.0,19.56,4.5,396.0,0.03,22.0,0.22,22.0,88.0,0.33,2.0,4.0,N
5.0,19.0,2.0,0.0,0.0,36.0,10.0,0.31,18.0,2.0,6.0,0.6,42.0,1.0,0.0,32.0,0.0,45.5,17.38,13744.03,0.26,144.0,0.06,763.56,790.83,0.1,9.0,18.0,N
8.0,15.0,1.0,0.0,2.0,28.0,8.0,0.19,14.0,2.0,2.0,0.25,32.0,1.0,0.0,43.0,1.0,72.3,5.69,2338.69,0.14,83.0,0.18,129.93,411.2,0.13,7.0,14.0,N
5.0,5.0,4.0,0.0,4.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,12.0,1.0,0.0,16.0,3.0,23.2,12.5,3624.82,0.1,57.0,0.08,201.38,289.99,0.33,2.0,4.0,N
1.0,3.0,2.0,0.0,1.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,6.0,1.0,0.0,5.0,0.0,16.73,3.0,150.57,0.02,14.0,0.33,8.36,50.19,0.5,1.0,2.0,N
2.0,3.0,2.0,0.0,4.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,7.0,1.0,0.0,9.0,2.0,19.51,8.0,1248.64,0.05,35.0,0.13,69.37,156.08,0.5,1.0,2.0,N
3.0,5.0,2.0,0.0,5.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,13.0,1.0,0.0,7.0,0.0,14.4,11.88,2030.23,0.06,41.0,0.08,112.79,170.97,0.33,2.0,4.0,N
5.0,7.0,5.0,0.0,0.0,12.0,4.0,0.13,6.0,2.0,4.0,1.0,17.0,1.0,0.0,30.0,0.0,57.87,13.1,9925.73,0.25,138.0,0.08,551.43,757.88,0.25,3.0,6.0,N
7.0,9.0,9.0,0.0,1.0,14.0,5.0,0.12,6.0,2.33,4.0,0.8,31.0,5.0,1.0,41.0,1.0,53.95,20.13,21852.33,0.36,179.0,0.05,1214.02,1085.83,1.0,4.0,7.0,N
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,7.0,1.0,0.0,5.0,1.0,21.19,3.21,218.94,0.02,19.0,0.31,12.16,68.11,0.5,1.0,2.0,N
7.0,15.0,4.0,0.0,12.0,26.0,8.0,0.31,12.0,2.17,4.0,0.5,30.0,5.0,0.0,26.0,4.0,26.74,14.93,5958.66,0.13,75.0,0.07,331.04,399.14,0.63,7.0,13.0,N
9.0,7.0,9.0,0.0,3.0,4.0,5.0,0.13,2.0,2.0,5.0,1.0,26.0,1.0,0.0,38.0,0.0,49.05,14.86,10838.14,0.24,125.0,0.07,602.12,729.11,0.2,1.0,2.0,N
16.0,23.0,10.0,0.0,8.0,38.0,12.0,0.24,16.0,2.38,9.0,0.75,57.0,7.0,0.0,49.0,1.0,72.52,16.2,19033.06,0.39,193.0,0.06,1057.39,1174.88,0.58,11.0,19.0,N
5.0,5.0,2.0,0.0,3.0,8.0,3.0,0.2,4.0,2.0,2.0,0.67,11.0,1.0,0.0,15.0,0.0,22.75,10.62,2563.41,0.08,52.0,0.09,142.41,241.48,0.33,2.0,4.0,N
9.0,5.0,3.0,0.0,15.0,8.0,3.0,0.16,4.0,2.0,3.0,1.0,19.0,1.0,0.0,19.0,2.0,26.1,10.71,2996.6,0.09,61.0,0.09,166.48,279.68,0.33,2.0,4.0,N
5.0,5.0,3.0,0.0,6.0,8.0,3.0,0.19,4.0,2.0,3.0,1.0,13.0,1.0,0.0,16.0,2.0,37.53,5.5,1135.41,0.07,47.0,0.18,63.08,206.44,0.33,2.0,4.0,N
1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,5.0,1.0,0.0,9.0,0.0,18.45,3.75,259.45,0.02,20.0,0.27,14.41,69.19,0.5,1.0,2.0,N
11.0,35.0,10.0,0.0,5.0,58.0,18.0,0.28,24.0,2.42,12.0,0.67,85.0,10.0,0.0,64.0,3.0,81.86,19.83,32200.08,0.54,264.0,0.05,1788.89,1623.53,0.56,17.0,29.0,N
17.0,43.0,13.0,0.0,18.0,76.0,22.0,0.28,34.0,2.24,17.0,0.77,103.0,12.0,0.0,80.0,2.0,97.4,18.49,33283.94,0.6,276.0,0.05,1849.11,1800.5,0.55,21.0,38.0,N
13.0,21.0,5.0,0.0,5.0,30.0,12.0,0.17,14.0,2.14,9.0,0.75,66.0,9.0,0.0,69.0,0.0,57.39,28.0,44996.99,0.54,258.0,0.04,2499.83,1607.04,0.75,8.0,15.0,N
5.0,13.0,4.0,0.0,6.0,22.0,7.0,0.28,10.0,2.2,6.0,0.86,26.0,6.0,0.0,25.0,0.0,32.88,10.95,3941.05,0.12,72.0,0.09,218.95,360.0,0.86,6.0,11.0,N
4.0,9.0,3.0,0.0,13.0,10.0,5.0,0.56,2.0,5.0,2.0,0.4,14.0,5.0,1.0,9.0,1.0,20.85,5.0,521.24,0.03,25.0,0.2,28.96,104.25,1.0,4.0,5.0,N
14.0,17.0,12.0,0.0,6.0,28.0,9.0,0.23,12.0,2.33,8.0,0.89,48.0,5.0,0.0,40.0,0.0,86.51,10.16,8923.89,0.29,147.0,0.1,495.77,878.66,0.56,8.0,14.0,N
6.0,3.0,6.0,0.0,5.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,13.0,1.0,0.0,13.0,0.0,56.22,3.44,664.34,0.06,44.0,0.29,36.91,193.26,0.5,1.0,2.0,N
2.0,3.0,2.0,0.0,2.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,0.0,25.03,4.9,600.86,0.04,30.0,0.2,33.38,122.62,0.5,1.0,2.0,N
2.0,3.0,2.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,0.0,30.84,4.96,758.26,0.05,36.0,0.2,42.13,152.93,0.5,1.0,2.0,N
16.0,17.0,24.0,0.0,11.0,28.0,9.0,0.16,14.0,2.0,9.0,1.0,55.0,1.0,0.0,55.0,2.0,175.1,7.86,10809.44,0.46,217.0,0.13,600.52,1375.75,0.11,7.0,14.0,Y
15.0,22.0,16.0,0.0,1.0,8.0,19.0,0.32,4.0,2.0,19.0,1.0,53.0,1.0,0.0,59.0,1.0,64.91,25.17,41124.72,0.54,257.0,0.04,2284.71,1633.89,0.05,2.0,4.0,N
2.0,8.0,7.0,0.0,0.0,4.0,6.0,0.32,2.0,2.0,6.0,1.0,17.0,1.0,0.0,19.0,0.0,36.77,10.91,4375.94,0.13,77.0,0.09,243.11,401.13,0.17,1.0,2.0,N
21.0,22.0,18.0,0.0,2.0,8.0,19.0,0.3,4.0,2.0,19.0,1.0,54.0,1.0,0.0,64.0,1.0,68.39,20.75,29446.21,0.47,222.0,0.05,1635.9,1419.09,0.05,2.0,4.0,N
25.0,37.0,23.0,0.0,15.0,38.0,26.0,0.34,18.0,2.11,26.0,1.0,94.0,1.0,0.0,77.0,1.0,79.98,26.99,58239.35,0.72,327.0,0.04,3235.52,2158.17,0.04,10.0,19.0,Y
21.0,25.0,22.0,0.0,2.0,12.0,21.0,0.31,6.0,2.0,21.0,1.0,58.0,1.0,0.0,67.0,1.0,71.63,20.1,28928.56,0.48,224.0,0.05,1607.14,1439.48,0.05,3.0,6.0,N
16.0,25.0,17.0,0.0,3.0,32.0,15.0,0.27,14.0,2.29,15.0,1.0,74.0,1.0,0.0,56.0,1.0,65.75,18.88,23432.15,0.41,211.0,0.05,1301.79,1241.24,0.07,9.0,16.0,Y
1.0,3.0,2.0,0.0,2.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,7.0,1.0,0.0,10.0,0.0,18.91,5.5,572.0,0.03,26.0,0.18,31.78,104.0,0.5,1.0,2.0,N
7.0,7.0,4.0,0.0,6.0,4.0,5.0,0.17,2.0,2.0,5.0,1.0,17.0,1.0,0.0,29.0,0.0,34.65,11.83,4846.19,0.14,77.0,0.08,269.23,409.79,0.2,1.0,2.0,N
13.0,35.0,9.0,0.0,8.0,52.0,18.0,0.3,18.0,2.89,8.0,0.44,74.0,12.0,0.0,61.0,1.0,76.37,23.23,41194.43,0.59,276.0,0.04,2288.58,1773.65,0.67,17.0,48.0,N
