@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute Defective {Y,N}

@data
14.0,11.0,4.0,3.0,0.0,20.0,6.0,0.23,10.0,2.0,3.0,0.5,26.0,1.0,0.0,23.0,1.0,41.87,14.17,N
6.0,3.0,1.0,1.0,3.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,5.0,1.0,0.0,3.0,1.0,12.18,3.0,N
14.0,19.0,6.0,5.0,12.0,24.0,11.0,0.28,10.0,2.4,9.0,0.82,37.0,3.0,0.2,34.0,2.0,37.31,23.86,N
20.0,17.0,2.0,3.0,12.0,20.0,10.0,0.26,8.0,2.5,3.0,0.3,31.0,3.0,0.22,36.0,5.0,31.44,19.3,N
6.0,3.0,6.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,10.0,1.0,0.0,10.0,1.0,31.9,6.9,Y
17.0,7.0,4.0,4.0,7.0,12.0,4.0,0.2,6.0,2.0,4.0,1.0,22.0,1.0,0.0,16.0,1.0,46.83,14.48,N
7.0,5.0,2.0,2.0,4.0,8.0,3.0,0.3,4.0,2.0,3.0,1.0,11.0,1.0,0.0,8.0,1.0,17.81,11.08,N
3.0,5.0,6.0,1.0,0.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,12.0,1.0,0.0,10.0,0.0,32.98,6.18,N
2.0,11.0,0.0,7.0,6.0,14.0,6.0,0.2,4.0,3.5,1.0,0.17,16.0,4.0,0.6,23.0,7.0,36.79,15.58,N
9.0,11.0,2.0,8.0,15.0,20.0,6.0,0.13,10.0,2.0,3.0,0.5,24.0,1.0,0.0,40.0,0.0,56.47,17.4,N
0.0,5.0,2.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,11.0,1.0,0.0,13.0,6.0,23.44,7.33,N
8.0,8.0,3.0,0.0,1.0,4.0,6.0,0.15,2.0,2.0,6.0,1.0,17.0,1.0,0.0,39.0,0.0,55.83,18.8,N
10.0,7.0,5.0,1.0,3.0,10.0,4.0,0.14,4.0,2.5,4.0,1.0,16.0,4.0,1.0,28.0,1.0,45.13,11.11,N
11.0,3.0,0.0,4.0,9.0,4.0,2.0,0.04,2.0,2.0,1.0,0.5,6.0,1.0,0.0,41.0,1.0,135.48,9.97,N
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,8.0,1.0,18.53,9.0,N
6.0,3.0,2.0,0.0,5.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,7.0,1.0,0.0,16.0,1.0,57.32,10.19,N
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,8.0,1.0,18.53,9.0,N
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,8.0,1.0,18.53,9.0,N
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,8.0,1.0,18.53,9.0,N
6.0,5.0,3.0,1.0,1.0,8.0,3.0,0.23,4.0,2.0,2.0,0.67,11.0,1.0,0.0,12.0,2.0,25.16,11.2,N
7.0,25.0,10.0,4.0,16.0,42.0,13.0,0.17,18.0,2.33,10.0,0.77,47.0,5.0,0.33,71.0,1.0,70.93,18.61,Y
8.0,5.0,2.0,1.0,9.0,8.0,3.0,0.21,4.0,2.0,2.0,0.67,12.0,1.0,0.0,13.0,2.0,30.78,10.5,N
13.0,7.0,0.0,0.0,2.0,12.0,4.0,0.01,6.0,2.0,1.0,0.25,19.0,1.0,0.0,397.0,0.0,1535.48,11.07,N
22.0,55.0,13.0,0.0,51.0,108.0,28.0,0.03,54.0,2.0,27.0,0.96,125.0,27.0,0.96,817.0,2.0,1349.98,39.94,N
0.0,5.0,1.0,0.0,0.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,10.0,1.0,0.0,8.0,2.0,9.42,17.0,N
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,8.0,1.0,0.0,5.0,0.0,13.67,5.71,N
13.0,5.0,8.0,1.0,13.0,8.0,3.0,0.14,4.0,2.0,2.0,0.67,22.0,1.0,0.0,20.0,0.0,50.44,8.5,Y
11.0,5.0,8.0,1.0,10.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,18.0,1.0,0.0,16.0,0.0,54.41,6.07,Y
3.0,17.0,0.0,17.0,0.0,32.0,9.0,0.47,16.0,2.0,1.0,0.11,33.0,1.0,0.0,2.0,1.0,76.91,15.85,Y
2.0,5.0,0.0,10.0,0.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,9.0,1.0,0.0,2.0,1.0,59.38,12.02,N
2.0,17.0,0.0,14.0,0.0,32.0,9.0,0.56,16.0,2.0,1.0,0.11,33.0,1.0,0.0,2.0,1.0,85.3,11.0,Y
2.0,9.0,0.0,5.0,0.0,16.0,5.0,0.71,8.0,2.0,1.0,0.2,17.0,1.0,0.0,2.0,1.0,39.02,5.33,N
13.0,65.0,3.0,0.0,1.0,128.0,33.0,0.59,64.0,2.0,4.0,0.12,189.0,1.0,0.0,56.0,1.0,212.2,33.39,Y
7.0,27.0,2.0,2.0,1.0,52.0,14.0,0.58,26.0,2.0,3.0,0.21,76.0,1.0,0.0,22.0,1.0,99.64,24.6,Y
21.0,89.0,5.0,6.0,1.0,176.0,45.0,0.61,88.0,2.0,3.0,0.07,266.0,1.0,0.0,68.0,1.0,318.29,36.8,Y
14.0,35.0,3.0,0.0,0.0,68.0,18.0,0.46,34.0,2.0,1.0,0.06,103.0,1.0,0.0,39.0,1.0,162.87,24.2,Y
10.0,51.0,2.0,6.0,1.0,100.0,26.0,0.54,50.0,2.0,3.0,0.12,148.0,1.0,0.0,42.0,1.0,189.65,36.5,Y
4.0,27.0,0.0,1.0,4.0,46.0,14.0,0.64,20.0,2.3,1.0,0.07,46.0,9.0,0.62,21.0,2.0,15.66,31.95,N
18.0,9.0,8.0,2.0,24.0,16.0,5.0,0.1,8.0,2.0,5.0,1.0,40.0,1.0,0.0,49.0,2.0,72.48,20.68,Y
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,5.0,1.0,0.0,9.0,2.0,17.71,14.0,N
11.0,7.0,3.0,1.0,2.0,12.0,4.0,0.14,6.0,2.0,2.0,0.5,20.0,1.0,0.0,27.0,1.0,49.99,17.26,N
7.0,13.0,2.0,4.0,1.0,18.0,7.0,0.29,6.0,3.0,4.0,0.57,19.0,5.0,0.67,20.0,1.0,24.63,17.41,N
9.0,7.0,3.0,2.0,8.0,10.0,4.0,0.25,4.0,2.5,2.0,0.5,15.0,1.0,0.0,14.0,1.0,31.34,10.33,N
6.0,5.0,1.0,7.0,2.0,8.0,3.0,0.13,4.0,2.0,1.0,0.33,11.0,1.0,0.0,17.0,2.0,20.45,15.17,N
3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,5.0,1.0,0.0,5.0,2.0,9.87,5.63,N
