@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6.0,0.0,0.2,0.6,17.0,24.0,3.0,32.54,9.5,2936.77,63.0,163.15,14.0,0.16,19.0,15.0,15.0,32.0,4.0,25.0,N
15.0,19.0,0.13,0.5,17.0,31.0,1.0,38.55,21.52,17846.19,141.0,991.46,15.0,0.06,51.0,32.0,27.0,67.0,39.22,32.0,Y
27.0,22.0,0.15,0.6,18.0,29.0,0.0,52.03,12.33,7914.68,111.0,439.7,15.0,0.06,37.0,33.0,22.0,83.0,47.27,33.0,Y
7.0,0.0,0.17,1.0,6.0,12.0,2.0,14.62,6.43,604.36,23.0,33.58,6.0,0.1,9.0,7.0,10.0,20.0,0.0,12.0,N
51.0,14.0,0.12,0.85,96.0,106.0,2.0,101.31,27.04,74089.87,421.0,4116.1,85.0,0.08,192.0,71.0,20.0,172.0,11.67,106.0,N
3.0,0.0,0.2,1.0,12.0,15.0,1.0,8.17,18.0,2648.68,36.0,147.15,11.0,0.16,15.0,5.0,12.0,19.0,0.0,15.0,N
13.0,16.0,0.14,1.0,21.0,25.0,4.0,38.51,14.25,7820.87,107.0,434.49,18.0,0.07,38.0,20.0,15.0,67.0,52.83,37.0,N
22.0,35.0,0.28,0.07,45.0,46.0,0.0,61.1,22.3,30377.95,239.0,1687.66,32.0,0.13,110.0,37.0,15.0,112.0,48.31,54.0,N
16.0,28.0,0.11,0.2,21.0,34.0,2.0,41.24,20.76,17773.08,155.0,987.39,18.0,0.06,59.0,27.0,19.0,90.0,53.42,45.0,N
4.0,4.0,0.17,0.5,6.0,10.0,1.0,15.9,9.0,1287.55,35.0,71.53,6.0,0.1,16.0,8.0,9.0,21.0,37.5,12.0,N
23.0,17.0,0.21,0.14,27.0,23.0,3.0,27.4,28.12,21659.58,157.0,1203.31,22.0,0.09,43.0,13.0,17.0,74.0,54.0,33.0,N
23.0,17.0,0.21,0.14,27.0,23.0,3.0,17.45,27.22,12929.85,105.0,718.32,22.0,0.09,35.0,9.0,14.0,74.0,54.0,33.0,N
40.0,15.0,0.15,0.4,21.0,31.0,0.0,47.41,27.5,35852.6,231.0,1991.81,18.0,0.06,70.0,28.0,22.0,89.0,35.42,33.0,N
