@relation SelectedFeatures
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
14.0,0.0,2.0,3.0,14.3,28.78,11846.2,0.14,91.0,658.12,411.64,12.0,0.2,37.0,54.0,9.0,14.0,20.0,82.35,17.0,N
14.0,0.0,2.0,3.0,15.95,27.3,11891.1,0.15,95.0,660.62,435.57,13.0,0.2,39.0,56.0,10.0,14.0,20.0,82.35,17.0,N
4.0,0.0,2.0,1.0,8.07,7.0,395.31,0.02,17.0,21.96,56.47,10.0,0.5,6.0,11.0,3.0,7.0,8.0,80.0,5.0,N
1.0,0.0,2.0,1.0,7.86,2.5,49.13,0.01,7.0,2.73,19.65,5.0,0.5,2.0,5.0,2.0,5.0,4.0,50.0,2.0,N
1.0,14.0,2.0,1.0,7.86,2.5,49.13,0.01,7.0,2.73,19.65,5.0,0.11,2.0,5.0,2.0,5.0,18.0,93.75,2.0,N
5.0,0.0,2.0,2.0,7.13,13.5,1298.85,0.03,26.0,72.16,96.21,7.0,0.2,12.0,14.0,4.0,9.0,10.0,71.43,7.0,N
5.0,0.0,2.0,2.0,9.07,12.6,1439.18,0.04,30.0,79.95,114.22,7.0,0.18,14.0,16.0,5.0,9.0,11.0,71.43,7.0,N
0.0,0.0,2.0,2.0,10.8,3.33,120.0,0.01,12.0,6.67,36.0,6.0,0.4,4.0,8.0,3.0,5.0,5.0,0.0,2.0,N
0.0,0.0,2.0,2.0,10.8,3.33,120.0,0.01,12.0,6.67,36.0,6.0,0.4,4.0,8.0,3.0,5.0,5.0,0.0,2.0,N
0.0,0.0,2.0,2.0,10.8,3.33,120.0,0.01,12.0,6.67,36.0,6.0,0.4,4.0,8.0,3.0,5.0,5.0,0.0,2.0,N
26.0,1.0,2.0,4.0,31.4,18.47,10714.74,0.19,116.0,595.26,580.0,19.0,0.12,54.0,62.0,19.0,13.0,34.0,87.1,30.0,N
26.0,1.0,2.0,4.0,27.77,19.44,10500.0,0.18,108.0,583.33,540.0,17.0,0.12,50.0,58.0,18.0,14.0,34.0,87.1,30.0,N
21.0,1.0,2.0,4.0,22.24,20.53,9376.55,0.15,94.0,520.91,456.65,15.0,0.13,44.0,50.0,15.0,14.0,30.0,84.62,25.0,N
21.0,1.0,2.0,4.0,19.5,21.43,8952.56,0.14,86.0,497.36,417.79,13.0,0.14,40.0,46.0,14.0,15.0,29.0,84.62,25.0,N
6.0,0.0,2.0,2.0,9.91,11.2,1243.35,0.04,30.0,69.07,111.01,7.0,0.18,14.0,16.0,5.0,8.0,11.0,75.0,8.0,N
6.0,0.0,2.0,2.0,12.09,11.33,1553.4,0.05,36.0,86.3,137.06,7.0,0.18,17.0,19.0,6.0,8.0,11.0,75.0,8.0,N
6.0,0.0,2.0,2.0,8.79,7.88,544.86,0.02,20.0,30.27,69.19,6.0,0.2,9.0,11.0,4.0,7.0,10.0,75.0,8.0,N
10.0,0.0,2.0,2.0,32.65,10.67,3715.08,0.12,75.0,206.39,348.29,10.0,0.12,32.0,43.0,15.0,10.0,17.0,83.33,12.0,N
10.0,0.0,2.0,2.0,34.95,10.63,3945.43,0.12,79.0,219.19,371.33,10.0,0.11,34.0,45.0,16.0,10.0,18.0,83.33,12.0,N
12.0,0.0,2.0,1.0,27.66,13.75,5230.38,0.13,80.0,290.58,380.39,16.0,0.17,40.0,40.0,16.0,11.0,18.0,92.31,13.0,N
9.0,0.0,2.0,2.0,13.9,15.0,3127.44,0.07,50.0,173.75,208.5,9.0,0.14,24.0,26.0,8.0,10.0,14.0,81.82,11.0,N
9.0,0.0,2.0,2.0,15.84,15.56,3832.57,0.08,58.0,212.92,246.38,9.0,0.14,28.0,30.0,9.0,10.0,14.0,81.82,11.0,N
3.0,0.0,2.0,1.0,9.29,11.0,1124.05,0.03,25.0,62.45,102.19,11.0,0.5,12.0,13.0,6.0,11.0,6.0,75.0,4.0,N
