@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
14.0,0.0,0.23,2.0,0.5,23.0,41.87,14.17,8403.03,110.0,466.83,593.15,0.17,0.15,51.0,59.0,27.0,15.0,41.0,11.54,N
6.0,3.0,0.5,2.0,1.0,3.0,12.18,3.0,109.62,11.0,6.09,36.54,0.5,0.14,4.0,7.0,4.0,6.0,14.0,57.14,N
14.0,12.0,0.28,2.4,0.82,34.0,37.31,23.86,21248.49,152.0,1180.47,890.41,0.27,0.17,63.0,89.0,33.0,25.0,66.0,33.33,N
20.0,12.0,0.26,2.5,0.3,36.0,31.44,19.3,11716.29,107.0,650.91,606.95,0.3,0.14,47.0,60.0,28.0,23.0,72.0,29.41,N
6.0,0.0,0.18,2.0,1.0,10.0,31.9,6.9,1518.54,48.0,84.36,220.08,0.5,0.11,23.0,25.0,15.0,9.0,18.0,9.09,Y
17.0,7.0,0.2,2.0,1.0,16.0,46.83,14.48,9823.41,125.0,545.75,678.28,0.25,0.09,60.0,65.0,29.0,14.0,45.0,40.74,N
7.0,4.0,0.3,2.0,1.0,8.0,17.81,11.08,2188.05,42.0,121.56,197.42,0.33,0.14,19.0,23.0,12.0,14.0,22.0,42.86,N
3.0,0.0,0.27,3.0,0.67,10.0,32.98,6.18,1260.48,48.0,70.03,203.9,0.33,0.2,17.0,31.0,11.0,8.0,15.0,9.09,N
2.0,6.0,0.2,3.5,0.17,23.0,36.79,15.58,8933.27,107.0,496.29,573.26,0.67,0.15,44.0,63.0,24.0,17.0,39.0,36.11,N
9.0,15.0,0.13,2.0,0.5,40.0,56.47,17.4,17102.11,180.0,950.12,982.7,0.17,0.08,83.0,97.0,31.0,13.0,73.0,36.51,N
0.0,0.0,0.23,2.0,1.0,13.0,23.44,7.33,1260.57,38.0,70.03,171.9,0.33,0.21,16.0,22.0,12.0,11.0,14.0,0.0,N
8.0,1.0,0.15,2.0,1.0,39.0,55.83,18.8,19738.62,186.0,1096.59,1049.76,0.17,0.12,73.0,113.0,33.0,17.0,49.0,2.5,N
10.0,3.0,0.14,2.5,1.0,28.0,45.13,11.11,5572.06,93.0,309.56,501.49,1.0,0.08,40.0,53.0,27.0,15.0,51.0,12.5,N
11.0,9.0,0.04,2.0,0.5,41.0,135.48,9.97,13474.88,249.0,748.6,1351.14,0.5,0.03,123.0,126.0,37.0,6.0,66.0,24.07,N
2.0,0.0,0.25,2.0,1.0,8.0,18.53,9.0,1501.17,40.0,83.4,166.8,0.5,0.18,18.0,22.0,9.0,9.0,11.0,0.0,N
6.0,5.0,0.13,2.0,1.0,16.0,57.32,10.19,5954.36,113.0,330.8,584.2,0.5,0.06,53.0,60.0,26.0,10.0,35.0,23.81,N
