@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
22.0,4.0,11.0,26.0,0.22,35.0,32.0,43.42,14.61,9265.54,120.0,514.75,634.25,13.0,0.11,42.0,78.0,71.0,31.91,36.0,Y
7.0,0.0,2.0,0.0,0.14,3.0,7.0,14.47,10.0,1446.79,38.0,80.38,144.68,0.0,0.06,8.0,30.0,18.0,22.22,7.0,N
10.0,0.0,2.0,4.0,0.2,9.0,10.0,17.77,9.0,1439.2,37.0,79.96,159.91,2.0,0.08,12.0,25.0,24.0,16.67,10.0,N
9.0,0.0,6.0,4.0,0.2,9.0,10.0,18.25,9.0,1478.1,38.0,82.12,164.23,2.0,0.07,12.0,26.0,27.0,37.5,10.0,N
3.0,0.0,0.0,0.0,0.25,1.0,4.0,8.54,4.67,186.03,12.0,10.33,39.86,0.0,0.1,4.0,8.0,10.0,0.0,4.0,N
9.0,0.0,3.0,0.0,0.13,5.0,8.0,21.89,4.0,350.28,23.0,19.46,87.57,0.0,0.05,8.0,15.0,22.0,27.27,8.0,N
8.0,9.0,5.0,4.0,0.11,8.0,10.0,33.28,9.97,3306.02,69.0,183.67,331.71,2.0,0.06,23.0,46.0,34.0,58.33,19.0,Y
5.0,0.0,1.0,0.0,0.17,2.0,6.0,16.3,4.08,271.98,18.0,15.11,66.61,0.0,0.07,7.0,11.0,14.0,14.29,6.0,N
5.0,0.0,1.0,0.0,0.14,2.0,7.0,18.52,6.75,843.89,32.0,46.88,125.02,0.0,0.07,9.0,23.0,15.0,12.5,7.0,N
6.0,1.0,1.0,6.0,0.17,9.0,17.0,20.8,13.72,3916.37,64.0,217.58,285.4,3.0,0.11,19.0,45.0,27.0,10.53,18.0,N
4.0,1.0,2.0,0.0,0.33,2.0,2.0,11.62,3.0,104.61,11.0,5.81,34.87,0.0,0.09,3.0,8.0,11.0,60.0,3.0,Y
6.0,1.0,1.0,4.0,0.12,7.0,16.0,23.3,10.39,2514.4,56.0,139.69,242.03,2.0,0.08,17.0,39.0,26.0,11.11,17.0,Y
6.0,0.0,1.0,0.0,0.1,2.0,10.0,21.06,8.36,1470.86,44.0,81.71,176.0,0.0,0.05,13.0,31.0,19.0,9.09,10.0,N
5.0,0.0,1.0,0.0,0.17,3.0,6.0,19.22,6.19,735.95,28.0,40.89,118.94,0.0,0.07,9.0,19.0,14.0,14.29,6.0,N
7.0,0.0,1.0,0.0,0.1,2.0,10.0,21.06,8.36,1470.86,44.0,81.71,176.0,0.0,0.05,13.0,31.0,20.0,9.09,10.0,N
5.0,0.0,1.0,0.0,0.14,2.0,7.0,17.36,6.75,791.15,30.0,43.95,117.21,0.0,0.07,9.0,21.0,15.0,12.5,7.0,N
6.0,0.0,2.0,0.0,0.13,3.0,8.0,25.29,7.22,1319.22,43.0,73.29,182.66,0.0,0.06,13.0,30.0,18.0,20.0,8.0,N
6.0,1.0,1.0,4.0,0.2,6.0,9.0,22.66,10.31,2409.37,55.0,133.85,233.64,2.0,0.11,15.0,40.0,19.0,18.18,10.0,Y
6.0,0.0,1.0,4.0,0.2,6.0,10.0,19.46,11.79,2703.0,55.0,150.17,229.35,2.0,0.11,15.0,40.0,19.0,9.09,10.0,N
5.0,0.0,1.0,0.0,0.14,3.0,7.0,23.5,5.5,710.97,31.0,39.5,129.27,0.0,0.07,11.0,20.0,15.0,12.5,7.0,N
4.0,0.0,0.0,8.0,0.25,10.0,12.0,18.58,9.6,1712.42,40.0,95.13,178.38,4.0,0.17,16.0,24.0,18.0,0.0,12.0,N
5.0,1.0,1.0,4.0,0.25,6.0,7.0,20.23,4.44,399.66,22.0,22.2,89.92,2.0,0.11,10.0,12.0,19.0,22.22,8.0,N
4.0,0.0,1.0,4.0,0.25,6.0,8.0,20.23,4.44,399.66,22.0,22.2,89.92,2.0,0.11,10.0,12.0,18.0,11.11,8.0,N
8.0,1.0,1.0,6.0,0.12,12.0,24.0,18.24,30.58,17051.32,116.0,947.3,557.65,3.0,0.08,53.0,63.0,38.0,7.69,25.0,Y
5.0,2.0,0.0,0.0,0.11,2.0,7.0,19.64,5.5,594.0,27.0,33.0,108.0,0.0,0.05,11.0,16.0,19.0,22.22,9.0,N
5.0,0.0,0.0,4.0,0.25,8.0,8.0,16.19,9.44,1444.3,36.0,80.24,152.93,2.0,0.12,17.0,19.0,17.0,0.0,8.0,N
8.0,0.0,3.0,4.0,0.2,8.0,10.0,40.24,4.43,790.81,40.0,43.93,178.38,2.0,0.08,19.0,21.0,26.0,23.08,10.0,N
7.0,1.0,0.0,4.0,0.13,6.0,14.0,20.48,14.77,4470.34,66.0,248.35,302.61,2.0,0.07,25.0,41.0,30.0,6.67,15.0,Y
3.0,20.0,5.0,12.0,0.18,15.0,2.0,21.59,13.59,3988.08,64.0,221.56,293.44,6.0,0.13,23.0,41.0,32.0,92.59,22.0,Y
3.0,0.0,0.0,4.0,0.29,6.0,7.0,11.46,7.5,644.64,22.0,35.81,85.95,2.0,0.14,10.0,12.0,14.0,0.0,7.0,N
9.0,1.0,5.0,12.0,0.15,16.0,26.0,23.42,21.94,11272.23,101.0,626.23,513.83,6.0,0.09,39.0,62.0,43.0,18.75,27.0,Y
9.0,1.0,5.0,12.0,0.15,16.0,26.0,23.42,21.94,11272.23,101.0,626.23,513.83,6.0,0.09,39.0,62.0,43.0,18.75,27.0,N
9.0,1.0,5.0,12.0,0.15,16.0,26.0,23.42,21.94,11272.23,101.0,626.23,513.83,6.0,0.09,39.0,62.0,43.0,18.75,27.0,Y
1.0,0.0,0.0,0.0,0.5,1.0,2.0,5.8,2.0,23.22,5.0,1.29,11.61,0.0,0.2,1.0,4.0,5.0,0.0,2.0,N
3.0,0.0,0.0,0.0,0.33,1.0,3.0,12.85,3.5,157.4,13.0,8.74,44.97,0.0,0.08,4.0,9.0,12.0,0.0,3.0,N
4.0,0.0,0.0,0.0,0.09,1.0,11.0,20.15,15.43,4795.77,84.0,266.43,310.84,0.0,0.05,36.0,48.0,20.0,0.0,11.0,N
11.0,6.0,11.0,16.0,0.11,23.0,40.0,32.18,22.75,16658.75,154.0,925.49,732.25,8.0,0.07,49.0,105.0,70.0,29.82,46.0,Y
31.0,11.0,17.0,42.0,0.14,61.0,74.0,71.39,24.46,42701.09,291.0,2372.28,1746.0,21.0,0.09,125.0,166.0,135.0,27.45,85.0,Y
7.0,1.0,2.0,8.0,0.18,12.0,16.0,17.66,17.5,5408.68,65.0,300.48,309.07,4.0,0.11,28.0,37.0,28.0,15.79,17.0,Y
7.0,8.0,6.0,0.0,0.07,2.0,6.0,21.37,13.3,3780.76,62.0,210.04,284.27,0.0,0.03,19.0,43.0,29.0,70.0,14.0,Y
4.0,3.0,0.0,4.0,0.18,8.0,8.0,18.7,10.18,1938.6,41.0,107.7,190.4,2.0,0.1,16.0,25.0,21.0,27.27,11.0,N
4.0,0.0,1.0,0.0,0.25,3.0,4.0,19.03,4.08,317.31,21.0,17.63,77.71,0.0,0.08,7.0,14.0,12.0,20.0,4.0,N
5.0,10.0,4.0,8.0,0.25,10.0,2.0,20.67,7.94,1304.74,38.0,72.49,164.23,4.0,0.13,13.0,25.0,23.0,87.5,12.0,Y
18.0,0.0,5.0,16.0,0.12,30.0,41.0,46.59,20.85,20251.07,173.0,1125.06,971.34,8.0,0.07,86.0,87.0,67.0,10.87,41.0,N
17.0,4.0,11.0,12.0,0.15,20.0,23.0,18.2,36.93,24819.33,130.0,1378.85,672.09,6.0,0.07,47.0,83.0,57.0,39.47,27.0,Y
8.0,7.0,2.0,18.0,0.19,24.0,29.0,22.98,22.76,11910.2,102.0,661.68,523.19,9.0,0.15,43.0,59.0,48.0,23.68,36.0,Y
17.0,0.0,4.0,0.0,0.2,16.0,25.0,26.68,22.5,13507.21,118.0,750.4,600.32,0.0,0.1,40.0,78.0,48.0,13.79,25.0,N
22.0,0.0,6.0,0.0,0.12,16.0,33.0,31.97,26.1,21778.37,159.0,1209.91,834.42,0.0,0.06,58.0,101.0,63.0,15.38,33.0,N
4.0,0.0,1.0,0.0,0.25,1.0,4.0,23.44,4.0,375.06,24.0,20.84,93.77,0.0,0.09,7.0,17.0,11.0,20.0,4.0,N
22.0,0.0,6.0,0.0,0.12,16.0,33.0,31.97,26.1,21778.37,159.0,1209.91,834.42,0.0,0.06,58.0,101.0,63.0,15.38,33.0,N
4.0,0.0,1.0,0.0,0.25,2.0,4.0,17.25,6.29,681.48,26.0,37.86,108.42,0.0,0.09,8.0,18.0,11.0,20.0,4.0,N
15.0,0.0,6.0,0.0,0.17,16.0,30.0,25.36,25.88,16988.95,126.0,943.83,656.39,0.0,0.09,44.0,82.0,53.0,16.67,30.0,N
7.0,1.0,3.0,8.0,0.13,12.0,22.0,22.3,13.8,4246.27,69.0,235.9,307.7,4.0,0.08,23.0,46.0,37.0,15.38,23.0,Y
15.0,3.0,7.0,12.0,0.17,14.0,21.0,21.19,14.3,4333.9,69.0,240.77,303.07,6.0,0.08,26.0,43.0,50.0,32.25,24.0,N
6.0,1.0,5.0,8.0,0.19,10.0,15.0,16.6,11.38,2148.39,43.0,119.36,188.87,4.0,0.1,14.0,29.0,29.0,28.57,16.0,Y
7.0,0.0,2.0,4.0,0.12,8.0,17.0,22.93,9.27,1971.45,47.0,109.53,212.61,2.0,0.06,17.0,30.0,31.0,10.53,17.0,N
4.0,1.0,0.0,4.0,0.2,7.0,9.0,16.64,8.94,1328.8,35.0,73.82,148.68,2.0,0.13,13.0,22.0,16.0,10.0,10.0,Y
4.0,0.0,0.0,0.0,0.1,2.0,10.0,19.15,8.36,1337.14,40.0,74.29,160.0,0.0,0.06,13.0,27.0,16.0,0.0,10.0,N
6.0,0.0,2.0,6.0,0.14,9.0,22.0,30.36,13.0,5130.52,83.0,285.03,394.66,3.0,0.09,28.0,55.0,32.0,8.33,22.0,N
5.0,1.0,2.0,4.0,0.11,7.0,18.0,27.2,10.0,2720.25,61.0,151.13,272.03,2.0,0.07,20.0,41.0,28.0,14.29,19.0,N
