@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,N
9.0,0.0,0.19,1.0,16.0,26.51,16.5,7218.24,0.15,91.0,401.01,437.47,24.0,0.09,33.0,58.0,14.0,34.0,27.27,16.0,N
4.0,0.0,0.17,1.0,6.0,16.4,7.07,820.29,0.04,29.0,45.57,116.0,6.0,0.07,11.0,18.0,7.0,15.0,33.33,6.0,N
1.0,0.0,0.33,1.0,3.0,11.65,4.0,186.42,0.02,13.0,10.36,46.6,3.0,0.14,4.0,9.0,4.0,7.0,0.0,3.0,N
0.0,18.0,0.19,1.0,50.0,22.12,57.0,71859.2,0.42,242.0,3992.18,1260.69,32.0,0.15,108.0,134.0,18.0,86.0,35.06,68.0,N
0.0,16.0,0.19,1.0,52.0,22.12,57.0,71859.2,0.42,242.0,3992.18,1260.69,32.0,0.15,108.0,134.0,18.0,84.0,31.58,68.0,N
0.0,5.0,0.33,1.0,28.0,9.09,37.4,12716.0,0.11,85.0,706.44,340.0,24.0,0.28,34.0,51.0,5.0,39.0,15.15,33.0,N
0.0,5.0,0.33,1.0,28.0,9.09,37.4,12716.0,0.11,85.0,706.44,340.0,24.0,0.28,34.0,51.0,5.0,39.0,15.15,33.0,N
0.0,5.0,0.33,1.0,28.0,9.09,37.4,12716.0,0.11,85.0,706.44,340.0,24.0,0.28,34.0,51.0,5.0,39.0,15.15,33.0,N
1.0,3.0,0.71,5.0,4.0,6.95,27.62,5307.06,0.06,47.0,294.84,192.11,12.0,0.5,17.0,30.0,4.0,10.0,42.86,7.0,N
0.0,0.0,0.5,1.0,2.0,13.18,5.25,363.24,0.02,20.0,20.18,69.19,2.0,0.25,6.0,14.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,8.0,2.0,0.25,1.0,3.0,1.0,4.0,0.0,2.0,N
1.0,0.0,0.5,1.0,2.0,11.3,6.13,423.78,0.02,20.0,23.54,69.19,3.0,0.25,7.0,13.0,4.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
0.0,0.0,0.5,1.0,2.0,7.74,1.5,17.41,0.0,5.0,0.97,11.61,2.0,0.25,2.0,3.0,2.0,4.0,0.0,2.0,N
