@relation SelectedFeatures

@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
6.0,2.0,0.0,0.2,0.6,24.0,32.54,9.5,0.1,63.0,0.11,309.13,0.16,19.0,44.0,15.0,15.0,32.0,4.0,25.0,N
15.0,3.0,19.0,0.13,0.5,31.0,38.55,21.52,0.28,141.0,0.05,829.45,0.06,51.0,90.0,32.0,27.0,67.0,39.22,32.0,Y
27.0,1.0,22.0,0.15,0.6,29.0,52.03,12.33,0.21,111.0,0.08,641.73,0.06,37.0,74.0,33.0,22.0,83.0,47.27,33.0,Y
7.0,2.0,0.0,0.17,1.0,12.0,14.62,6.43,0.03,23.0,0.16,94.01,0.1,9.0,14.0,7.0,10.0,20.0,0.0,12.0,N
51.0,13.0,14.0,0.12,0.85,106.0,101.31,27.04,0.91,421.0,0.04,2739.78,0.08,192.0,229.0,71.0,20.0,172.0,11.67,106.0,N
3.0,2.0,0.0,0.2,1.0,15.0,8.17,18.0,0.05,36.0,0.06,147.15,0.16,15.0,21.0,5.0,12.0,19.0,0.0,15.0,N
13.0,5.0,16.0,0.14,1.0,25.0,38.51,14.25,0.18,107.0,0.07,548.83,0.07,38.0,69.0,20.0,15.0,67.0,52.83,37.0,N
22.0,0.0,35.0,0.28,0.07,46.0,61.1,22.3,0.45,239.0,0.04,1362.41,0.13,110.0,129.0,37.0,15.0,112.0,48.31,54.0,N
16.0,2.0,28.0,0.11,0.2,34.0,41.24,20.76,0.29,155.0,0.05,856.15,0.06,59.0,96.0,27.0,19.0,90.0,53.42,45.0,N
4.0,0.0,4.0,0.17,0.5,10.0,15.9,9.0,0.05,35.0,0.11,143.06,0.1,16.0,19.0,8.0,9.0,21.0,37.5,12.0,N
23.0,0.0,17.0,0.21,0.14,23.0,27.4,28.12,0.26,157.0,0.04,770.38,0.09,43.0,114.0,13.0,17.0,74.0,54.0,33.0,N
23.0,0.0,17.0,0.21,0.14,23.0,17.45,27.22,0.16,105.0,0.04,474.97,0.09,35.0,70.0,9.0,14.0,74.0,54.0,33.0,N
40.0,4.0,15.0,0.15,0.4,31.0,47.41,27.5,0.43,231.0,0.04,1303.73,0.06,70.0,161.0,28.0,22.0,89.0,35.42,33.0,N
23.0,6.0,20.0,0.19,0.4,24.0,43.1,15.2,0.22,120.0,0.07,655.13,0.07,40.0,80.0,25.0,19.0,71.0,48.94,27.0,N
8.0,1.0,5.0,0.11,0.5,13.0,29.61,9.15,0.09,57.0,0.11,271.03,0.06,17.0,40.0,13.0,14.0,33.0,45.83,19.0,N
19.0,1.0,0.0,0.06,1.0,33.0,64.01,11.65,0.25,135.0,0.09,745.68,0.04,66.0,69.0,34.0,12.0,55.0,5.71,35.0,N
6.0,0.0,0.0,0.15,0.25,21.0,21.34,24.44,0.17,98.0,0.04,521.54,0.12,40.0,58.0,18.0,22.0,34.0,22.22,27.0,N
134.0,9.0,31.0,0.17,0.56,177.0,101.81,54.82,1.86,767.0,0.02,5580.79,0.1,268.0,499.0,110.0,45.0,406.0,34.69,240.0,N
9.0,2.0,5.0,0.28,0.6,14.0,12.36,15.0,0.06,41.0,0.07,185.47,0.15,16.0,25.0,8.0,15.0,33.0,39.13,18.0,N
164.0,26.0,191.0,0.18,0.66,361.0,157.03,97.73,5.12,1844.0,0.01,15345.64,0.09,711.0,1133.0,251.0,69.0,764.0,38.71,398.0,N
27.0,11.0,48.0,0.16,0.77,76.0,60.5,32.21,0.65,298.0,0.03,1948.67,0.08,102.0,196.0,57.0,36.0,155.0,40.16,79.0,N
5.0,1.0,0.0,0.15,1.0,20.0,34.17,10.29,0.12,71.0,0.1,351.75,0.12,25.0,46.0,17.0,14.0,26.0,0.0,20.0,N
7.0,3.0,5.0,0.16,0.6,27.0,24.71,21.86,0.18,108.0,0.05,540.0,0.11,34.0,74.0,14.0,18.0,44.0,25.0,31.0,N
16.0,7.0,24.0,0.18,1.0,15.0,36.19,7.18,0.09,52.0,0.14,260.0,0.05,21.0,31.0,19.0,13.0,58.0,63.41,17.0,N
15.0,3.0,8.0,0.25,1.0,13.0,26.75,11.03,0.1,59.0,0.09,295.0,0.1,25.0,34.0,17.0,15.0,40.0,45.83,16.0,N
19.0,4.0,16.0,0.11,1.0,25.0,48.49,14.11,0.23,120.0,0.07,684.05,0.04,49.0,71.0,33.0,19.0,70.0,41.86,27.0,N
19.0,5.0,10.0,0.15,1.0,22.0,28.43,13.42,0.13,75.0,0.07,381.56,0.07,34.0,41.0,19.0,15.0,57.0,40.54,27.0,N
15.0,4.0,19.0,0.18,0.67,28.0,30.61,23.1,0.24,128.0,0.04,707.02,0.08,55.0,73.0,25.0,21.0,75.0,46.15,33.0,N
13.0,1.0,18.0,0.1,1.0,18.0,25.62,24.42,0.21,122.0,0.04,625.77,0.04,58.0,64.0,19.0,16.0,53.0,53.85,21.0,N
14.0,3.0,20.0,0.19,0.6,24.0,27.08,39.72,0.36,197.0,0.03,1075.51,0.07,87.0,110.0,23.0,21.0,68.0,47.83,26.0,N
12.0,4.0,12.0,0.13,1.0,38.0,54.44,19.25,0.35,176.0,0.05,1047.94,0.07,70.0,106.0,40.0,22.0,73.0,26.92,40.0,N
23.0,5.0,9.0,0.12,1.0,31.0,54.55,14.84,0.27,140.0,0.07,809.39,0.07,61.0,79.0,37.0,18.0,74.0,38.0,41.0,N
155.0,5.0,170.0,0.18,0.7,196.0,127.7,71.54,3.05,1177.0,0.01,9135.35,0.07,454.0,723.0,165.0,52.0,536.0,48.42,210.0,Y
42.0,10.0,44.0,0.16,1.0,32.0,53.31,12.89,0.23,123.0,0.08,686.95,0.05,47.0,76.0,31.0,17.0,124.0,60.49,37.0,N
30.0,5.0,45.0,0.13,0.9,71.0,46.15,27.11,0.42,211.0,0.04,1251.39,0.07,73.0,138.0,35.0,26.0,153.0,41.8,77.0,Y
9.0,2.0,7.0,0.13,1.0,15.0,27.05,14.25,0.13,74.0,0.07,385.5,0.06,27.0,47.0,18.0,19.0,32.0,31.82,15.0,Y
26.0,4.0,32.0,0.13,0.67,62.0,97.49,20.91,0.68,314.0,0.05,2038.44,0.07,115.0,199.0,66.0,24.0,126.0,37.37,67.0,N
40.0,12.0,47.0,0.14,0.83,41.0,61.64,16.96,0.35,177.0,0.06,1045.52,0.05,63.0,114.0,39.0,21.0,132.0,54.95,44.0,N
7.0,2.0,8.0,0.16,0.25,25.0,31.67,15.0,0.16,95.0,0.07,475.0,0.1,30.0,65.0,16.0,16.0,41.0,24.24,25.0,N
93.0,10.0,57.0,0.08,0.92,143.0,175.18,28.52,1.67,695.0,0.04,4996.93,0.04,290.0,405.0,122.0,24.0,305.0,32.22,154.0,Y
9.0,3.0,2.0,0.16,1.0,17.0,36.74,14.57,0.18,102.0,0.07,535.29,0.1,36.0,66.0,21.0,17.0,31.0,19.05,19.0,N
12.0,2.0,2.0,0.2,1.0,18.0,54.3,7.89,0.14,80.0,0.13,428.6,0.11,34.0,46.0,28.0,13.0,35.0,18.18,20.0,N
31.0,5.0,30.0,0.15,0.83,33.0,53.63,18.46,0.33,172.0,0.05,989.84,0.06,68.0,104.0,35.0,19.0,102.0,52.86,40.0,Y
62.0,3.0,46.0,0.04,1.0,92.0,234.02,26.64,2.08,822.0,0.04,6234.84,0.02,373.0,449.0,168.0,24.0,215.0,36.55,99.0,Y
36.0,5.0,14.0,0.14,1.0,44.0,78.96,22.12,0.58,269.0,0.05,1746.31,0.07,115.0,154.0,65.0,25.0,101.0,31.25,50.0,Y
39.0,7.0,28.0,0.13,1.0,48.0,124.44,13.9,0.58,262.0,0.07,1729.18,0.06,107.0,155.0,77.0,20.0,120.0,40.0,52.0,N
77.0,6.0,31.0,0.08,1.0,127.0,208.02,26.3,1.82,753.0,0.04,5471.89,0.04,259.0,494.0,128.0,26.0,240.0,21.6,131.0,N
55.0,9.0,23.0,0.19,1.0,21.0,51.3,7.64,0.13,77.0,0.13,391.73,0.04,28.0,49.0,22.0,12.0,100.0,52.27,21.0,N
17.0,2.0,34.0,0.18,0.67,65.0,108.84,15.19,0.55,263.0,0.07,1653.06,0.1,109.0,154.0,61.0,17.0,117.0,34.34,65.0,N
12.0,2.0,8.0,0.06,1.0,32.0,68.36,18.78,0.43,214.0,0.05,1284.0,0.04,96.0,118.0,46.0,18.0,54.0,21.95,33.0,N
13.0,7.0,20.0,0.21,1.0,23.0,30.19,7.85,0.08,51.0,0.13,236.84,0.09,17.0,34.0,13.0,12.0,58.0,47.73,24.0,N
3.0,0.0,6.0,0.22,0.5,8.0,10.63,3.75,0.01,12.0,0.27,39.86,0.11,5.0,7.0,4.0,6.0,19.0,46.67,9.0,N
22.0,8.0,1.0,0.17,0.82,63.0,40.21,43.24,0.58,292.0,0.02,1738.63,0.13,105.0,187.0,34.0,28.0,88.0,3.08,64.0,N
12.0,4.0,0.0,0.17,1.0,22.0,30.25,10.71,0.11,66.0,0.09,323.85,0.11,28.0,38.0,17.0,13.0,36.0,4.35,23.0,N
15.0,4.0,1.0,0.19,0.86,36.0,34.37,26.52,0.3,168.0,0.04,911.61,0.13,67.0,101.0,24.0,19.0,54.0,5.26,37.0,N
5.0,1.0,2.0,0.08,1.0,23.0,56.67,6.13,0.12,73.0,0.16,347.11,0.06,35.0,38.0,20.0,7.0,32.0,11.54,24.0,N
12.0,3.0,1.0,0.24,0.8,20.0,23.83,11.5,0.09,57.0,0.09,274.02,0.14,23.0,34.0,14.0,14.0,35.0,9.09,21.0,N
9.0,3.0,0.0,0.19,1.0,17.0,26.81,10.4,0.09,58.0,0.1,278.83,0.13,24.0,34.0,15.0,13.0,31.0,19.05,21.0,N
27.0,7.0,1.0,0.2,0.8,73.0,36.37,50.39,0.61,299.0,0.02,1832.66,0.14,113.0,186.0,37.0,33.0,105.0,5.19,76.0,N
7.0,1.0,1.0,0.2,1.0,6.0,16.39,3.5,0.02,16.0,0.29,57.36,0.11,5.0,11.0,5.0,7.0,19.0,45.45,10.0,N
10.0,5.0,1.0,0.18,0.75,17.0,31.11,12.06,0.13,75.0,0.08,375.0,0.12,31.0,44.0,18.0,14.0,34.0,26.09,22.0,N
22.0,7.0,1.0,0.19,0.69,64.0,39.47,43.33,0.57,283.0,0.02,1710.56,0.14,104.0,179.0,36.0,30.0,91.0,5.88,67.0,N
3.0,1.0,0.0,0.2,0.5,20.0,13.47,16.0,0.07,47.0,0.06,215.49,0.17,16.0,31.0,8.0,16.0,24.0,0.0,20.0,N
3.0,1.0,0.0,0.25,0.33,24.0,19.97,17.33,0.12,72.0,0.06,346.13,0.21,26.0,46.0,12.0,16.0,28.0,0.0,24.0,N
3.0,1.0,0.0,0.25,0.33,24.0,19.97,17.33,0.12,72.0,0.06,346.13,0.21,26.0,46.0,12.0,16.0,28.0,0.0,24.0,N
0.0,0.0,0.0,0.33,0.33,9.0,14.65,4.8,0.02,19.0,0.21,70.31,0.3,6.0,13.0,5.0,8.0,10.0,0.0,9.0,N
0.0,0.0,0.0,0.56,0.2,9.0,19.29,6.43,0.04,31.0,0.16,124.0,0.5,10.0,21.0,7.0,9.0,10.0,0.0,9.0,N
0.0,0.0,0.0,0.33,0.33,9.0,9.14,10.0,0.03,24.0,0.1,91.38,0.3,8.0,16.0,4.0,10.0,10.0,0.0,9.0,N
0.0,0.0,0.0,0.14,0.5,14.0,36.78,7.07,0.09,56.0,0.14,260.06,0.13,18.0,38.0,14.0,11.0,15.0,0.0,14.0,N
39.0,8.0,14.0,0.07,1.0,60.0,97.85,22.12,0.72,331.0,0.05,2164.46,0.03,114.0,217.0,67.0,26.0,146.0,27.71,69.0,N
9.0,2.0,6.0,0.12,1.0,16.0,39.8,9.0,0.12,73.0,0.11,358.2,0.07,27.0,46.0,18.0,12.0,42.0,50.0,26.0,N
4.0,2.0,4.0,0.17,1.0,12.0,23.34,6.11,0.05,33.0,0.16,142.62,0.1,10.0,23.0,9.0,11.0,21.0,25.0,12.0,N
3.0,0.0,0.0,0.15,0.5,13.0,18.1,9.63,0.06,41.0,0.1,174.17,0.12,14.0,27.0,8.0,11.0,17.0,0.0,13.0,N
55.0,25.0,91.0,0.22,0.87,133.0,54.04,77.46,1.4,605.0,0.01,4185.91,0.11,220.0,385.0,71.0,50.0,283.0,41.41,136.0,Y
5.0,3.0,13.0,0.13,1.0,16.0,21.16,9.1,0.06,42.0,0.11,192.57,0.06,13.0,29.0,10.0,14.0,35.0,44.83,16.0,N
22.0,2.0,5.0,0.13,0.75,27.0,28.78,18.12,0.17,95.0,0.06,521.73,0.07,29.0,66.0,20.0,25.0,58.0,22.86,30.0,N
19.0,2.0,15.0,0.15,0.8,31.0,35.02,17.25,0.2,110.0,0.06,604.1,0.07,33.0,77.0,22.0,23.0,69.0,36.73,34.0,N
12.0,3.0,28.0,0.13,0.6,37.0,30.93,16.0,0.16,93.0,0.06,494.94,0.06,32.0,61.0,20.0,20.0,80.0,44.78,39.0,N
5.0,1.0,6.0,0.15,0.5,26.0,38.77,13.2,0.17,99.0,0.08,511.82,0.11,33.0,66.0,20.0,16.0,38.0,18.75,26.0,N
6.0,1.0,8.0,0.18,0.5,34.0,59.16,12.6,0.25,135.0,0.08,745.68,0.12,43.0,92.0,29.0,17.0,49.0,19.05,34.0,N
21.0,5.0,30.0,0.21,0.71,31.0,26.31,23.5,0.21,126.0,0.04,618.27,0.08,47.0,79.0,15.0,15.0,85.0,50.79,33.0,N
7.0,0.0,0.0,0.13,0.5,15.0,37.54,7.6,0.1,60.0,0.13,285.29,0.09,19.0,41.0,15.0,12.0,23.0,0.0,15.0,N
10.0,2.0,12.0,0.19,1.0,15.0,18.1,16.36,0.1,63.0,0.06,296.13,0.09,24.0,39.0,11.0,15.0,44.0,54.55,21.0,N
53.0,13.0,13.0,0.17,0.93,130.0,91.32,55.88,1.7,729.0,0.02,5103.0,0.11,309.0,420.0,94.0,34.0,259.0,30.85,175.0,N
12.0,8.0,3.0,0.12,1.0,30.0,30.45,20.71,0.21,122.0,0.05,630.73,0.08,58.0,64.0,21.0,15.0,49.0,16.67,33.0,N
10.0,8.0,0.0,0.16,1.0,34.0,64.31,12.0,0.26,146.0,0.08,771.67,0.12,54.0,92.0,27.0,12.0,49.0,10.53,38.0,N
47.0,7.0,28.0,0.1,0.67,59.0,47.3,45.77,0.72,336.0,0.02,2164.83,0.06,136.0,200.0,52.0,35.0,162.0,48.25,86.0,N
7.0,1.0,30.0,0.15,0.25,16.0,18.87,19.62,0.12,77.0,0.05,370.17,0.06,34.0,43.0,13.0,15.0,65.0,71.93,27.0,N
33.0,1.0,95.0,0.17,0.08,65.0,79.18,42.02,1.11,541.0,0.02,3327.01,0.06,230.0,311.0,52.0,19.0,199.0,60.61,70.0,N
46.0,6.0,96.0,0.18,0.2,91.0,72.67,51.47,1.25,568.0,0.02,3740.26,0.08,250.0,318.0,68.0,28.0,254.0,56.04,111.0,Y
5.0,3.0,3.0,0.15,1.0,20.0,38.85,12.28,0.16,93.0,0.08,477.02,0.1,26.0,67.0,18.0,17.0,29.0,13.04,20.0,N
9.0,0.0,6.0,0.16,0.1,58.0,30.99,33.52,0.35,187.0,0.03,1038.71,0.13,83.0,104.0,26.0,21.0,80.0,17.14,64.0,Y
17.0,0.0,53.0,0.22,0.07,50.0,50.79,25.26,0.43,219.0,0.04,1282.9,0.11,89.0,130.0,37.0,21.0,140.0,59.02,69.0,N
1.0,0.0,0.0,0.25,0.33,12.0,21.83,10.42,0.08,51.0,0.1,227.43,0.21,25.0,26.0,12.0,10.0,14.0,0.0,12.0,N
24.0,7.0,55.0,0.16,0.35,93.0,56.02,48.06,0.9,407.0,0.02,2692.19,0.09,173.0,234.0,63.0,35.0,186.0,42.24,106.0,N
24.0,6.0,18.0,0.28,0.68,69.0,73.61,37.75,0.93,422.0,0.03,2778.85,0.17,151.0,271.0,64.0,32.0,112.0,20.69,69.0,N
4.0,0.0,0.0,0.18,0.33,16.0,13.72,10.56,0.05,33.0,0.09,144.95,0.14,13.0,20.0,8.0,13.0,22.0,5.88,17.0,N
5.0,0.0,0.0,0.15,0.33,20.0,10.03,14.67,0.05,36.0,0.07,147.15,0.12,16.0,20.0,6.0,11.0,26.0,0.0,20.0,N
26.0,16.0,119.0,0.1,0.76,154.0,133.35,38.57,1.71,695.0,0.03,5143.61,0.05,285.0,410.0,133.0,36.0,320.0,47.44,174.0,N
6.0,3.0,19.0,0.22,0.44,72.0,86.16,18.26,0.52,255.0,0.05,1573.33,0.16,83.0,172.0,50.0,22.0,99.0,21.74,73.0,N
21.0,10.0,50.0,0.13,0.72,125.0,77.8,40.25,1.04,438.0,0.02,3131.59,0.07,168.0,270.0,96.0,46.0,254.0,33.51,138.0,N
6.0,2.0,17.0,0.17,0.4,29.0,27.4,20.78,0.19,111.0,0.05,569.35,0.09,44.0,67.0,18.0,17.0,53.0,36.96,29.0,N
