@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute CONDITION_COUNT numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
8.0,7.0,15.0,8.0,4.0,4.0,30.0,26.0,76.96,0.21,108.0,615.65,2.0,4.0,28.0,48.0,60.0,39.0,41.0,26.0,N
1.0,5.0,4.0,8.0,4.0,3.0,13.0,11.0,31.66,0.07,45.0,203.56,2.0,4.0,12.0,20.0,25.0,14.0,13.0,11.0,N
2.0,5.0,0.0,8.0,4.0,1.0,10.0,9.0,14.06,0.04,27.0,105.49,2.0,4.0,9.0,10.0,17.0,6.0,16.0,9.0,N
4.0,9.0,4.0,12.0,4.0,3.0,17.0,15.0,26.04,0.1,65.0,312.48,4.0,6.0,14.0,32.0,33.0,16.0,26.0,15.0,N
6.0,13.0,7.0,24.0,12.0,6.0,31.0,31.0,62.84,0.24,130.0,705.41,6.0,12.0,26.0,58.0,72.0,31.0,44.0,31.0,N
4.0,3.0,3.0,4.0,2.0,2.0,7.0,28.0,40.86,0.14,81.0,418.76,1.0,2.0,7.0,41.0,40.0,24.0,33.0,28.0,N
5.0,5.0,1.0,8.0,4.0,2.0,10.0,15.0,17.13,0.09,53.0,267.35,2.0,4.0,9.0,23.0,30.0,14.0,24.0,15.0,N
1.0,7.0,0.0,12.0,6.0,1.0,16.0,12.0,14.65,0.08,51.0,239.72,3.0,6.0,14.0,24.0,27.0,11.0,14.0,12.0,N
0.0,3.0,1.0,4.0,2.0,2.0,5.0,7.0,8.64,0.01,12.0,36.0,1.0,2.0,5.0,5.0,7.0,3.0,8.0,7.0,N
3.0,5.0,3.0,8.0,4.0,2.0,13.0,16.0,20.14,0.09,55.0,258.51,2.0,4.0,12.0,22.0,33.0,12.0,35.0,16.0,Y
3.0,7.0,9.0,12.0,6.0,4.0,22.0,31.0,64.76,0.16,90.0,478.97,3.0,6.0,20.0,39.0,51.0,29.0,37.0,31.0,N
2.0,5.0,7.0,8.0,4.0,3.0,17.0,26.0,56.24,0.13,76.0,386.65,2.0,4.0,16.0,33.0,43.0,24.0,31.0,26.0,N
17.0,15.0,25.0,24.0,12.0,8.0,56.0,44.0,121.61,0.37,181.0,1109.4,6.0,12.0,50.0,80.0,101.0,57.0,73.0,44.0,Y
3.0,5.0,2.0,8.0,4.0,3.0,15.0,16.0,22.71,0.08,51.0,242.5,2.0,4.0,14.0,23.0,28.0,14.0,22.0,16.0,N
20.0,33.0,13.0,16.0,8.0,15.0,118.0,100.0,78.34,1.24,526.0,3716.76,4.0,8.0,92.0,223.0,303.0,94.0,130.0,100.0,N
1.0,3.0,4.0,4.0,2.0,2.0,14.0,9.0,38.84,0.11,75.0,324.14,1.0,2.0,14.0,31.0,44.0,13.0,14.0,9.0,Y
4.0,7.0,1.0,4.0,2.0,2.0,16.0,22.0,27.67,0.16,92.0,486.26,1.0,2.0,13.0,37.0,55.0,20.0,27.0,22.0,N
9.0,28.0,6.0,16.0,8.0,21.0,59.0,46.0,54.53,0.6,286.0,1802.88,4.0,8.0,39.0,114.0,172.0,50.0,60.0,46.0,N
5.0,21.0,3.0,24.0,4.0,2.0,32.0,36.0,47.96,0.3,161.0,899.18,10.0,12.0,23.0,75.0,86.0,32.0,45.0,37.0,N
