@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,5.0,0.0,0.0,3.0,3.0,10.0,8.0,9.42,0.05,41.0,160.18,0.33,17.0,24.0,5.0,10.0,9.0,0.0,8.0,N
1.0,3.0,0.0,0.0,2.0,2.0,8.0,5.0,13.67,0.03,20.0,78.14,0.29,10.0,10.0,7.0,8.0,7.0,0.0,5.0,N
18.0,19.0,1.0,58.0,10.0,2.0,41.0,60.0,61.6,0.83,392.0,2478.2,0.07,177.0,215.0,55.0,25.0,138.0,49.58,61.0,N
2.0,3.0,0.0,9.0,2.0,1.0,6.0,10.0,45.89,0.1,68.0,311.78,0.09,33.0,35.0,17.0,7.0,22.0,47.37,10.0,N
36.0,13.0,0.0,42.0,7.0,4.0,38.0,120.0,118.33,2.36,1002.0,7090.97,0.03,458.0,544.0,107.0,28.0,218.0,25.93,120.0,Y
43.0,39.0,1.0,35.0,22.0,17.0,98.0,107.0,97.32,1.07,464.0,3215.86,0.1,194.0,270.0,91.0,31.0,221.0,25.17,108.0,N
10.0,3.0,0.0,2.0,2.0,2.0,10.0,22.0,49.53,0.16,88.0,471.46,0.06,41.0,47.0,28.0,13.0,35.0,8.33,22.0,N
34.0,23.0,0.0,31.0,13.0,7.0,60.0,83.0,73.28,1.58,703.0,4729.73,0.07,327.0,376.0,76.0,30.0,174.0,27.19,83.0,N
17.0,15.0,0.0,7.0,11.0,7.0,32.0,54.0,46.52,0.43,214.0,1284.0,0.14,92.0,122.0,40.0,24.0,79.0,11.48,54.0,N
55.0,40.0,0.0,55.0,25.0,13.0,91.0,153.0,95.98,1.98,841.0,5942.58,0.09,379.0,462.0,101.0,33.0,288.0,26.44,153.0,Y
