@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
14.0,4.0,3.0,0.0,0.23,2.0,41.87,0.2,110.0,0.07,593.15,22.0,0.15,51.0,59.0,27.0,15.0,41.0,11.54,26.0,N
6.0,1.0,1.0,3.0,0.5,2.0,12.18,0.01,11.0,0.33,36.54,5.0,0.14,4.0,7.0,4.0,6.0,14.0,57.14,4.0,N
14.0,6.0,5.0,12.0,0.28,2.4,37.31,0.3,152.0,0.04,890.41,28.0,0.17,63.0,89.0,33.0,25.0,66.0,33.33,39.0,N
20.0,2.0,3.0,12.0,0.26,2.5,31.44,0.2,107.0,0.05,606.95,23.0,0.14,47.0,60.0,28.0,23.0,72.0,29.41,39.0,N
6.0,6.0,1.0,0.0,0.18,2.0,31.9,0.07,48.0,0.14,220.08,10.0,0.11,23.0,25.0,15.0,9.0,18.0,9.09,11.0,Y
17.0,4.0,4.0,7.0,0.2,2.0,46.83,0.23,125.0,0.07,678.28,20.0,0.09,60.0,65.0,29.0,14.0,45.0,40.74,20.0,N
7.0,2.0,2.0,4.0,0.3,2.0,17.81,0.07,42.0,0.09,197.42,10.0,0.14,19.0,23.0,12.0,14.0,22.0,42.86,10.0,N
3.0,6.0,1.0,0.0,0.27,3.0,32.98,0.07,48.0,0.16,203.9,11.0,0.2,17.0,31.0,11.0,8.0,15.0,9.09,11.0,N
2.0,0.0,7.0,6.0,0.2,3.5,36.79,0.19,107.0,0.06,573.26,12.0,0.15,44.0,63.0,24.0,17.0,39.0,36.11,30.0,N
9.0,2.0,8.0,15.0,0.13,2.0,56.47,0.33,180.0,0.06,982.7,20.0,0.08,83.0,97.0,31.0,13.0,73.0,36.51,48.0,N
0.0,2.0,0.0,0.0,0.23,2.0,23.44,0.06,38.0,0.14,171.9,10.0,0.21,16.0,22.0,12.0,11.0,14.0,0.0,13.0,N
8.0,3.0,0.0,1.0,0.15,2.0,55.83,0.35,186.0,0.05,1049.76,13.0,0.12,73.0,113.0,33.0,17.0,49.0,2.5,39.0,N
10.0,5.0,1.0,3.0,0.14,2.5,45.13,0.17,93.0,0.09,501.49,14.0,0.08,40.0,53.0,27.0,15.0,51.0,12.5,29.0,N
11.0,0.0,4.0,9.0,0.04,2.0,135.48,0.45,249.0,0.1,1351.14,6.0,0.03,123.0,126.0,37.0,6.0,66.0,24.07,45.0,N
2.0,2.0,0.0,0.0,0.25,2.0,18.53,0.06,40.0,0.11,166.8,7.0,0.18,18.0,22.0,9.0,9.0,11.0,0.0,8.0,N
