@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
22.0,4.0,26.0,0.22,12.0,2.17,32.0,0.21,120.0,634.25,0.13,7.0,13.0,0.11,42.0,78.0,23.0,71.0,31.91,36.0,Y
7.0,0.0,0.0,0.14,0.0,0.0,7.0,0.05,38.0,144.68,1.0,0.0,0.0,0.06,8.0,30.0,4.0,18.0,22.22,7.0,N
10.0,0.0,4.0,0.2,2.0,2.0,10.0,0.05,37.0,159.91,0.5,1.0,2.0,0.08,12.0,25.0,8.0,24.0,16.67,10.0,N
9.0,0.0,4.0,0.2,2.0,2.0,10.0,0.05,38.0,164.23,0.5,1.0,2.0,0.07,12.0,26.0,8.0,27.0,37.5,10.0,N
3.0,0.0,0.0,0.25,0.0,0.0,4.0,0.01,12.0,39.86,1.0,0.0,0.0,0.1,4.0,8.0,3.0,10.0,0.0,4.0,N
9.0,0.0,0.0,0.13,0.0,0.0,8.0,0.03,23.0,87.57,1.0,0.0,0.0,0.05,8.0,15.0,7.0,22.0,27.27,8.0,N
8.0,9.0,4.0,0.11,2.0,2.0,10.0,0.11,69.0,331.71,0.5,1.0,2.0,0.06,23.0,46.0,15.0,34.0,58.33,19.0,Y
5.0,0.0,0.0,0.17,0.0,0.0,6.0,0.02,18.0,66.61,1.0,0.0,0.0,0.07,7.0,11.0,6.0,14.0,14.29,6.0,N
5.0,0.0,0.0,0.14,0.0,0.0,7.0,0.04,32.0,125.02,1.0,0.0,0.0,0.07,9.0,23.0,6.0,15.0,12.5,7.0,N
6.0,1.0,6.0,0.17,2.0,3.0,17.0,0.1,64.0,285.4,1.0,2.0,3.0,0.11,19.0,45.0,9.0,27.0,10.53,18.0,N
4.0,1.0,0.0,0.33,0.0,0.0,2.0,0.01,11.0,34.87,1.0,0.0,0.0,0.09,3.0,8.0,3.0,11.0,60.0,3.0,Y
6.0,1.0,4.0,0.12,2.0,2.0,16.0,0.08,56.0,242.03,0.5,1.0,2.0,0.08,17.0,39.0,9.0,26.0,11.11,17.0,Y
6.0,0.0,0.0,0.1,0.0,0.0,10.0,0.06,44.0,176.0,1.0,0.0,0.0,0.05,13.0,31.0,7.0,19.0,9.09,10.0,N
5.0,0.0,0.0,0.17,0.0,0.0,6.0,0.04,28.0,118.94,1.0,0.0,0.0,0.07,9.0,19.0,8.0,14.0,14.29,6.0,N
7.0,0.0,0.0,0.1,0.0,0.0,10.0,0.06,44.0,176.0,1.0,0.0,0.0,0.05,13.0,31.0,7.0,20.0,9.09,10.0,N
5.0,0.0,0.0,0.14,0.0,0.0,7.0,0.04,30.0,117.21,1.0,0.0,0.0,0.07,9.0,21.0,6.0,15.0,12.5,7.0,N
6.0,0.0,0.0,0.13,0.0,0.0,8.0,0.06,43.0,182.66,1.0,0.0,0.0,0.06,13.0,30.0,9.0,18.0,20.0,8.0,N
6.0,1.0,4.0,0.2,2.0,2.0,9.0,0.08,55.0,233.64,0.5,1.0,2.0,0.11,15.0,40.0,8.0,19.0,18.18,10.0,Y
6.0,0.0,4.0,0.2,2.0,2.0,10.0,0.08,55.0,229.35,0.5,1.0,2.0,0.11,15.0,40.0,7.0,19.0,9.09,10.0,N
5.0,0.0,0.0,0.14,0.0,0.0,7.0,0.04,31.0,129.27,1.0,0.0,0.0,0.07,11.0,20.0,9.0,15.0,12.5,7.0,N
4.0,0.0,8.0,0.25,4.0,2.0,12.0,0.06,40.0,178.38,0.33,2.0,4.0,0.17,16.0,24.0,10.0,18.0,0.0,12.0,N
5.0,1.0,4.0,0.25,2.0,2.0,7.0,0.03,22.0,89.92,0.5,1.0,2.0,0.11,10.0,12.0,9.0,19.0,22.22,8.0,N
4.0,0.0,4.0,0.25,2.0,2.0,8.0,0.03,22.0,89.92,0.5,1.0,2.0,0.11,10.0,12.0,9.0,18.0,11.11,8.0,N
