@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute EDGE_COUNT numeric
@attribute LOC_EXECUTABLE numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
8.0,5.0,9.0,0.0,6.0,8.0,3.0,4.0,1.0,25.0,16.0,1.0,16.5,0.33,2.0,4.0,24.0,14.0,34.0,16.0,N
3.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,6.0,1.0,7.07,1.0,0.0,0.0,6.0,9.0,15.0,6.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,8.0,7.0,3.0,N
3.0,25.0,0.0,18.0,9.0,40.0,13.0,16.0,1.0,43.0,50.0,12.0,57.0,0.69,12.0,20.0,32.0,19.0,86.0,68.0,N
2.0,25.0,0.0,16.0,8.0,40.0,13.0,16.0,1.0,43.0,52.0,12.0,57.0,0.69,12.0,20.0,32.0,19.0,84.0,68.0,N
2.0,21.0,0.0,5.0,0.0,32.0,11.0,12.0,1.0,33.0,28.0,11.0,37.4,0.64,10.0,16.0,24.0,11.0,39.0,33.0,N
2.0,21.0,0.0,5.0,0.0,32.0,11.0,12.0,1.0,33.0,28.0,11.0,37.4,0.64,10.0,16.0,24.0,11.0,39.0,33.0,N
2.0,21.0,0.0,5.0,0.0,32.0,11.0,12.0,1.0,33.0,28.0,11.0,37.4,0.64,10.0,16.0,24.0,11.0,39.0,33.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,5.25,1.0,0.0,0.0,2.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.13,1.0,0.0,0.0,3.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,N
0.0,9.0,1.0,3.0,0.0,12.0,5.0,2.0,5.0,15.0,4.0,5.0,27.62,0.8,5.0,8.0,12.0,13.0,10.0,7.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,7.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,7.0,6.0,N
0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,5.0,3.0,8.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.5,1.0,0.0,0.0,2.0,1.0,10.0,6.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,5.25,1.0,0.0,0.0,2.0,7.0,4.0,2.0,N
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,0.0,0.0,2.0,3.0,4.0,2.0,N
