@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
6.0,2.0,1.0,0.0,0.2,2.0,3.0,0.6,0.0,3.0,32.54,309.13,0.2,15.0,4.0,N
15.0,3.0,1.0,19.0,0.13,2.0,2.0,0.5,0.0,1.0,38.55,829.45,0.25,27.0,39.22,Y
27.0,1.0,4.0,22.0,0.15,2.0,3.0,0.6,0.0,0.0,52.03,641.73,0.2,22.0,47.27,Y
7.0,2.0,0.0,0.0,0.17,2.0,2.0,1.0,0.0,2.0,14.62,94.01,0.5,10.0,0.0,N
51.0,13.0,0.0,14.0,0.12,2.0,11.0,0.85,0.0,2.0,101.31,2739.78,0.08,20.0,11.67,N
3.0,2.0,0.0,0.0,0.2,2.0,3.0,1.0,0.0,1.0,8.17,147.15,0.33,12.0,0.0,N
13.0,5.0,12.0,16.0,0.14,2.0,5.0,1.0,1.0,4.0,38.51,548.83,1.0,15.0,52.83,N
22.0,0.0,8.0,35.0,0.28,2.75,1.0,0.07,0.14,0.0,61.1,1362.41,0.2,15.0,48.31,N
16.0,2.0,11.0,28.0,0.11,3.0,1.0,0.2,1.0,2.0,41.24,856.15,1.0,19.0,53.42,N
4.0,0.0,2.0,4.0,0.17,2.0,1.0,0.5,0.0,1.0,15.9,143.06,0.5,9.0,37.5,N
23.0,0.0,10.0,17.0,0.21,2.0,1.0,0.14,0.67,3.0,27.4,770.38,0.71,17.0,54.0,N
23.0,0.0,10.0,17.0,0.21,2.0,1.0,0.14,0.67,3.0,17.45,474.97,0.71,14.0,54.0,N
40.0,4.0,2.0,15.0,0.15,2.0,2.0,0.4,0.0,0.0,47.41,1303.73,0.2,22.0,35.42,N
23.0,6.0,3.0,20.0,0.19,2.0,2.0,0.4,0.0,0.0,43.1,655.13,0.2,19.0,48.94,N
8.0,1.0,6.0,5.0,0.11,2.0,1.0,0.5,0.0,1.0,29.61,271.03,0.5,14.0,45.83,N
19.0,1.0,2.0,0.0,0.06,2.0,2.0,1.0,0.0,0.0,64.01,745.68,0.5,12.0,5.71,N
6.0,0.0,6.0,0.0,0.15,2.5,1.0,0.25,1.0,1.0,21.34,521.54,1.0,22.0,22.22,N
134.0,9.0,63.0,31.0,0.17,2.38,23.0,0.56,0.13,5.0,101.81,5580.79,0.15,45.0,34.69,N
9.0,2.0,4.0,5.0,0.28,2.0,3.0,0.6,0.0,0.0,12.36,185.47,0.2,15.0,39.13,N
164.0,26.0,37.0,191.0,0.18,2.37,46.0,0.66,0.38,1.0,157.03,15345.64,0.39,69.0,38.71,N
27.0,11.0,3.0,48.0,0.16,2.43,10.0,0.77,0.5,1.0,60.5,1948.67,0.54,36.0,40.16,N
5.0,1.0,0.0,0.0,0.15,2.0,3.0,1.0,0.0,1.0,34.17,351.75,0.33,14.0,0.0,N
7.0,3.0,4.0,5.0,0.16,2.33,3.0,0.6,0.5,0.0,24.71,540.0,0.6,18.0,25.0,N
16.0,7.0,2.0,24.0,0.18,2.0,3.0,1.0,0.0,1.0,36.19,260.0,0.33,13.0,63.41,N
15.0,3.0,3.0,8.0,0.25,2.0,4.0,1.0,0.0,0.0,26.75,295.0,0.25,15.0,45.83,N
19.0,4.0,2.0,16.0,0.11,2.0,3.0,1.0,0.0,1.0,48.49,684.05,0.33,19.0,41.86,N
19.0,5.0,5.0,10.0,0.15,2.0,4.0,1.0,1.0,1.0,28.43,381.56,1.0,15.0,40.54,N
15.0,4.0,5.0,19.0,0.18,2.0,4.0,0.67,0.0,2.0,30.61,707.02,0.17,21.0,46.15,N
13.0,1.0,3.0,18.0,0.1,2.0,2.0,1.0,0.0,2.0,25.62,625.77,0.5,16.0,53.85,N
14.0,3.0,2.0,20.0,0.19,2.0,3.0,0.6,0.0,1.0,27.08,1075.51,0.2,21.0,47.83,N
12.0,4.0,2.0,12.0,0.13,2.0,5.0,1.0,0.0,1.0,54.44,1047.94,0.2,22.0,26.92,N
23.0,5.0,10.0,9.0,0.12,2.0,5.0,1.0,1.0,1.0,54.55,809.39,1.0,18.0,38.0,N
155.0,5.0,14.0,170.0,0.18,2.1,26.0,0.7,0.56,1.0,127.7,9135.35,0.57,52.0,48.42,Y
42.0,10.0,5.0,44.0,0.16,2.0,6.0,1.0,0.0,0.0,53.31,686.95,0.17,17.0,60.49,N
30.0,5.0,6.0,45.0,0.13,2.0,9.0,0.9,0.78,1.0,46.15,1251.39,0.8,26.0,41.8,Y
9.0,2.0,0.0,7.0,0.13,2.0,2.0,1.0,0.0,0.0,27.05,385.5,0.5,19.0,31.82,Y
26.0,4.0,5.0,32.0,0.13,2.33,6.0,0.67,0.38,2.0,97.49,2038.44,0.44,24.0,37.37,N
40.0,12.0,3.0,47.0,0.14,2.0,5.0,0.83,0.0,0.0,61.64,1045.52,0.17,21.0,54.95,N
7.0,2.0,0.0,8.0,0.16,2.0,1.0,0.25,0.0,0.0,31.67,475.0,0.25,16.0,24.24,N
93.0,10.0,11.0,57.0,0.08,2.0,12.0,0.92,0.0,1.0,175.18,4996.93,0.08,24.0,32.22,Y
9.0,3.0,2.0,2.0,0.16,2.0,3.0,1.0,0.0,0.0,36.74,535.29,0.33,17.0,19.05,N
12.0,2.0,2.0,2.0,0.2,2.0,4.0,1.0,0.0,1.0,54.3,428.6,0.25,13.0,18.18,N
31.0,5.0,7.0,30.0,0.15,2.0,5.0,0.83,0.0,0.0,53.63,989.84,0.17,19.0,52.86,Y
62.0,3.0,7.0,46.0,0.04,2.0,4.0,1.0,0.0,0.0,234.02,6234.84,0.25,24.0,36.55,Y
36.0,5.0,6.0,14.0,0.14,2.0,7.0,1.0,0.0,0.0,78.96,1746.31,0.14,25.0,31.25,Y
39.0,7.0,4.0,28.0,0.13,2.0,7.0,1.0,0.0,1.0,124.44,1729.18,0.14,20.0,40.0,N
77.0,6.0,4.0,31.0,0.08,2.0,10.0,1.0,0.0,1.0,208.02,5471.89,0.1,26.0,21.6,N
