@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute label {Y,N}

@data
447.0,826.0,12.0,157.0,470.0,113.0,2824.0,210.28,384.45,31079782.27,0.0,1726654.57,80843.08,5420.0,609.0,155.0,3442.0,Y
37.0,29.0,8.0,42.0,19.0,6.0,133.0,108.14,46.32,232043.52,0.02,12891.31,5009.32,390.0,121.0,38.0,222.0,Y
11.0,405.0,0.0,17.0,404.0,1.0,814.0,101.2,206.01,4294926.45,0.0,238607.05,20848.47,1220.0,811.0,411.0,844.0,Y
106.0,240.0,7.0,344.0,127.0,33.0,952.0,218.17,215.17,10100866.9,0.0,561159.25,46943.69,3368.0,262.0,49.0,1411.0,Y
101.0,464.0,11.0,75.0,263.0,140.0,1339.0,106.5,337.36,12120796.16,0.0,673377.6,35928.07,2752.0,226.0,98.0,1532.0,Y
67.0,187.0,4.0,1.0,94.0,27.0,391.0,233.07,58.04,785182.04,0.02,43621.22,13527.84,1062.0,167.0,27.0,466.0,Y
105.0,344.0,9.0,40.0,207.0,58.0,1124.0,122.6,269.46,8901671.32,0.0,494537.33,33034.94,2416.0,279.0,105.0,1280.0,Y
18.0,47.0,0.0,10.0,24.0,1.0,75.0,87.74,30.06,79302.28,0.03,4405.68,2637.8,281.0,47.0,18.0,107.0,Y
39.0,163.0,1.0,6.0,94.0,3.0,656.0,114.78,174.22,3483952.81,0.01,193552.92,19997.18,1918.0,117.0,52.0,706.0,N
143.0,67.0,7.0,49.0,34.0,1.0,589.0,569.78,49.3,1385089.67,0.02,76949.43,28092.72,1759.0,355.0,23.0,790.0,Y
202.0,503.0,3.0,78.0,286.0,82.0,1599.0,293.29,188.01,10367010.97,0.01,575945.03,55140.81,3149.0,1026.0,172.0,1882.0,Y
56.0,175.0,4.0,32.0,104.0,46.0,559.0,106.36,133.52,1896161.7,0.01,105342.32,14201.43,1177.0,157.0,65.0,657.0,Y
23.0,39.0,2.0,9.0,20.0,6.0,91.0,72.83,27.61,55527.32,0.04,3084.85,2010.97,204.0,49.0,22.0,128.0,Y
53.0,338.0,17.0,30.0,173.0,90.0,622.0,201.58,112.1,2533263.14,0.01,140736.84,22597.73,1776.0,195.0,40.0,725.0,Y
63.0,65.0,14.0,11.0,33.0,19.0,244.0,174.35,47.68,396298.57,0.02,22016.59,8312.38,676.0,111.0,21.0,334.0,Y
4.0,3.0,1.0,1.0,2.0,1.0,11.0,46.28,4.59,976.67,0.22,54.26,212.61,26.0,16.0,7.0,20.0,N
102.0,36.0,13.0,120.0,25.0,1.0,384.0,149.63,106.91,1710253.62,0.01,95014.09,15997.27,1265.0,176.0,48.0,621.0,Y
11.0,21.0,6.0,12.0,11.0,5.0,51.0,55.41,26.96,40271.64,0.04,2237.31,1493.79,160.0,37.0,21.0,82.0,Y
5.0,3.0,0.0,0.0,2.0,1.0,16.0,29.06,13.0,4911.8,0.08,272.88,377.83,51.0,15.0,15.0,23.0,Y
28.0,45.0,0.0,31.0,23.0,10.0,184.0,233.12,27.43,175381.67,0.04,9743.43,6394.12,459.0,168.0,24.0,243.0,Y
17.0,17.0,0.0,9.0,9.0,4.0,78.0,79.42,28.09,62666.87,0.04,3481.49,2230.92,200.0,61.0,23.0,106.0,Y
88.0,53.0,0.0,51.0,27.0,17.0,329.0,258.56,46.27,553655.03,0.02,30758.61,11964.76,903.0,168.0,23.0,470.0,Y
61.0,7.0,1.0,3.0,4.0,1.0,221.0,182.59,50.0,456476.77,0.02,25359.82,9129.54,729.0,113.0,20.0,288.0,Y
10.0,39.0,0.0,4.0,20.0,16.0,76.0,88.31,25.69,58274.06,0.04,3237.45,2268.58,225.0,56.0,21.0,93.0,Y
32.0,25.0,1.0,20.0,13.0,11.0,105.0,111.25,38.42,164197.54,0.03,9122.09,4273.98,426.0,67.0,22.0,161.0,Y
17.0,169.0,1.0,17.0,85.0,57.0,287.0,209.56,24.56,126435.8,0.04,7024.21,5147.4,446.0,111.0,19.0,325.0,Y
35.0,97.0,0.0,47.0,49.0,17.0,241.0,149.47,42.55,270569.63,0.02,15031.65,6359.48,529.0,109.0,25.0,325.0,Y
18.0,17.0,0.0,10.0,9.0,1.0,46.0,39.89,30.0,35902.24,0.03,1994.57,1196.74,135.0,30.0,25.0,77.0,Y
14.0,3.0,1.0,26.0,2.0,1.0,41.0,40.37,30.02,36384.05,0.03,2021.34,1211.99,143.0,25.0,19.0,85.0,Y
1.0,11.0,0.0,35.0,10.0,1.0,96.0,49.81,69.04,237396.79,0.01,13188.71,3438.71,319.0,82.0,74.0,135.0,Y
22.0,27.0,0.0,17.0,14.0,6.0,90.0,97.88,29.93,87650.65,0.03,4869.48,2929.01,291.0,60.0,21.0,132.0,Y
5.0,274.0,0.0,13.0,273.0,1.0,552.0,113.44,140.51,2239582.39,0.01,124421.27,15938.96,1093.0,549.0,280.0,572.0,Y
32.0,57.0,0.0,43.0,29.0,22.0,158.0,277.1,27.34,207113.99,0.04,11506.33,7575.73,560.0,115.0,12.0,235.0,Y
10.0,7.0,0.0,8.0,4.0,1.0,44.0,67.03,21.15,29982.9,0.05,1665.72,1417.63,148.0,40.0,18.0,65.0,Y
9.0,21.0,2.0,15.0,11.0,3.0,35.0,28.31,23.33,15415.76,0.04,856.43,660.68,85.0,18.0,21.0,63.0,Y
42.0,139.0,0.0,8.0,70.0,1.0,150.0,112.95,48.12,261494.78,0.02,14527.49,5434.67,561.0,56.0,17.0,202.0,Y
54.0,127.0,1.0,4.0,82.0,8.0,452.0,72.24,140.64,1428851.32,0.01,79380.63,10159.52,870.0,113.0,65.0,513.0,Y
16.0,7.0,0.0,3.0,4.0,1.0,28.0,46.75,16.19,12247.78,0.06,680.43,756.73,91.0,27.0,19.0,49.0,Y
