@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
0.0,0.0,0.0,1.0,1.0,1.0,3.0,11.58,2.67,82.35,0.38,4.57,4.0,7.0,3.0,4.0,5.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
2.0,0.0,0.0,1.0,1.0,1.0,8.0,18.03,3.5,220.91,0.29,12.27,7.0,12.0,5.0,5.0,12.0,N
0.0,0.0,0.0,1.0,1.0,1.0,3.0,11.58,2.67,82.35,0.38,4.57,4.0,7.0,3.0,4.0,5.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
2.0,0.0,0.0,1.0,1.0,1.0,9.0,29.44,3.75,414.05,0.27,23.0,10.0,19.0,8.0,6.0,13.0,N
2.0,0.0,0.0,1.0,1.0,1.0,8.0,18.03,3.5,220.91,0.29,12.27,7.0,12.0,5.0,5.0,12.0,N
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,N
2.0,0.0,0.0,1.0,1.0,1.0,8.0,18.03,3.5,220.91,0.29,12.27,7.0,12.0,5.0,5.0,12.0,N
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,N
2.0,0.0,0.0,1.0,1.0,1.0,8.0,14.02,7.33,753.86,0.14,41.88,11.0,16.0,6.0,8.0,13.0,N
2.0,0.0,0.0,3.0,2.0,3.0,12.0,18.89,10.0,1888.7,0.1,104.93,15.0,28.0,9.0,12.0,16.0,N
2.0,0.0,0.0,3.0,2.0,3.0,12.0,18.89,10.0,1888.7,0.1,104.93,15.0,28.0,9.0,12.0,16.0,N
2.0,0.0,0.0,3.0,2.0,3.0,12.0,18.89,10.0,1888.7,0.1,104.93,15.0,28.0,9.0,12.0,16.0,N
2.0,0.0,0.0,1.0,1.0,1.0,10.0,27.26,5.2,737.24,0.19,40.96,13.0,21.0,10.0,8.0,16.0,N
6.0,0.0,1.0,6.0,6.0,5.0,26.0,36.3,11.38,4697.06,0.09,260.95,28.0,57.0,16.0,13.0,35.0,N
6.0,0.0,10.0,11.0,11.0,1.0,65.0,40.27,23.04,21378.61,0.04,1187.7,64.0,107.0,25.0,18.0,83.0,Y
1.0,0.0,0.0,2.0,2.0,1.0,10.0,21.22,5.78,708.49,0.17,39.36,13.0,17.0,9.0,8.0,14.0,N
1.0,0.0,0.0,4.0,4.0,1.0,32.0,30.53,15.86,7677.16,0.06,426.51,37.0,66.0,14.0,12.0,40.0,N
3.0,0.0,3.0,4.0,4.0,3.0,27.0,42.34,11.57,5663.36,0.09,314.63,38.0,56.0,23.0,14.0,38.0,N
5.0,0.0,2.0,8.0,8.0,6.0,37.0,51.81,14.86,11436.73,0.07,635.37,52.0,89.0,28.0,16.0,46.0,Y
5.0,0.0,0.0,2.0,2.0,1.0,19.0,28.99,10.0,2898.93,0.1,161.05,22.0,44.0,11.0,10.0,26.0,N
1.0,0.0,0.0,2.0,2.0,1.0,12.0,16.58,9.17,1393.33,0.11,77.41,11.0,27.0,6.0,10.0,15.0,N
4.0,0.0,0.0,1.0,1.0,1.0,15.0,20.22,10.29,2139.43,0.1,118.86,16.0,36.0,7.0,9.0,21.0,N
2.0,0.0,0.0,1.0,1.0,1.0,7.0,13.88,4.8,319.72,0.21,17.76,6.0,12.0,5.0,8.0,11.0,N
3.0,0.0,0.0,2.0,2.0,1.0,12.0,16.2,6.67,720.0,0.15,40.0,8.0,19.0,6.0,10.0,17.0,N
2.0,0.0,0.0,3.0,3.0,1.0,21.0,27.25,9.35,2381.95,0.11,132.33,17.0,41.0,10.0,11.0,25.0,N
2.0,0.0,4.0,10.0,10.0,9.0,48.0,46.69,17.67,14573.21,0.06,809.62,53.0,102.0,24.0,16.0,56.0,N
2.0,0.0,0.0,3.0,3.0,1.0,21.0,27.25,9.35,2381.95,0.11,132.33,17.0,41.0,10.0,11.0,25.0,Y
