@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
15.0,0.0,6.0,4.0,2.0,1.0,2.0,76.96,8.0,4925.18,273.62,0.1,18.75,N
4.0,0.0,0.0,4.0,2.0,1.0,0.0,31.66,6.43,1308.6,72.7,0.23,0.0,N
0.0,0.0,4.0,4.0,2.0,0.33,0.0,14.06,7.5,791.15,43.95,0.19,30.77,N
4.0,0.0,6.0,4.0,3.0,0.6,1.0,26.04,12.0,3749.74,208.32,0.19,28.57,N
7.0,0.0,6.0,12.0,2.0,0.86,0.0,62.84,11.23,7918.85,439.94,0.16,16.21,N
3.0,0.0,0.0,2.0,2.0,1.0,2.0,40.86,10.25,4292.33,238.46,0.06,0.0,N
1.0,0.0,3.0,4.0,2.0,0.67,2.0,17.13,15.61,4172.6,231.81,0.13,16.67,N
0.0,0.0,0.0,6.0,2.0,0.25,1.0,14.65,16.36,3922.73,217.93,0.29,0.0,N
1.0,0.0,0.0,2.0,2.0,1.0,0.0,8.64,4.17,150.0,8.33,0.25,0.0,N
3.0,0.0,15.0,4.0,2.0,0.67,2.0,20.14,12.83,3317.73,184.32,0.09,48.39,Y
9.0,0.0,2.0,6.0,2.0,1.0,2.0,64.76,7.4,3542.75,196.82,0.11,6.06,N
7.0,0.0,2.0,4.0,2.0,1.0,2.0,56.24,6.87,2658.2,147.68,0.1,7.14,N
25.0,0.0,11.0,12.0,2.0,1.0,2.0,121.61,9.12,10120.84,562.27,0.11,20.0,Y
2.0,0.0,2.0,4.0,2.0,1.0,2.0,22.71,10.68,2589.55,143.86,0.14,11.11,N
13.0,0.0,9.0,8.0,2.0,0.54,1.0,78.34,47.45,176348.54,9797.14,0.22,8.26,N
4.0,0.0,3.0,2.0,2.0,1.0,0.0,38.84,8.35,2705.36,150.3,0.14,25.0,Y
1.0,0.0,0.0,2.0,2.0,0.4,1.0,27.67,17.58,8545.97,474.78,0.19,0.0,N
6.0,0.0,4.0,8.0,2.0,0.95,2.0,54.53,33.06,59603.26,3311.29,0.37,8.0,N
3.0,1.0,2.0,4.0,6.0,0.18,1.0,47.96,18.75,16859.61,936.64,0.24,7.69,N
2.0,0.0,0.0,2.0,2.0,1.0,0.0,26.13,7.46,1455.85,80.88,0.15,0.0,N
6.0,0.0,5.0,4.0,2.0,1.0,2.0,51.32,12.79,8399.67,466.65,0.09,17.24,N
2.0,0.0,0.0,2.0,2.0,1.0,0.0,18.23,3.86,271.19,15.07,0.18,0.0,N
1.0,0.0,0.0,2.0,2.0,1.0,3.0,17.11,7.7,1014.63,56.37,0.14,0.0,N
16.0,0.0,3.0,4.0,2.0,1.0,2.0,101.03,5.96,3588.0,199.33,0.11,9.68,Y
4.0,0.0,0.0,4.0,2.0,1.0,0.0,49.47,4.42,966.99,53.72,0.15,0.0,Y
6.0,0.0,0.0,4.0,2.0,1.0,0.0,36.52,16.3,9698.89,538.83,0.18,0.0,N
1.0,0.0,2.0,6.0,2.0,0.83,0.0,29.3,25.54,19104.17,1061.34,0.12,4.88,N
5.0,0.0,0.0,6.0,2.0,1.0,1.0,48.3,28.0,37867.16,2103.73,0.13,0.0,N
1.0,0.0,13.0,22.0,2.0,0.17,0.0,30.32,47.53,68495.54,3805.31,0.17,21.31,N
5.0,0.0,7.0,6.0,2.0,0.83,0.0,34.0,13.52,6218.16,345.45,0.16,23.33,N
7.0,0.0,7.0,2.0,2.0,0.5,0.0,96.01,17.68,30006.37,1667.02,0.04,17.07,N
9.0,0.0,13.0,6.0,2.0,0.75,0.0,85.54,30.74,80809.25,4489.4,0.05,20.31,N
0.0,0.0,16.0,6.0,2.0,0.25,0.0,49.31,22.86,25777.05,1432.06,0.08,38.1,N
0.0,0.0,0.0,2.0,2.0,0.5,0.0,16.0,6.5,676.0,37.56,0.29,0.0,N
2.0,0.0,8.0,6.0,2.33,0.4,0.0,16.51,22.88,8646.51,480.36,0.17,33.33,N
20.0,0.0,4.0,4.0,2.0,1.0,2.0,123.03,6.07,4532.64,251.81,0.08,10.53,N
3.0,0.0,5.0,4.0,2.0,1.0,1.0,100.29,10.06,10151.3,563.96,0.08,14.29,Y
6.0,0.0,2.0,2.0,2.0,1.0,0.0,39.27,11.45,5152.07,286.23,0.11,8.33,N
4.0,0.0,12.0,10.0,2.2,0.57,2.0,30.79,16.07,7959.08,442.17,0.14,30.0,N
14.0,0.0,6.0,4.0,2.0,1.0,2.0,79.28,6.0,2854.12,158.56,0.11,20.0,N
4.0,0.0,0.0,2.0,2.0,1.0,0.0,45.34,6.75,2065.86,114.77,0.13,0.0,N
6.0,0.0,21.0,2.0,2.0,1.0,0.0,36.89,28.34,29630.1,1646.12,0.09,25.61,Y
10.0,0.0,15.0,2.0,3.0,0.89,0.0,39.93,28.29,31947.46,1774.86,0.11,20.55,N
7.0,0.0,17.0,8.0,2.0,1.0,0.0,69.49,14.01,13645.26,758.07,0.07,28.33,Y
3.0,0.0,7.0,6.0,2.0,0.57,0.0,57.9,25.29,37041.01,2057.83,0.09,9.86,N
