@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,2.0,17.0,0.06,160.18,0.33,9.0,0.33,5.0,10.0,9.0,0.0,N
1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,5.71,0.18,78.14,0.5,8.0,0.29,7.0,8.0,7.0,0.0,N
18.0,5.0,1.0,58.0,2.13,0.2,5.0,0.44,60.0,1.0,40.23,0.02,2478.2,0.5,33.0,0.07,55.0,25.0,138.0,49.58,N
2.0,0.0,0.0,9.0,2.0,0.5,1.0,0.0,10.0,0.0,6.79,0.15,311.78,0.5,6.0,0.09,17.0,7.0,22.0,47.37,N
36.0,8.0,0.0,42.0,2.25,0.57,3.0,0.33,120.0,1.0,59.93,0.02,7090.97,0.43,33.0,0.03,107.0,28.0,218.0,25.93,Y
43.0,20.0,1.0,35.0,2.33,0.77,5.0,0.19,107.0,0.0,33.04,0.03,3215.86,0.23,78.0,0.1,91.0,31.0,221.0,25.17,N
10.0,5.0,0.0,2.0,2.0,1.0,1.0,0.0,22.0,1.0,9.52,0.11,471.46,0.5,10.0,0.06,28.0,13.0,35.0,8.33,N
34.0,6.0,0.0,31.0,2.13,0.54,1.0,0.0,83.0,2.0,64.54,0.02,4729.73,0.08,49.0,0.07,76.0,30.0,174.0,27.19,N
17.0,5.0,0.0,7.0,2.0,0.64,1.0,0.0,54.0,1.0,27.6,0.04,1284.0,0.09,23.0,0.14,40.0,24.0,79.0,11.48,N
55.0,5.0,0.0,55.0,2.2,0.52,6.0,0.21,153.0,1.0,61.92,0.02,5942.58,0.24,68.0,0.09,101.0,33.0,288.0,26.44,Y
32.0,3.0,0.0,39.0,2.87,0.17,20.0,0.68,106.0,2.0,39.86,0.03,3676.08,0.69,62.0,0.16,85.0,28.0,178.0,26.9,Y
9.0,3.0,0.0,10.0,2.0,0.5,3.0,0.4,33.0,1.0,34.34,0.03,1505.5,0.5,20.0,0.11,37.0,21.0,53.0,23.26,N
17.0,4.0,1.0,16.0,2.33,0.57,9.0,0.62,83.0,2.0,30.58,0.03,1996.61,0.64,35.0,0.12,72.0,37.0,118.0,17.0,N
225.0,15.0,2.0,40.0,2.04,0.9,123.0,0.9,600.0,2.0,105.26,0.01,25942.69,0.9,447.0,0.16,538.0,99.0,868.0,6.54,Y
19.0,1.0,0.0,2.0,2.0,0.2,1.0,0.0,54.0,0.0,23.87,0.04,3543.26,0.2,19.0,0.07,106.0,21.0,76.0,3.57,N
27.0,3.0,0.0,20.0,2.0,0.33,1.0,0.0,84.0,1.0,46.39,0.02,6498.04,0.11,40.0,0.07,140.0,31.0,132.0,19.23,Y
39.0,7.0,4.0,32.0,2.5,0.56,7.0,0.25,103.0,1.0,52.91,0.02,4282.78,0.28,58.0,0.14,86.0,35.0,179.0,25.9,Y
31.0,12.0,0.0,27.0,2.0,0.71,4.0,0.19,93.0,1.0,38.18,0.03,2680.83,0.24,41.0,0.11,66.0,28.0,152.0,22.5,Y
56.0,19.0,0.0,50.0,2.0,0.75,9.0,0.35,141.0,1.0,51.91,0.02,4553.49,0.38,71.0,0.09,90.0,32.0,258.0,26.18,Y
5.0,2.0,0.0,7.0,2.0,1.0,5.0,1.0,29.0,1.0,18.6,0.05,815.4,1.0,16.0,0.12,30.0,18.0,42.0,19.44,Y
7.0,2.0,0.0,9.0,2.0,1.0,5.0,1.0,29.0,1.0,20.61,0.05,920.81,1.0,16.0,0.11,31.0,18.0,46.0,23.68,Y
4.0,1.0,0.0,7.0,2.0,0.5,1.0,0.0,13.0,1.0,14.53,0.07,485.51,0.5,6.0,0.08,19.0,12.0,25.0,35.0,N
5.0,2.0,0.0,4.0,2.0,0.5,1.0,0.0,14.0,1.0,15.91,0.06,661.68,0.5,7.0,0.08,23.0,12.0,24.0,22.22,N
10.0,2.0,0.0,18.0,2.0,0.43,1.0,0.0,40.0,1.0,32.98,0.03,2001.81,0.14,20.0,0.1,47.0,20.0,69.0,31.03,N
7.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,14.0,0.0,4.73,0.21,148.68,0.5,10.0,0.08,11.0,8.0,26.0,22.22,N
6.0,0.0,1.0,4.0,2.33,0.2,3.0,0.5,21.0,2.0,28.29,0.04,555.0,0.6,13.0,0.15,14.0,18.0,33.0,19.23,N
39.0,6.0,1.0,49.0,2.0,0.88,1.0,0.0,166.0,0.0,22.35,0.04,4888.5,0.04,98.0,0.1,136.0,20.0,263.0,23.15,Y
37.0,5.0,13.0,23.0,2.71,0.36,21.0,0.83,97.0,0.0,45.1,0.02,4404.88,0.84,80.0,0.15,77.0,23.0,171.0,27.07,Y
20.0,3.0,0.0,4.0,2.33,0.57,1.0,0.0,27.0,5.0,21.45,0.05,506.88,0.14,17.0,0.13,20.0,22.0,52.0,12.9,Y
8.0,2.0,2.0,13.0,2.25,0.33,4.0,0.6,23.0,2.0,18.95,0.05,1016.29,0.67,18.0,0.13,38.0,18.0,47.0,39.47,N
5.0,0.0,0.0,20.0,2.0,0.14,1.0,0.0,20.0,3.0,39.33,0.03,687.32,0.14,19.0,0.15,15.0,20.0,46.0,50.0,N
14.0,7.0,0.0,7.0,2.0,1.0,1.0,0.0,42.0,0.0,24.62,0.04,880.44,0.14,18.0,0.11,29.0,21.0,64.0,14.29,N
6.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,39.0,3.0,12.0,0.08,783.99,0.17,22.0,0.13,40.0,16.0,47.0,2.5,N
1.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,7.0,0.0,6.38,0.16,175.69,0.5,7.0,0.17,12.0,9.0,12.0,30.0,N
4.0,0.0,1.0,4.0,2.3,0.07,9.0,0.62,21.0,2.0,31.95,0.03,500.5,0.64,34.0,0.45,11.0,19.0,31.0,19.23,N
3.0,3.0,0.0,0.0,2.5,0.32,11.0,0.56,36.0,3.0,39.58,0.03,1341.28,0.58,51.0,0.48,30.0,25.0,40.0,0.0,N
1.0,1.0,0.0,0.0,2.2,0.86,6.0,0.83,17.0,3.0,12.75,0.08,568.69,0.86,19.0,0.37,24.0,12.0,19.0,0.0,N
4.0,2.0,0.0,1.0,2.43,0.27,5.0,0.4,29.0,3.0,34.72,0.03,917.77,0.45,30.0,0.31,27.0,25.0,35.0,3.33,N
1.0,0.0,0.0,0.0,2.6,0.11,9.0,1.0,19.0,3.0,26.67,0.04,507.8,1.0,22.0,0.43,15.0,20.0,21.0,0.0,N
4.0,1.0,1.0,1.0,2.17,0.25,4.0,0.43,20.0,1.0,26.13,0.04,411.2,0.5,26.0,0.3,12.0,19.0,27.0,9.09,N
4.0,1.0,1.0,1.0,2.17,0.25,4.0,0.43,20.0,1.0,26.13,0.04,411.2,0.5,26.0,0.3,12.0,19.0,27.0,9.09,N
1.0,0.0,0.0,0.0,2.0,0.25,1.0,0.0,10.0,3.0,23.4,0.04,200.16,0.25,14.0,0.33,5.0,13.0,12.0,0.0,N
2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,15.0,0.0,11.39,0.09,287.92,0.5,8.0,0.11,14.0,11.0,18.0,0.0,N
1.0,0.0,1.0,0.0,2.0,0.5,1.0,0.0,11.0,1.0,6.0,0.17,114.71,0.5,6.0,0.14,7.0,6.0,14.0,8.33,N
1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,11.0,1.0,6.4,0.16,141.78,0.5,8.0,0.15,10.0,8.0,13.0,0.0,N
1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,10.0,1.0,6.5,0.15,247.59,0.5,7.0,0.17,16.0,8.0,12.0,0.0,N
1.0,2.0,0.0,0.0,2.0,0.43,6.0,0.83,21.0,0.0,16.25,0.06,325.07,0.86,23.0,0.3,12.0,13.0,23.0,0.0,N
7.0,1.0,3.0,0.0,2.0,0.33,1.0,0.0,17.0,2.0,13.36,0.07,366.95,0.33,10.0,0.11,11.0,7.0,28.0,15.0,N
1.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,7.0,2.0,9.0,0.11,74.01,0.5,6.0,0.22,4.0,9.0,9.0,0.0,N
2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0,2.0,10.0,0.1,116.0,0.5,7.0,0.18,6.0,10.0,11.0,0.0,N
