@relation SelectedFeatures
@attribute CALL_PAIRS numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
1.0,0.0,6.0,2.0,0.25,1.0,3.0,4.0,14.3,11846.2,658.12,0.25,0.2,14.0,82.35,17.0,N
2.0,0.0,6.0,2.0,0.5,1.0,3.0,5.0,15.95,11891.1,660.62,0.25,0.2,14.0,82.35,17.0,N
0.0,0.0,6.0,2.0,0.25,1.0,1.0,3.0,8.07,395.31,21.96,0.25,0.5,7.0,80.0,5.0,N
0.0,0.0,2.0,2.0,0.5,1.0,1.0,3.0,7.86,49.13,2.73,0.5,0.5,5.0,50.0,2.0,N
0.0,14.0,2.0,2.0,0.5,1.0,1.0,3.0,7.86,49.13,2.73,0.5,0.11,5.0,93.75,2.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,7.13,1298.85,72.16,0.5,0.2,9.0,71.43,7.0,N
1.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,9.07,1439.18,79.95,0.5,0.18,9.0,71.43,7.0,N
0.0,0.0,2.0,2.0,0.5,1.0,2.0,4.0,10.8,120.0,6.67,0.5,0.4,5.0,0.0,2.0,N
0.0,0.0,2.0,2.0,0.5,1.0,2.0,4.0,10.8,120.0,6.67,0.5,0.4,5.0,0.0,2.0,N
0.0,0.0,2.0,2.0,0.5,1.0,2.0,4.0,10.8,120.0,6.67,0.5,0.4,5.0,0.0,2.0,N
6.0,1.0,6.0,2.0,1.0,4.0,4.0,5.0,31.4,10714.74,595.26,1.0,0.12,13.0,87.1,30.0,N
5.0,1.0,6.0,2.0,0.75,4.0,4.0,4.0,27.77,10500.0,583.33,1.0,0.12,14.0,87.1,30.0,N
3.0,1.0,6.0,2.0,1.0,4.0,4.0,5.0,22.24,9376.55,520.91,1.0,0.13,14.0,84.62,25.0,N
2.0,1.0,6.0,2.0,0.5,4.0,4.0,4.0,19.5,8952.56,497.36,1.0,0.14,15.0,84.62,25.0,N
2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,9.91,1243.35,69.07,0.5,0.18,8.0,75.0,8.0,N
2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,12.09,1553.4,86.3,0.5,0.18,8.0,75.0,8.0,N
0.0,0.0,2.0,2.0,0.5,1.0,2.0,2.0,8.79,544.86,30.27,0.5,0.2,7.0,75.0,8.0,N
6.0,0.0,2.0,2.0,1.0,1.0,2.0,7.0,32.65,3715.08,206.39,0.5,0.12,10.0,83.33,12.0,N
6.0,0.0,2.0,2.0,1.0,1.0,2.0,8.0,34.95,3945.43,219.19,0.5,0.11,10.0,83.33,12.0,N
6.0,0.0,4.0,2.0,0.67,1.0,1.0,4.0,27.66,5230.38,290.58,0.33,0.17,11.0,92.31,13.0,N
3.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,13.9,3127.44,173.75,0.5,0.14,10.0,81.82,11.0,N
3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,15.84,3832.57,212.92,0.5,0.14,10.0,81.82,11.0,N
2.0,0.0,4.0,2.0,0.67,1.0,1.0,2.0,9.29,1124.05,62.45,0.33,0.5,11.0,75.0,4.0,N
2.0,0.0,4.0,2.0,0.67,1.0,1.0,3.0,11.02,1150.01,63.89,0.33,0.43,11.0,75.0,4.0,N
2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,12.02,1142.77,63.49,0.5,0.17,9.0,77.78,9.0,N
3.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,15.5,1138.58,63.25,0.5,0.17,8.0,77.78,9.0,N
4.0,1.0,4.0,2.0,0.67,1.0,3.0,5.0,22.46,4653.68,258.54,0.33,0.12,13.0,86.36,21.0,N
3.0,1.0,4.0,2.0,0.67,1.0,3.0,4.0,19.43,5069.44,281.64,0.33,0.12,14.0,86.36,21.0,N
1.0,1.0,4.0,2.0,0.67,1.0,3.0,5.0,15.13,3381.36,187.85,0.33,0.13,13.0,83.33,17.0,N
0.0,1.0,4.0,2.0,0.33,1.0,3.0,4.0,14.37,3092.19,171.79,0.33,0.14,12.0,83.33,17.0,N
1.0,0.0,4.0,2.0,0.67,3.0,2.0,5.0,15.41,2182.44,121.25,1.0,0.23,14.0,80.0,10.0,N
1.0,0.0,4.0,2.0,0.67,3.0,2.0,4.0,13.81,2139.14,118.84,1.0,0.25,14.0,77.78,9.0,N
