@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
14.0,3.0,0.0,2.0,3.0,0.5,1.0,0.0,41.87,14.17,0.2,0.07,466.83,0.17,10.0,0.15,59.0,27.0,15.0,41.0,11.54,26.0,N
6.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,12.18,3.0,0.01,0.33,6.09,0.5,2.0,0.14,7.0,4.0,6.0,14.0,57.14,4.0,N
14.0,5.0,12.0,2.4,9.0,0.82,3.0,0.2,37.31,23.86,0.3,0.04,1180.47,0.27,12.0,0.17,89.0,33.0,25.0,66.0,33.33,39.0,N
20.0,3.0,12.0,2.5,3.0,0.3,3.0,0.22,31.44,19.3,0.2,0.05,650.91,0.3,10.0,0.14,60.0,28.0,23.0,72.0,29.41,39.0,N
6.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,31.9,6.9,0.07,0.14,84.36,0.5,2.0,0.11,25.0,15.0,9.0,18.0,9.09,11.0,Y
17.0,4.0,7.0,2.0,4.0,1.0,1.0,0.0,46.83,14.48,0.23,0.07,545.75,0.25,6.0,0.09,65.0,29.0,14.0,45.0,40.74,20.0,N
7.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,17.81,11.08,0.07,0.09,121.56,0.33,4.0,0.14,23.0,12.0,14.0,22.0,42.86,10.0,N
3.0,1.0,0.0,3.0,2.0,0.67,1.0,0.0,32.98,6.18,0.07,0.16,70.03,0.33,3.0,0.2,31.0,11.0,8.0,15.0,9.09,11.0,N
2.0,7.0,6.0,3.5,1.0,0.17,4.0,0.6,36.79,15.58,0.19,0.06,496.29,0.67,8.0,0.15,63.0,24.0,17.0,39.0,36.11,30.0,N
9.0,8.0,15.0,2.0,3.0,0.5,1.0,0.0,56.47,17.4,0.33,0.06,950.12,0.17,10.0,0.08,97.0,31.0,13.0,73.0,36.51,48.0,N
0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,23.44,7.33,0.06,0.14,70.03,0.33,4.0,0.21,22.0,12.0,11.0,14.0,0.0,13.0,N
8.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,55.83,18.8,0.35,0.05,1096.59,0.17,2.0,0.12,113.0,33.0,17.0,49.0,2.5,39.0,N
10.0,1.0,3.0,2.5,4.0,1.0,4.0,1.0,45.13,11.11,0.17,0.09,309.56,1.0,5.0,0.08,53.0,27.0,15.0,51.0,12.5,29.0,N
11.0,4.0,9.0,2.0,1.0,0.5,1.0,0.0,135.48,9.97,0.45,0.1,748.6,0.5,2.0,0.03,126.0,37.0,6.0,66.0,24.07,45.0,N
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,18.53,9.0,0.06,0.11,83.4,0.5,2.0,0.18,22.0,9.0,9.0,11.0,0.0,8.0,N
6.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,57.32,10.19,0.19,0.1,330.8,0.5,2.0,0.06,60.0,26.0,10.0,35.0,23.81,16.0,N
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,18.53,9.0,0.06,0.11,83.4,0.5,2.0,0.18,22.0,9.0,9.0,11.0,0.0,8.0,N
2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,18.53,9.0,0.06,0.11,83.4,0.5,2.0,0.18,22.0,9.0,9.0,11.0,0.0,8.0,N
