@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
22.0,15.0,9.0,4.0,11.0,0.22,2.17,5.0,0.63,0.0,0.0,14.61,9265.54,0.07,514.75,0.13,7.0,23.0,16.0,71.0,31.91,36.0,Y
7.0,1.0,2.0,0.0,2.0,0.14,0.0,1.0,1.0,0.0,0.0,10.0,1446.79,0.1,80.38,1.0,0.0,4.0,10.0,18.0,22.22,7.0,N
10.0,3.0,2.0,0.0,2.0,0.2,2.0,2.0,1.0,0.0,0.0,9.0,1439.2,0.11,79.96,0.5,1.0,8.0,12.0,24.0,16.67,10.0,N
9.0,3.0,2.0,0.0,6.0,0.2,2.0,2.0,1.0,0.0,0.0,9.0,1478.1,0.11,82.12,0.5,1.0,8.0,12.0,27.0,37.5,10.0,N
3.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,4.67,186.03,0.21,10.33,1.0,0.0,3.0,7.0,10.0,0.0,4.0,N
9.0,1.0,4.0,0.0,3.0,0.13,0.0,1.0,1.0,0.0,1.0,4.0,350.28,0.25,19.46,1.0,0.0,7.0,7.0,22.0,27.27,8.0,N
8.0,3.0,4.0,9.0,5.0,0.11,2.0,2.0,1.0,0.0,1.0,9.97,3306.02,0.1,183.67,0.5,1.0,15.0,13.0,34.0,58.33,19.0,Y
5.0,1.0,1.0,0.0,1.0,0.17,0.0,1.0,1.0,0.0,1.0,4.08,271.98,0.24,15.11,1.0,0.0,6.0,7.0,14.0,14.29,6.0,N
5.0,1.0,1.0,0.0,1.0,0.14,0.0,1.0,1.0,0.0,1.0,6.75,843.89,0.15,46.88,1.0,0.0,6.0,9.0,15.0,12.5,7.0,N
6.0,5.0,1.0,1.0,1.0,0.17,3.0,1.0,0.33,1.0,1.0,13.72,3916.37,0.07,217.58,1.0,2.0,9.0,13.0,27.0,10.53,18.0,N
4.0,1.0,1.0,1.0,2.0,0.33,0.0,1.0,1.0,0.0,1.0,3.0,104.61,0.33,5.81,1.0,0.0,3.0,6.0,11.0,60.0,3.0,Y
6.0,3.0,1.0,1.0,1.0,0.12,2.0,1.0,0.5,0.0,1.0,10.39,2514.4,0.1,139.69,0.5,1.0,9.0,11.0,26.0,11.11,17.0,Y
6.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1470.86,0.12,81.71,1.0,0.0,7.0,9.0,19.0,9.09,10.0,N
5.0,1.0,2.0,0.0,1.0,0.17,0.0,1.0,1.0,0.0,1.0,6.19,735.95,0.16,40.89,1.0,0.0,8.0,11.0,14.0,14.29,6.0,N
7.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,0.0,1.0,8.36,1470.86,0.12,81.71,1.0,0.0,7.0,9.0,20.0,9.09,10.0,N
5.0,1.0,1.0,0.0,1.0,0.14,0.0,1.0,1.0,0.0,1.0,6.75,791.15,0.15,43.95,1.0,0.0,6.0,9.0,15.0,12.5,7.0,N
6.0,1.0,2.0,0.0,2.0,0.13,0.0,1.0,1.0,0.0,1.0,7.22,1319.22,0.14,73.29,1.0,0.0,9.0,10.0,18.0,20.0,8.0,N
6.0,3.0,1.0,1.0,1.0,0.2,2.0,1.0,0.5,0.0,1.0,10.31,2409.37,0.1,133.85,0.5,1.0,8.0,11.0,19.0,18.18,10.0,Y
6.0,3.0,1.0,0.0,1.0,0.2,2.0,1.0,0.5,0.0,1.0,11.79,2703.0,0.08,150.17,0.5,1.0,7.0,11.0,19.0,9.09,10.0,N
5.0,1.0,2.0,0.0,1.0,0.14,0.0,1.0,1.0,0.0,1.0,5.5,710.97,0.18,39.5,1.0,0.0,9.0,9.0,15.0,12.5,7.0,N
4.0,5.0,2.0,0.0,0.0,0.25,2.0,3.0,1.0,0.0,0.0,9.6,1712.42,0.1,95.13,0.33,2.0,10.0,12.0,18.0,0.0,12.0,N
5.0,3.0,2.0,1.0,1.0,0.25,2.0,2.0,1.0,0.0,4.0,4.44,399.66,0.23,22.2,0.5,1.0,9.0,8.0,19.0,22.22,8.0,N
4.0,3.0,2.0,0.0,1.0,0.25,2.0,2.0,1.0,0.0,4.0,4.44,399.66,0.23,22.2,0.5,1.0,9.0,8.0,18.0,11.11,8.0,N
8.0,5.0,3.0,1.0,1.0,0.12,3.0,2.0,0.67,1.0,3.0,30.58,17051.32,0.03,947.3,1.0,2.0,13.0,15.0,38.0,7.69,25.0,Y
5.0,1.0,1.0,2.0,0.0,0.11,0.0,1.0,1.0,0.0,3.0,5.5,594.0,0.18,33.0,1.0,0.0,8.0,8.0,19.0,22.22,9.0,N
5.0,3.0,2.0,0.0,0.0,0.25,2.0,2.0,1.0,0.0,3.0,9.44,1444.3,0.11,80.24,0.5,1.0,9.0,10.0,17.0,0.0,8.0,N
8.0,3.0,4.0,0.0,3.0,0.2,2.0,2.0,1.0,0.0,4.0,4.43,790.81,0.23,43.93,0.5,1.0,15.0,7.0,26.0,23.08,10.0,N
