@relation SelectedFeatures
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute Defective {Y,N}

@data
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,N
8.0,5.0,9.0,0.0,3.0,0.19,4.0,1.0,0.33,25.0,1.0,0.0,16.0,0.0,1.0,0.33,16.5,7218.24,0.06,401.01,437.47,0.33,4.0,0.09,58.0,14.0,14.0,34.0,27.27,N
3.0,1.0,4.0,0.0,1.0,0.17,0.0,1.0,1.0,5.0,1.0,0.0,6.0,0.0,1.0,1.0,7.07,820.29,0.14,45.57,116.0,1.0,0.0,0.07,18.0,7.0,9.0,15.0,33.33,N
0.0,1.0,1.0,0.0,1.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,186.42,0.25,10.36,46.6,1.0,0.0,0.14,9.0,4.0,8.0,7.0,0.0,N
3.0,25.0,0.0,18.0,13.0,0.19,16.0,1.0,0.08,43.0,9.0,0.67,50.0,0.0,12.0,0.92,57.0,71859.2,0.02,3992.18,1260.69,0.69,20.0,0.15,134.0,18.0,19.0,86.0,35.06,N
2.0,25.0,0.0,16.0,13.0,0.19,16.0,1.0,0.08,43.0,9.0,0.67,52.0,0.0,12.0,0.92,57.0,71859.2,0.02,3992.18,1260.69,0.69,20.0,0.15,134.0,18.0,19.0,84.0,31.58,N
2.0,21.0,0.0,5.0,11.0,0.33,12.0,1.0,0.09,33.0,7.0,0.6,28.0,0.0,11.0,1.0,37.4,12716.0,0.03,706.44,340.0,0.64,16.0,0.28,51.0,5.0,11.0,39.0,15.15,N
2.0,21.0,0.0,5.0,11.0,0.33,12.0,1.0,0.09,33.0,7.0,0.6,28.0,0.0,11.0,1.0,37.4,12716.0,0.03,706.44,340.0,0.64,16.0,0.28,51.0,5.0,11.0,39.0,15.15,N
2.0,21.0,0.0,5.0,11.0,0.33,12.0,1.0,0.09,33.0,7.0,0.6,28.0,0.0,11.0,1.0,37.4,12716.0,0.03,706.44,340.0,0.64,16.0,0.28,51.0,5.0,11.0,39.0,15.15,N
0.0,9.0,1.0,3.0,5.0,0.71,2.0,5.0,1.0,15.0,4.0,0.75,4.0,2.0,5.0,1.0,27.62,5307.06,0.04,294.84,192.11,0.8,8.0,0.5,30.0,4.0,13.0,10.0,42.86,N
